samples,computations,losses,grad_norms,least_eig
0,0,1.0713014960289002,,
110,5,1.0608857035636903,0.9474402,0.3455851376056671
220,10,1.0505687594413757,0.9380539,0.29853662848472595
330,15,1.040408682823181,0.91779745,0.32421237230300903
440,20,1.0302594423294067,0.9223398,0.32165029644966125
550,25,1.0201651096343993,0.92263913,0.30602696537971497
660,30,1.0101505756378173,0.91666025,0.2995232939720154
770,35,1.0002500236034393,0.90380126,0.37627777457237244
880,40,0.990391206741333,0.90654874,0.31780436635017395
990,45,0.9806373715400696,0.8966751,0.31382718682289124
1100,50,0.9709271013736724,0.8960686,0.31812071800231934
1210,55,0.9612714111804962,0.8964307,0.30440178513526917
1320,60,0.9517407476902008,0.8822888,0.32773134112358093
1430,65,0.9422554314136505,0.88280773,0.3370390832424164
1540,70,0.9328533291816712,0.878332,0.2800687551498413
1650,75,0.9234895825386047,0.8804539,0.34088027477264404
1760,80,0.9142373442649842,0.869356,0.3582788407802582
1870,85,0.9050592362880707,0.86499894,0.3308970630168915
1980,90,0.8959671676158905,0.8611515,0.34681129455566406
2090,95,0.8869534730911255,0.8550137,0.3685115575790405
2200,100,0.878022438287735,0.84782916,0.3186694085597992
2310,105,0.869186794757843,0.84031755,0.35810303688049316
2420,110,0.860399353504181,0.8429911,0.3688197731971741
2530,115,0.8517032623291015,0.83517766,0.3603646457195282
2640,120,0.843107259273529,0.8266307,0.3752945363521576
2750,125,0.8345884084701538,0.8223479,0.4002569317817688
2860,130,0.8261645793914795,0.8145589,0.37559768557548523
2970,135,0.8178657114505767,0.80170393,0.3943333625793457
3080,140,0.8095858037471771,0.8084385,0.3635013997554779
3190,145,0.8013765215873718,0.8055917,0.3939058482646942
3300,150,0.7932625532150268,0.7980882,0.3657468855381012
3410,155,0.7852557897567749,0.78822404,0.3565339744091034
3520,160,0.7772799134254456,0.79558325,0.41933539509773254
3630,165,0.7694277584552764,0.7793669,0.44207802414894104
3740,170,0.7616556763648987,0.7763675,0.4155716001987457
3850,175,0.7539982914924621,0.7648914,0.42428499460220337
3960,180,0.7464235067367554,0.76040775,0.4364342987537384
4070,185,0.7389244139194489,0.7558736,0.37032902240753174
4180,190,0.731480461359024,0.75566745,0.42810964584350586
4290,195,0.7241270482540131,0.7488395,0.4313875436782837
4400,200,0.716847938299179,0.7444232,0.44585105776786804
4510,205,0.709629625082016,0.74653554,1.6907972167246044e-05
4620,210,0.7025370001792908,0.72915465,0.40841439366340637
4730,215,0.6955196797847748,0.72532254,0.42891034483909607
4840,220,0.6885607361793518,0.7256616,0.4536353349685669
4950,225,0.6816720962524414,0.72310495,3.466871567070484e-05
5060,230,0.6749322235584259,0.7036562,1.4879973377901479e-06
5170,235,0.668296730518341,0.6944291,2.899401806644164e-05
5280,240,0.6617365717887879,0.6895766,4.858785177930258e-05
5390,245,0.655250757932663,0.68510896,3.864154132315889e-05
5500,250,0.6488163471221924,0.6849351,4.0263566916109994e-05
5610,255,0.6425248324871063,0.6704611,2.9857174013159238e-06
5720,260,0.6362710058689117,0.6713355,7.485781679861248e-05
5830,265,0.630097508430481,0.66726005,6.50803922326304e-05
5940,270,0.6240304052829743,0.65430385,6.886033952469006e-05
6050,275,0.6180150210857391,0.6574466,6.767822014808189e-06
6160,280,0.6120846629142761,0.64759636,1.9649356545414776e-05
6270,285,0.6062252342700958,0.6460158,3.505088170641102e-05
6380,290,0.6004240214824677,0.64294237,2.7665602829074487e-05
6490,295,0.5947810769081116,0.6196725,1.0273441148456186e-05
6600,300,0.5891813218593598,0.6204339,6.0667545767500997e-05
6710,305,0.5836310029029846,0.62272835,5.0220485718455166e-05
6820,310,0.5781648933887482,0.6146768,4.062121297465637e-05
6930,315,0.5727901637554169,0.60419405,5.8391822676640004e-05
7040,320,0.5675010681152344,0.59944314,6.83278776705265e-05
7150,325,0.5622416794300079,0.60359627,7.19767194823362e-05
7260,330,0.5571004033088685,0.5860456,9.360906551592052e-05
7370,335,0.5520229637622833,0.5851073,8.358729246538132e-05
7480,340,0.5470381438732147,0.5745161,7.40758259780705e-05
7590,345,0.5420895636081695,0.57745665,7.054954767227173e-05
7700,350,0.537229597568512,0.5687877,7.991315942490473e-05
7810,355,0.5324218809604645,0.5711361,8.224964403780177e-05
7920,360,0.5276949405670166,0.5649004,8.565898315282539e-05
8030,365,0.5230263829231262,0.5603225,0.00010419955651741475
8140,370,0.5184571981430054,0.54568684,9.137797314906493e-05
8250,375,0.5139428079128265,0.5436612,9.800086263567209e-05
8360,380,0.5095174670219421,0.5357998,0.0001045371318468824
8470,385,0.5051864504814148,0.52520627,0.00012025452451780438
8580,390,0.5008636295795441,0.53199214,0.00011693442502291873
8690,395,0.49664096534252167,0.5211899,0.00011217371502425522
8800,400,0.4924954354763031,0.51433665,9.779418905964121e-05
8910,405,0.48842049241065977,0.5045399,0.00010834912245627493
9020,410,0.48437284827232363,0.50847507,0.00011392765736673027
9130,415,0.4804317355155945,0.4964499,0.0001048137346515432
9240,420,0.47655264735221864,0.4920431,0.00010543776443228126
9350,425,0.4727046638727188,0.49418935,0.00012155700096627697
9460,430,0.4689480006694794,0.48135528,0.0001294398825848475
9570,435,0.46528486013412473,0.4716315,0.00011264859494986013
9680,440,0.46166978776454926,0.46911943,0.00010482670768396929
9790,445,0.45811028182506563,0.46607044,0.00011020187957910821
9900,450,0.4546068489551544,0.4588978,0.00013025515363551676
10010,455,0.45115986168384553,0.45421466,0.00012829054321628064
10120,460,0.44779051244258883,0.44935262,0.00010346674389438704
10230,465,0.44449132978916167,0.44092473,0.00011963294673478231
10340,470,0.4412387818098068,0.43635786,0.00012440988211892545
10450,475,0.4380217045545578,0.43629614,0.00013623764971271157
10560,480,0.4348713934421539,0.4308483,0.00012414764205459505
10670,485,0.43178093433380127,0.432279,0.00011009875743184239
10780,490,0.4287383556365967,0.42143276,0.00010935452883131802
10890,495,0.42578441798686983,0.4082046,0.00011439400259405375
11000,500,0.4228731870651245,0.4103121,0.00012930980301462114
11110,505,0.42003798484802246,0.3997993,0.00011938910029130057
11220,510,0.4172716587781906,0.39649174,0.00015423106378875673
11330,515,0.4145020842552185,0.40228283,0.00013266374298837036
11440,520,0.41184425354003906,0.3812842,0.0001754601253196597
11550,525,0.40920624434947966,0.3816409,0.00011611609807005152
11660,530,0.4066318482160568,0.3718613,0.00016699098341632634
11770,535,0.40411565005779265,0.36945918,0.0001640486589167267
11880,540,0.4016443818807602,0.36556837,0.00020068883895874023
11990,545,0.3991900414228439,0.3692314,0.00014312725397758186
12100,550,0.39678688943386076,0.3601329,0.00014529294276144356
12210,555,0.39442864060401917,0.35745654,0.00013919024786446244
12320,560,0.3921399265527725,0.34442583,0.0001521652447991073
12430,565,0.38987804055213926,0.35044426,0.00015128403902053833
12540,570,0.3876661330461502,0.34594652,0.0001611765765119344
12650,575,0.38550624549388884,0.33346763,0.00017943467537406832
12760,580,0.3833878993988037,0.33429897,0.00017693843983579427
12870,585,0.38133114874362944,0.32285252,0.00023177769617177546
12980,590,0.3793168872594833,0.3204368,0.00017432679305784404
13090,595,0.37735165357589723,0.31217647,0.0002172948734369129
13200,600,0.37538231909275055,0.3162694,0.00015023451123852283
13310,605,0.3734773248434067,0.31285995,0.00016217451775446534
13420,610,0.3715644866228104,0.31691396,0.00016266679449472576
13530,615,0.36979474425315856,0.29820022,0.0001358625158900395
13640,620,0.3679827868938446,0.30277318,0.00018398871179670095
13750,625,0.3662819892168045,0.2817955,0.0001904051168821752
13860,630,0.3645356297492981,0.2944105,0.00022468144015874714
13970,635,0.3628451704978943,0.2885483,0.00022952136350795627
14080,640,0.3611589461565018,0.29528135,0.00021806229779031128
14190,645,0.35955786108970644,0.2715643,0.0001467414404032752
14300,650,0.35798660218715667,0.26908052,0.0002616325218696147
14410,655,0.35641512274742126,0.27326483,0.00027805683203041553
14520,660,0.3549071788787842,0.26231152,0.0002174302499042824
14630,665,0.3534171342849731,0.26139686,0.00020780274644494057
14740,670,0.35193385779857633,0.2665548,0.0002638076839502901
14850,675,0.35049374103546144,0.27146354,0.0003074898850172758
14960,680,0.3491063117980957,0.25464916,0.00021687406115233898
15070,685,0.3477437913417816,0.25102493,0.00030503456946462393
15180,690,0.346386706829071,0.25588223,0.00022909321705810726
15290,695,0.34505974650383,0.24585289,0.00020899147784803063
15400,700,0.34374621510505676,0.25010493,0.00021728669526055455
15510,705,0.34249481558799744,0.23757648,0.00025813706452026963
15620,710,0.3412425696849823,0.24161848,0.0003494173870421946
15730,715,0.3400072634220123,0.23706375,0.000288159993942827
15840,720,0.3388021647930145,0.23376273,0.0003449467767495662
15950,725,0.33761572241783144,0.23242852,8.360404171980917e-05
16060,730,0.33647162914276124,0.22466621,0.0005644031334668398
16170,735,0.335349977016449,0.21973658,0.00028458982706069946
16280,740,0.33422442376613615,0.22451773,0.0005289762048050761
16390,745,0.333135250210762,0.21900456,0.00041612007771618664
16500,750,0.3320774406194687,0.21347955,0.000428052619099617
16610,755,0.33105834722518923,0.20727637,0.0012361194239929318
16720,760,0.3300371378660202,0.20830303,0.0010513907764106989
16830,765,0.3290430396795273,0.20323965,0.0007912857690826058
16940,770,0.32805976569652556,0.20371293,0.00047085038386285305
17050,775,0.3271121919155121,0.2214383,0.0014529877807945013
17160,780,0.32616295516490934,0.20842572,0.0012017575791105628
17270,785,0.32524941563606263,0.19664156,0.012631716206669807
17380,790,0.3243462145328522,0.1948603,0.027637425810098648
17490,795,0.32345570921897887,0.20788708,0.009366851300001144
17600,800,0.32259963154792787,0.19763425,0.013762015849351883
17710,805,0.32175502777099607,0.18526465,0.027960989624261856
17820,810,0.3209322601556778,0.19106902,0.0032012038864195347
17930,815,0.3201249003410339,0.18524441,0.02387152798473835
18040,820,0.3193354785442352,0.18816237,0.02094174362719059
18150,825,0.3185539126396179,0.18404572,0.0008161457953974605
18260,830,0.3177966892719269,0.17301777,0.015053555369377136
18370,835,0.3170442163944244,0.17387807,0.04911043122410774
18480,840,0.3162986487150192,0.17588247,0.027098432183265686
18590,845,0.31557317078113556,0.16927393,0.021320177242159843
18700,850,0.3148753851652145,0.16671796,0.04856870323419571
18810,855,0.3141608595848083,0.17078944,0.046949632465839386
18920,860,0.3134700685739517,0.16647941,0.018824860453605652
19030,865,0.3128151535987854,0.16609326,0.04591796547174454
19140,870,0.31216226518154144,0.15842792,0.05742384120821953
19250,875,0.31153279840946196,0.16444299,0.03484189882874489
19360,880,0.31090997755527494,0.15963973,0.022842759266495705
19470,885,0.31028994619846345,0.15866953,0.07084639370441437
19580,890,0.30972112715244293,0.15108447,0.05255221575498581
19690,895,0.3091353565454483,0.15089276,0.061083946377038956
19800,900,0.30856232941150663,0.14558162,0.0728488340973854
19910,905,0.3079872250556946,0.14591178,0.029401995241642
20020,910,0.3074434369802475,0.14705588,0.062155526131391525
20130,915,0.30688718855381014,0.14897703,0.0663648247718811
20240,920,0.30634947419166564,0.14753693,0.06873225420713425
20350,925,0.3058218121528625,0.14307618,0.06309621036052704
20460,930,0.3053049296140671,0.14260946,0.07193032652139664
20570,935,0.3047667801380157,0.14721964,0.05658319219946861
20680,940,0.3042560249567032,0.1492947,0.07060226798057556
20790,945,0.30377071499824526,0.13996768,0.026460574939846992
20900,950,0.3033094882965088,0.13831788,0.0883534699678421
21010,955,0.3028549075126648,0.14768697,0.08106763660907745
21120,960,0.3023987978696823,0.13153264,0.08557366579771042
21230,965,0.30193703472614286,0.12608917,0.12763792276382446
21340,970,0.3014920026063919,0.12605585,0.06801292300224304
21450,975,0.30105735957622526,0.12400469,0.06851936876773834
21560,980,0.3006076514720917,0.13356873,0.061655424535274506
21670,985,0.30017105042934417,0.12593497,0.06968025863170624
21780,990,0.2997529745101929,0.12715994,0.09815867245197296
21890,995,0.2993755996227264,0.13692157,0.11272530257701874
22000,1000,0.2989629656076431,0.12819757,0.054628636687994
22110,1005,0.2985794574022293,0.13010342,0.09569896012544632
22220,1010,0.29820137917995454,0.11909325,0.0781150683760643
22330,1015,0.2978185534477234,0.11541687,0.12678131461143494
22440,1020,0.2974506139755249,0.12560351,0.07901037484407425
22550,1025,0.29708305299282073,0.118219756,0.0921345129609108
22660,1030,0.29673334658145906,0.11771403,0.06099184602499008
22770,1035,0.29638963043689726,0.11525884,0.11751790344715118
22880,1040,0.29604491889476775,0.1132002,0.1333066076040268
22990,1045,0.2957236796617508,0.116839096,0.0730174109339714
23100,1050,0.29539399445056913,0.11326839,0.12648117542266846
23210,1055,0.2951000243425369,0.12461494,0.111721470952034
23320,1060,0.29478479027748106,0.11530839,0.10496389865875244
23430,1065,0.2944729417562485,0.117166355,0.12268571555614471
23540,1070,0.2941746383905411,0.10800921,0.11932364851236343
23650,1075,0.2938623011112213,0.110720366,0.09020354598760605
23760,1080,0.2935628354549408,0.10226565,0.08971025049686432
23870,1085,0.2932740718126297,0.11631957,0.1125749796628952
23980,1090,0.2930002897977829,0.1056453,0.000879678234923631
24090,1095,0.29270565807819365,0.10222809,0.07025753706693649
24200,1100,0.2924093782901764,0.10327108,0.09467555582523346
24310,1105,0.2921359896659851,0.10756938,0.12929920852184296
24420,1110,0.2918782144784927,0.11547354,0.09877241402864456
24530,1115,0.2916113257408142,0.09871664,0.1486748903989792
24640,1120,0.291347000002861,0.10353217,0.12376730889081955
24750,1125,0.29110033214092257,0.10775217,0.1111898198723793
24860,1130,0.29083765149116514,0.094612174,0.12162363529205322
24970,1135,0.29059500992298126,0.099265344,0.11482974886894226
25080,1140,0.29036490321159364,0.11150742,0.10850649327039719
25190,1145,0.29011562168598176,0.0946877,0.10698031634092331
25300,1150,0.2898926168680191,0.1038569,0.1266423463821411
25410,1155,0.28964413404464723,0.0945732,0.09806959331035614
25520,1160,0.28942833840847015,0.094325125,0.11312269419431686
25630,1165,0.2891939997673035,0.09044555,0.08455422520637512
25740,1170,0.2890014827251434,0.10591344,0.09726011008024216
25850,1175,0.2888100653886795,0.09231306,0.10641024261713028
25960,1180,0.28859007358551025,0.09727418,0.0852949321269989
26070,1185,0.2884044796228409,0.10134477,0.08868043124675751
26180,1190,0.28819160759449003,0.084477045,0.10040686279535294
26290,1195,0.28799574077129364,0.099095665,0.08857743442058563
26400,1200,0.28780345618724823,0.09731309,0.07031161338090897
26510,1205,0.28759369254112244,0.098189734,0.08376321196556091
26620,1210,0.2873875230550766,0.099324845,0.12309067696332932
26730,1215,0.28718594908714296,0.09354225,0.09568793326616287
26840,1220,0.2870005041360855,0.106658,0.1138005331158638
26950,1225,0.28680850863456725,0.10151914,0.11903452128171921
27060,1230,0.2866058945655823,0.09251454,0.12869201600551605
27170,1235,0.2864320933818817,0.094474964,0.07096561789512634
27280,1240,0.28627285063266755,0.091415994,0.11683599650859833
27390,1245,0.286098837852478,0.0877334,0.12592864036560059
27500,1250,0.2859144240617752,0.08659085,0.1020582988858223
27610,1255,0.28576076328754424,0.082284264,0.07968668639659882
27720,1260,0.28559712767601014,0.08623972,0.1190669983625412
27830,1265,0.2854237049818039,0.08681946,0.09731333702802658
27940,1270,0.2852743685245514,0.081505075,0.08445744961500168
28050,1275,0.2851049184799194,0.088103645,0.10896018147468567
28160,1280,0.28495037853717803,0.077661656,0.08828287571668625
28270,1285,0.28478623926639557,0.09080934,0.11893139034509659
28380,1290,0.2846184730529785,0.08180395,0.08976636081933975
28490,1295,0.28446789681911466,0.07751946,0.10880349576473236
28600,1300,0.2843338817358017,0.08158858,0.12685513496398926
28710,1305,0.28417210578918456,0.089017816,0.11474055796861649
28820,1310,0.284041827917099,0.08882887,0.09411850571632385
28930,1315,0.28391640186309813,0.07568352,0.03813113272190094
29040,1320,0.28378596901893616,0.085210085,0.10352523624897003
29150,1325,0.2836566954851151,0.08216445,0.10091206431388855
29260,1330,0.28355049788951875,0.09995071,0.10284389555454254
29370,1335,0.28342154920101165,0.080127895,0.09060144424438477
29480,1340,0.2832865834236145,0.084129535,0.09504067897796631
29590,1345,0.2831569641828537,0.08896271,0.08087735623121262
29700,1350,0.28304319381713866,0.08267091,0.10798981785774231
29810,1355,0.2829074114561081,0.08866796,0.09437781572341919
29920,1360,0.2827757567167282,0.07693684,0.02807212434709072
30030,1365,0.28264148235321046,0.08945552,0.10802149027585983
30140,1370,0.2825109243392944,0.088489465,0.029191121459007263
30250,1375,0.28239498734474183,0.0832809,0.07272767275571823
30360,1380,0.2822736769914627,0.078031056,0.09308528900146484
30470,1385,0.28215450048446655,0.07233054,0.07477676868438721
30580,1390,0.28203565776348116,0.07576831,0.08652325719594955
30690,1395,0.28191467225551603,0.07708085,0.08225596696138382
30800,1400,0.2817994147539139,0.08491381,0.10038261115550995
30910,1405,0.28170363008975985,0.0902407,0.0607558898627758
31020,1410,0.2816042691469193,0.07551137,0.0962289497256279
31130,1415,0.28148401975631715,0.08130197,0.07770366221666336
31240,1420,0.2813764959573746,0.07722806,0.11486158519983292
31350,1425,0.2812770038843155,0.0781508,0.08153069764375687
31460,1430,0.28118201792240144,0.08300065,0.09045124799013138
31570,1435,0.2810749143362045,0.08030649,0.06283560395240784
31680,1440,0.2809753566980362,0.067615375,0.07756384462118149
31790,1445,0.28087625205516814,0.06649157,0.10062584280967712
31900,1450,0.2807821750640869,0.07509298,0.09779288619756699
32010,1455,0.2806787401437759,0.07872239,0.08121371269226074
32120,1460,0.28060314655303953,0.082474165,0.10355740040540695
32230,1465,0.2805030047893524,0.07000263,0.08642558008432388
32340,1470,0.2803973764181137,0.06367691,0.09642349928617477
32450,1475,0.28031644523143767,0.074356124,0.08993896096944809
32560,1480,0.28024607002735136,0.071134105,0.1263158768415451
32670,1485,0.2801544576883316,0.075883865,0.07839721441268921
32780,1490,0.28007409572601316,0.07584116,0.06672773510217667
32890,1495,0.2799856007099152,0.08260584,0.09335464984178543
