samples,computations,losses,val_losses,train_losses
0,0,0.2532004141807556,0.2532809379696846,0.253234537422657
10000,100,0.06179217673838139,0.061465124264359475,0.06169946303963661
20000,200,0.03780411478132009,0.03829567458480596,0.03826453186571598
30000,300,0.028907658196985722,0.02940006462857127,0.029338138703256845
40000,400,0.025100147128105165,0.025519056767225264,0.025400095503777264
50000,500,0.022930430844426156,0.023404125310480594,0.023268648225814103
60000,600,0.021523126251995563,0.021964971031993626,0.021826311744749548
70000,700,0.019813835341483354,0.020318038035184144,0.020138155546039344
80000,800,0.018814586717635393,0.01934684595093131,0.01913285720720887
90000,900,0.017487112889066337,0.018012310741469265,0.017762236362323165
100000,1000,0.01651411366648972,0.017043458493426443,0.01677238834090531
110000,1100,0.015804632790386675,0.016328681372106076,0.01606572171486914
120000,1200,0.014794849501922726,0.015308558298274875,0.015027525078505277
130000,1300,0.01424969246610999,0.014768163254484535,0.014482253454625607
140000,1400,0.013723342418670655,0.014223225489258766,0.013951404474675655
150000,1500,0.013216649796813727,0.01368499300442636,0.01340315649472177
160000,1600,0.012809950979426504,0.01328933863900602,0.012986157985404133
170000,1700,0.012329761199653148,0.012781063141301275,0.012473236275836826
180000,1800,0.012099312907084823,0.012559189228340983,0.012237760618329048
190000,1900,0.011776377307251095,0.012197922058403492,0.011878476176410914
200000,2000,0.011534450203180313,0.011953200837597251,0.01161398190446198
210000,2100,0.01123575959354639,0.011628940990194679,0.011300780188292265
220000,2200,0.010984763931483031,0.011371990209445357,0.011044782338663935
230000,2300,0.010846238527446985,0.011237412421032787,0.01088132307305932
240000,2400,0.010707697626203298,0.011097725555300713,0.010735271455720067
250000,2500,0.010313397264108062,0.010682729603722692,0.010327207874506712
260000,2600,0.010219230139628053,0.010579236168414354,0.01020301666110754
270000,2700,0.010181946717202663,0.010539233181625605,0.010175618862733245
280000,2800,0.009937675632536412,0.01028564757667482,0.009896250089630484
290000,2900,0.009777156533673406,0.010129011319950223,0.009743746757507324
300000,3000,0.00991278219036758,0.010236703129485249,0.009846786493435502
310000,3100,0.009638416301459073,0.009938217084854841,0.009550771204754711
320000,3200,0.009635573169216514,0.009957012441009282,0.009561382191255689
330000,3300,0.009377286871895193,0.009665419319644571,0.009253841819241644
340000,3400,0.009309230335056783,0.009606323698535561,0.009201084890402854
350000,3500,0.009134347783401608,0.009432738479226828,0.009009163591079413
