samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.2566293475031853,0.2565618121623993,0.25654522961378096,,,
20000,300,30000,0.06806860707700252,0.06806658759713173,0.06788317002356052,0.00158046,"tensor(0.0002926212, device='cuda:0')","tensor(1.0310117432e-05, device='cuda:0')"
40000,600,60000,0.06786400958895683,0.06775552809238433,0.0676222149580717,0.0011290573,"tensor(0.0002143121, device='cuda:0')","tensor(5.9360518208e-06, device='cuda:0')"
60000,900,90000,0.06699087589979172,0.06684111222624779,0.06671125732362271,0.0017238957,"tensor(3.7416262785e-05, device='cuda:0')","tensor(4.6457662393e-05, device='cuda:0')"
80000,1200,120000,0.0561719586327672,0.05634970836341381,0.056411708660423755,0.0033826272,"tensor(0.0169904698, device='cuda:0')","tensor(0.0001424534, device='cuda:0')"
100000,1500,150000,0.043451639898121355,0.043921575471758845,0.04391452704370022,0.004589651,"tensor(0.0084244953, device='cuda:0')","tensor(0.0013216129, device='cuda:0')"
120000,1800,180000,0.03644622854888439,0.036838612668216225,0.03681497995555401,0.004087154,"tensor(0.0153106404, device='cuda:0')","tensor(0.0012193742, device='cuda:0')"
140000,2100,210000,0.033316149711608886,0.03365655478090048,0.03358756749331951,0.004396353,"tensor(0.0002928403, device='cuda:0')","tensor(0.0013172148, device='cuda:0')"
160000,2400,240000,0.03086379377171397,0.03124348297715187,0.031131276872009037,0.004018221,"tensor(0.0002766249, device='cuda:0')","tensor(0.0009504185, device='cuda:0')"
180000,2700,270000,0.02826229939237237,0.02866804542019963,0.028600836001336574,0.003977627,"tensor(0.0003038233, device='cuda:0')","tensor(0.0008428253, device='cuda:0')"
200000,3000,300000,0.02647308401763439,0.026851315908133985,0.02681467603892088,0.003714726,"tensor(0.0001425374, device='cuda:0')","tensor(0.0004991843, device='cuda:0')"
220000,3300,330000,0.024991119708865882,0.025499166827648877,0.02541930067911744,0.0040193656,"tensor(0.0001287964, device='cuda:0')","tensor(0.0008733924, device='cuda:0')"
240000,3600,360000,0.023417352754622697,0.023849248569458723,0.02372337148711085,0.0035370276,"tensor(0.0001560602, device='cuda:0')","tensor(0.0003916981, device='cuda:0')"
260000,3900,390000,0.022485864646732807,0.022924774512648582,0.022789858166128395,0.0039493213,"tensor(0.0002080568, device='cuda:0')","tensor(0.0013450970, device='cuda:0')"
280000,4200,420000,0.0209814671240747,0.021420872230082752,0.021272394243627788,0.0033147978,"tensor(0.0001174711, device='cuda:0')","tensor(0.0002704990, device='cuda:0')"
300000,4500,450000,0.020769515577703714,0.021236885953694582,0.02104329975694418,0.003762346,"tensor(7.9393743363e-05, device='cuda:0')","tensor(0.0008696375, device='cuda:0')"
320000,4800,480000,0.020106591135263443,0.020543725155293943,0.02034571946784854,0.0032577047,"tensor(7.9921781435e-05, device='cuda:0')","tensor(0.0001996369, device='cuda:0')"
340000,5100,510000,0.01941511543467641,0.019858694318681955,0.019659529630094767,0.0033217191,"tensor(6.9200301368e-05, device='cuda:0')","tensor(0.0002307245, device='cuda:0')"
360000,5400,540000,0.019438337851315737,0.019806515406817198,0.019606402512639762,0.004131309,"tensor(7.6214630099e-05, device='cuda:0')","tensor(0.0015683738, device='cuda:0')"
380000,5700,570000,0.01794816051609814,0.018352793622761966,0.018132348358631135,0.0035557405,"tensor(7.5377014582e-05, device='cuda:0')","tensor(0.0005549521, device='cuda:0')"
400000,6000,600000,0.017625875072553754,0.018049653712660076,0.01779726186208427,0.0041355165,"tensor(7.4837640568e-05, device='cuda:0')","tensor(0.0010398556, device='cuda:0')"
420000,6300,630000,0.016924786660820246,0.017301387069746852,0.017048066727817057,0.0032575107,"tensor(6.8406385253e-05, device='cuda:0')","tensor(0.0002702264, device='cuda:0')"
440000,6600,660000,0.016555819269269703,0.016968396231532096,0.016713804475963115,0.0033857785,"tensor(6.9701985922e-05, device='cuda:0')","tensor(0.0003523009, device='cuda:0')"
