samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.2566293475031853,0.2565618121623993,0.25654522961378096,,,
11000,300,12000,0.06838531360030174,0.06827839381992817,0.0681203568726778,0.016936013,"tensor(0.0011646886, device='cuda:0')","tensor(0.0005845951, device='cuda:0')"
22000,600,24000,0.07141217425465583,0.07151168048381805,0.07136636038124561,0.03965059,"tensor(5.0077578635e-06, device='cuda:0')","tensor(0.0215823315, device='cuda:0')"
33000,900,36000,0.06240551359951496,0.06245881833136082,0.06245391481369734,0.024949657,"tensor(2.2829210138e-05, device='cuda:0')","tensor(0.0011842860, device='cuda:0')"
44000,1200,48000,0.05950685258954763,0.05953429121524095,0.059614184580743315,0.011494006,"tensor(0.0340397283, device='cuda:0')","tensor(0.0005512494, device='cuda:0')"
55000,1500,60000,0.05952763449400664,0.05949118904769421,0.05954984711110592,0.019863939,"tensor(2.9700051982e-06, device='cuda:0')","tensor(0.0009341206, device='cuda:0')"
66000,1800,72000,0.05846815887838602,0.058347061350941656,0.05841582144796848,0.0174666,"tensor(2.3112552299e-06, device='cuda:0')","tensor(0.0005595073, device='cuda:0')"
77000,2100,84000,0.056122643090784546,0.056228010728955266,0.056313953943550585,0.024319088,"tensor(0.0326226577, device='cuda:0')","tensor(0.0032171041, device='cuda:0')"
88000,2400,96000,0.05334465730935335,0.05358283989131451,0.05373259685188532,0.024651852,"tensor(0.0255806614, device='cuda:0')","tensor(0.0017987168, device='cuda:0')"
99000,2700,108000,0.05297606259584427,0.0534356577321887,0.05359730897098779,0.04179189,"tensor(0.0295737106, device='cuda:0')","tensor(0.0071359579, device='cuda:0')"
110000,3000,120000,0.04888985466212034,0.04918762106448412,0.049277864970266816,0.022017693,"tensor(0.0220514107, device='cuda:0')","tensor(0.0004482455, device='cuda:0')"
121000,3300,132000,0.04921381663531065,0.049672527387738225,0.04971828182786703,0.03719982,"tensor(0.0223485474, device='cuda:0')","tensor(0.0092954990, device='cuda:0')"
132000,3600,144000,0.0440119269490242,0.04453400980681181,0.04453470968455076,0.031103019,"tensor(0.0253979750, device='cuda:0')","tensor(0.0037004247, device='cuda:0')"
143000,3900,156000,0.0400338289514184,0.04043369080871344,0.040446126773953435,0.027852872,"tensor(0.0120514883, device='cuda:0')","tensor(0.0013554393, device='cuda:0')"
154000,4200,168000,0.038668594621121884,0.03910099599510431,0.03913202362507582,0.03122872,"tensor(0.0092099803, device='cuda:0')","tensor(0.0018241125, device='cuda:0')"
