samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.2566293475031853,0.2565618121623993,0.25654522961378096,,,
11000,300,12000,0.06888239048421382,0.0687776479125023,0.06861650773882866,0.015407042,"tensor(0.0001550140, device='cuda:0')","tensor(0.0015524575, device='cuda:0')"
22000,600,24000,0.06420127909630537,0.06394148264080286,0.06390437829494476,0.015012902,"tensor(5.9089052229e-06, device='cuda:0')","tensor(0.0022562903, device='cuda:0')"
33000,900,36000,0.061637579575181005,0.06151848800480366,0.0616208356693387,0.022072801,"tensor(1.3618605408e-05, device='cuda:0')","tensor(0.0064840186, device='cuda:0')"
44000,1200,48000,0.06021343316882849,0.06020242810249329,0.06028959619998932,0.015310457,"tensor(0.0138795264, device='cuda:0')","tensor(0.0036646274, device='cuda:0')"
55000,1500,60000,0.059573304541409015,0.059529797025024894,0.05958205622434616,0.016508158,"tensor(0.0154832387, device='cuda:0')","tensor(0.0052640801, device='cuda:0')"
66000,1800,72000,0.05697016216814518,0.05690365947782993,0.056975652791559694,0.017917434,"tensor(0.0256965943, device='cuda:0')","tensor(0.0015704735, device='cuda:0')"
77000,2100,84000,0.05338149983435869,0.053588989190757275,0.05369485665857792,0.012905177,"tensor(0.0137598580, device='cuda:0')","tensor(0.0001270707, device='cuda:0')"
88000,2400,96000,0.05146138735115528,0.05176533453166485,0.05192144875228405,0.019278383,"tensor(0.0157130733, device='cuda:0')","tensor(0.0057743117, device='cuda:0')"
99000,2700,108000,0.04880905419588089,0.04928708788007498,0.04940227092057466,0.023694944,"tensor(0.0186363198, device='cuda:0')","tensor(0.0010237932, device='cuda:0')"
110000,3000,120000,0.047984039187431334,0.048252448439598083,0.04835050120204687,0.017286362,"tensor(0.0072753825, device='cuda:0')","tensor(0.0016860550, device='cuda:0')"
121000,3300,132000,0.04511699307709932,0.04565082885324955,0.04568465955555439,0.020632938,"tensor(0.0058833165, device='cuda:0')","tensor(0.0002930088, device='cuda:0')"
132000,3600,144000,0.04271579470485449,0.04314698021858931,0.043169101648032664,0.017822575,"tensor(0.0066070277, device='cuda:0')","tensor(0.0028143248, device='cuda:0')"
143000,3900,156000,0.04122832346707583,0.041630316264927386,0.04162565775960684,0.026245045,"tensor(0.0023488314, device='cuda:0')","tensor(0.0036882740, device='cuda:0')"
154000,4200,168000,0.03998563654720783,0.04034580424427986,0.0403100523725152,0.025225887,"tensor(0.0022035318, device='cuda:0')","tensor(0.0031665948, device='cuda:0')"
165000,4500,180000,0.03751809753477573,0.03769005995243788,0.037682282358407974,0.029727712,"tensor(0.0002126014, device='cuda:0')","tensor(0.0038604653, device='cuda:0')"
176000,4800,192000,0.0365456572547555,0.03690587379038334,0.03685033340007067,0.02464271,"tensor(0.0004138207, device='cuda:0')","tensor(0.0095657129, device='cuda:0')"
187000,5100,204000,0.034780912883579734,0.0350510036945343,0.03494317127391696,0.038297858,"tensor(0.0002487961, device='cuda:0')","tensor(0.0091150757, device='cuda:0')"
198000,5400,216000,0.033050638660788535,0.03347205894067883,0.03335254519805312,0.02945276,"tensor(8.0635240010e-05, device='cuda:0')","tensor(0.0040116361, device='cuda:0')"
209000,5700,228000,0.03252562887966633,0.03275540137663484,0.032657248351722956,0.027971612,"tensor(6.1442631704e-05, device='cuda:0')","tensor(0.0059910426, device='cuda:0')"
220000,6000,240000,0.030689534824341537,0.031013148166239263,0.030890701986849307,0.026302684,"tensor(6.9194102252e-05, device='cuda:0')","tensor(0.0035099008, device='cuda:0')"
231000,6300,252000,0.03069223940372467,0.031124146040529013,0.03097232247516513,0.024116142,"tensor(6.2015024014e-05, device='cuda:0')","tensor(0.0060818284, device='cuda:0')"
242000,6600,264000,0.03011034047231078,0.03048539102077484,0.03034396190941334,0.026555542,"tensor(9.6383031632e-05, device='cuda:0')","tensor(0.0045307432, device='cuda:0')"
253000,6900,276000,0.029405099153518677,0.02977898670360446,0.02963952660933137,0.023541575,"tensor(4.3799500418e-05, device='cuda:0')","tensor(0.0020084004, device='cuda:0')"
264000,7200,288000,0.029845570530742407,0.0301401399821043,0.029972059067338706,0.026116166,"tensor(7.4841176684e-05, device='cuda:0')","tensor(0.0068455180, device='cuda:0')"
275000,7500,300000,0.027975676469504832,0.028315408434718848,0.02813800410181284,0.023049876,"tensor(6.5067652031e-05, device='cuda:0')","tensor(0.0015747091, device='cuda:0')"
286000,7800,312000,0.027400675229728222,0.027764976024627686,0.027567414734512567,0.019172264,"tensor(6.9379486376e-05, device='cuda:0')","tensor(0.0008021665, device='cuda:0')"
297000,8100,324000,0.02786955825984478,0.02819798395037651,0.0280101945027709,0.02401342,"tensor(6.5615880885e-05, device='cuda:0')","tensor(0.0032416820, device='cuda:0')"
308000,8400,336000,0.02699396535754204,0.027371860537678004,0.027211327977478505,0.024285514,"tensor(5.1405659178e-05, device='cuda:0')","tensor(0.0028158331, device='cuda:0')"
319000,8700,348000,0.027568519227206708,0.02787897489964962,0.027719786040484907,0.028697398,"tensor(6.1030405050e-05, device='cuda:0')","tensor(0.0082829325, device='cuda:0')"
330000,9000,360000,0.027416819967329503,0.02764150846749544,0.027448667019605636,0.024227204,"tensor(7.8159413533e-05, device='cuda:0')","tensor(0.0107791284, device='cuda:0')"
341000,9300,372000,0.025480279345065356,0.02581905825063586,0.025652995578944682,0.02188891,"tensor(6.9054978667e-05, device='cuda:0')","tensor(0.0021146010, device='cuda:0')"
352000,9600,384000,0.02522546160966158,0.02551208211109042,0.0253196802996099,0.021259625,"tensor(7.1345551987e-05, device='cuda:0')","tensor(0.0049047070, device='cuda:0')"
363000,9900,396000,0.02449761167168617,0.024818149283528327,0.024646228469908237,0.023911396,"tensor(6.6714688728e-05, device='cuda:0')","tensor(0.0031611102, device='cuda:0')"
374000,10200,408000,0.024864522889256477,0.02522839531302452,0.024997498627752066,0.022849292,"tensor(8.7262385932e-05, device='cuda:0')","tensor(0.0057894308, device='cuda:0')"
385000,10500,420000,0.02587555957958102,0.026058999579399823,0.025876997336745262,0.027027313,"tensor(6.6887754656e-05, device='cuda:0')","tensor(0.0134440260, device='cuda:0')"
396000,10800,432000,0.022875329498201608,0.023157719783484937,0.02294407197833061,0.031364776,"tensor(6.6935572249e-05, device='cuda:0')","tensor(0.0011983569, device='cuda:0')"
407000,11100,444000,0.024325994607061148,0.024553100280463695,0.02432911628112197,0.022224113,"tensor(0.0001050491, device='cuda:0')","tensor(0.0088570518, device='cuda:0')"
418000,11400,456000,0.022177743557840586,0.02250984376296401,0.022282327879220246,0.027331803,"tensor(9.5713694463e-05, device='cuda:0')","tensor(0.0008109375, device='cuda:0')"
429000,11700,468000,0.02264114160090685,0.022979211267083882,0.022736547987908126,0.025870379,"tensor(5.0333706895e-05, device='cuda:0')","tensor(0.0042645005, device='cuda:0')"
440000,12000,480000,0.022238281201571227,0.022525931354612113,0.022284037370234728,0.021699894,"tensor(5.0677223044e-05, device='cuda:0')","tensor(0.0049655871, device='cuda:0')"
451000,12300,492000,0.02191108513623476,0.022233533188700676,0.021973392859101295,0.025477331,"tensor(7.3341281677e-05, device='cuda:0')","tensor(0.0041855928, device='cuda:0')"
462000,12600,504000,0.022074687071144582,0.022301550209522247,0.022022371776401997,0.025671411,"tensor(6.9806308602e-05, device='cuda:0')","tensor(0.0071388339, device='cuda:0')"
473000,12900,516000,0.02070846261456609,0.021023114081472158,0.020761999413371087,0.02008649,"tensor(4.8170630180e-05, device='cuda:0')","tensor(0.0023698206, device='cuda:0')"
484000,13200,528000,0.020764384511858226,0.021154114697128534,0.02085290426015854,0.023027971,"tensor(4.8878446250e-05, device='cuda:0')","tensor(0.0032574760, device='cuda:0')"
495000,13500,540000,0.02109993390738964,0.021386085990816355,0.021123140960931777,0.028419744,"tensor(7.6165815699e-05, device='cuda:0')","tensor(0.0075392323, device='cuda:0')"
506000,13800,552000,0.02021811533719301,0.02058866210281849,0.020272439118474723,0.026736872,"tensor(7.0476467954e-05, device='cuda:0')","tensor(0.0029125754, device='cuda:0')"
