samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.2566293475031853,0.2565618121623993,0.25654522961378096,,,
11000,600,15000,0.06788641251623631,0.0678030177205801,0.0676415978372097,0.024646102,"tensor(2.2588110369e-05, device='cuda:0')","tensor(0.0010057015, device='cuda:0')"
22000,1200,30000,0.06717693891376257,0.06692152313888072,0.06680608683824539,0.021561598,"tensor(0.0047840453, device='cuda:0')","tensor(0.0007338782, device='cuda:0')"
33000,1800,45000,0.0631144218146801,0.0630902711302042,0.06307546489685774,0.032533117,"tensor(9.4240655017e-05, device='cuda:0')","tensor(0.0013753944, device='cuda:0')"
44000,2400,60000,0.06106985352933407,0.06109450962394476,0.06112091656029224,0.028772743,"tensor(0.0165675543, device='cuda:0')","tensor(0.0006676383, device='cuda:0')"
55000,3000,75000,0.06078743562102318,0.06076479457318783,0.060789169177412984,0.04095242,"tensor(0.0269448142, device='cuda:0')","tensor(0.0011127577, device='cuda:0')"
66000,3600,90000,0.060571911484003066,0.06060388870537281,0.0606463206410408,0.032532696,"tensor(0.0477659740, device='cuda:0')","tensor(0.0006543393, device='cuda:0')"
77000,4200,105000,0.06016874562948942,0.060208465568721295,0.06029256453365087,0.042906377,"tensor(0.0715094134, device='cuda:0')","tensor(0.0009365560, device='cuda:0')"
88000,4800,120000,0.0593969738855958,0.05940448373556137,0.05948081087321043,0.053875595,"tensor(0.1137125492, device='cuda:0')","tensor(0.0010788370, device='cuda:0')"
99000,5400,135000,0.058302402570843695,0.058369619250297544,0.058448505148291585,0.06808342,"tensor(0.2433758527, device='cuda:0')","tensor(0.0014097061, device='cuda:0')"
110000,6000,150000,0.05638724196702242,0.056612372025847436,0.05670107900351286,0.08321924,"tensor(0.3762979805, device='cuda:0')","tensor(0.0012502512, device='cuda:0')"
