samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.2566293475031853,0.2565618121623993,0.25654522961378096,,,
11000,1970,28700,0.06807032734155655,0.06807057723402977,0.06788677744567394,0.0015773554,"tensor(6.3524021243e-06, device='cuda:0')","tensor(1.2848599908e-05, device='cuda:0')"
22000,3770,55700,0.06787287697196007,0.06776521183550357,0.06763182727992535,0.0011220353,"tensor(1.3743544514e-05, device='cuda:0')","tensor(5.2834166127e-06, device='cuda:0')"
33000,5570,82700,0.06714197486639023,0.06699465677142143,0.06685953102260828,0.001625035,"tensor(2.1970731723e-06, device='cuda:0')","tensor(4.2776955524e-05, device='cuda:0')"
44000,7658,112580,0.05644360788166523,0.05662748664617538,0.05667848642170429,0.0038918147,"tensor(1.4752404240e-05, device='cuda:0')","tensor(0.0006322408, device='cuda:0')"
55000,9844,143440,0.04364644281566143,0.04415804207324982,0.04414683768898248,0.004235911,"tensor(2.1470306820e-05, device='cuda:0')","tensor(0.0007039168, device='cuda:0')"
66000,12042,174420,0.03610768135637045,0.03652400743216276,0.036503583163023,0.004573083,"tensor(0.0793482810, device='cuda:0')","tensor(0.0016904131, device='cuda:0')"
77000,14240,205400,0.032841619979590175,0.033254159819334744,0.03318004185706377,0.0034567567,"tensor(1.1428436665e-05, device='cuda:0')","tensor(0.0003782311, device='cuda:0')"
88000,16438,236380,0.030293492060154678,0.030645307656377553,0.03059468833729625,0.004620533,"tensor(0.1002872735, device='cuda:0')","tensor(0.0014010817, device='cuda:0')"
99000,18638,267380,0.0285532246902585,0.028904040586203338,0.0288690748475492,0.0044200653,"tensor(1.2226380022e-05, device='cuda:0')","tensor(0.0011399694, device='cuda:0')"
110000,20838,298380,0.026187111791223287,0.026600520461797714,0.026558926194906234,0.0040066186,"tensor(0.0592695847, device='cuda:0')","tensor(0.0007656598, device='cuda:0')"
121000,23038,329380,0.024531595166772602,0.024979498833417893,0.02488144090399146,0.0037610389,"tensor(0.0651286468, device='cuda:0')","tensor(0.0007518117, device='cuda:0')"
132000,25238,360380,0.023180850576609374,0.02360091207548976,0.02350354101881385,0.003668066,"tensor(0.0242246855, device='cuda:0')","tensor(0.0007546874, device='cuda:0')"
143000,27438,391380,0.022036184016615154,0.022475735545158387,0.022336571261286735,0.0031597482,"tensor(1.2977176084e-05, device='cuda:0')","tensor(0.0001828221, device='cuda:0')"
154000,29638,422380,0.02180676180869341,0.022259701788425446,0.022102125640958547,0.0047085206,"tensor(0.0774374157, device='cuda:0')","tensor(0.0009367226, device='cuda:0')"
