samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.2566293475031853,0.2565618121623993,0.25654522961378096,,,
11000,1178,20780,0.06806855857372283,0.06806845493614673,0.06788483245670796,0.0015789695,"tensor(7.5424804891e-06, device='cuda:0')","tensor(7.3714745668e-06, device='cuda:0')"
22000,2276,40760,0.06787213131785393,0.0677640350162983,0.06763070233166218,0.0011242232,"tensor(1.0533396562e-05, device='cuda:0')","tensor(3.0578232781e-06, device='cuda:0')"
33000,3280,59800,0.06712111443281174,0.06697329051792622,0.06683899710327387,0.0016397993,"tensor(1.1460119822e-06, device='cuda:0')","tensor(3.8897880586e-05, device='cuda:0')"
44000,4439,80390,0.05644920211285353,0.05663552954792976,0.056686951957643034,0.0038674332,"tensor(1.1550788258e-05, device='cuda:0')","tensor(0.0006983423, device='cuda:0')"
55000,5639,101390,0.043738751150667665,0.04421483773738146,0.044212478779256346,0.00526813,"tensor(1.9892024284e-05, device='cuda:0')","tensor(0.0032621338, device='cuda:0')"
66000,6839,122390,0.03596420243382454,0.036404753588140014,0.036346187449991706,0.0038840936,"tensor(6.0569141169e-06, device='cuda:0')","tensor(0.0008854987, device='cuda:0')"
77000,8039,143390,0.0324878466874361,0.032893585972487926,0.03282299433276057,0.003567314,"tensor(7.9303708844e-06, device='cuda:0')","tensor(0.0005586299, device='cuda:0')"
88000,9239,164390,0.030219920966774224,0.03065612377598882,0.030574544843286276,0.0036696228,"tensor(0.0745243803, device='cuda:0')","tensor(0.0005335430, device='cuda:0')"
99000,10439,185390,0.028423866163939236,0.02878362275660038,0.02874068619310856,0.0042545213,"tensor(0.1172746047, device='cuda:0')","tensor(0.0007016450, device='cuda:0')"
110000,11639,206390,0.026174804028123617,0.026581993997097014,0.026553624745458363,0.0042246305,"tensor(0.1171691343, device='cuda:0')","tensor(0.0009801288, device='cuda:0')"
121000,12839,227390,0.024632626250386237,0.02504632281139493,0.024973420549184083,0.0038510938,"tensor(0.0801152587, device='cuda:0')","tensor(0.0008526068, device='cuda:0')"
132000,14039,248390,0.02315906383097172,0.02361991409212351,0.0234984547495842,0.0040105474,"tensor(0.0702502280, device='cuda:0')","tensor(0.0008125124, device='cuda:0')"
143000,15239,269390,0.02256776325404644,0.02301119189709425,0.02287842520326376,0.0037440662,"tensor(0.0114945173, device='cuda:0')","tensor(0.0007544412, device='cuda:0')"
154000,16439,290390,0.021112617254257202,0.021543226074427366,0.02136886504665017,0.0035223262,"tensor(0.0584971122, device='cuda:0')","tensor(0.0004278905, device='cuda:0')"
165000,17639,311390,0.020369641054421662,0.020784867499023675,0.020624580502510072,0.0032844623,"tensor(0.0654241368, device='cuda:0')","tensor(0.0003757952, device='cuda:0')"
176000,18839,332390,0.02021115267649293,0.020642928760498763,0.020441260870546103,0.003942209,"tensor(0.0307303444, device='cuda:0')","tensor(0.0009766747, device='cuda:0')"
187000,20039,353390,0.019100396316498517,0.019540090281516313,0.019330088008195162,0.0036109162,"tensor(0.0650291964, device='cuda:0')","tensor(0.0005011835, device='cuda:0')"
198000,21239,374390,0.01901011386886239,0.019431895520538093,0.01920335129275918,0.0039026695,"tensor(0.0587904043, device='cuda:0')","tensor(0.0010129183, device='cuda:0')"
209000,22439,395390,0.01801642283797264,0.018445930220186712,0.018197857229039074,0.0035542555,"tensor(0.0779152960, device='cuda:0')","tensor(0.0003018782, device='cuda:0')"
220000,23639,416390,0.0174154787696898,0.0178466621786356,0.01759579592756927,0.0037759137,"tensor(0.0710256174, device='cuda:0')","tensor(0.0007440667, device='cuda:0')"
231000,24839,437390,0.01695411463268101,0.017393396589905023,0.01711410982720554,0.0035377648,"tensor(0.0468751192, device='cuda:0')","tensor(0.0008182165, device='cuda:0')"
242000,26039,458390,0.016047781817615032,0.01648063792847097,0.016204373886808753,0.0032254586,"tensor(0.0794553012, device='cuda:0')","tensor(0.0003435611, device='cuda:0')"
253000,27239,479390,0.015945557365193964,0.016384161999449132,0.016114598590880633,0.0034986064,"tensor(0.0896346420, device='cuda:0')","tensor(0.0007360697, device='cuda:0')"
264000,28439,500390,0.01543136829510331,0.015845527313649653,0.015555176863446832,0.0035144005,"tensor(0.0767976493, device='cuda:0')","tensor(0.0004961689, device='cuda:0')"
275000,29639,521390,0.01480919343419373,0.015245265867561102,0.014955480009317398,0.0034130092,"tensor(0.0898108184, device='cuda:0')","tensor(0.0006653728, device='cuda:0')"
286000,30839,542390,0.014891174165531993,0.015319835329428315,0.015002221174538135,0.0038545246,"tensor(0.0876005813, device='cuda:0')","tensor(0.0009110484, device='cuda:0')"
297000,32039,563390,0.014287519678473472,0.014729241356253624,0.014410521069541573,0.0032707474,"tensor(0.1003179103, device='cuda:0')","tensor(0.0003823086, device='cuda:0')"
308000,33239,584390,0.014039185550063848,0.014447130067273974,0.014139733534306288,0.0032531316,"tensor(0.1073751822, device='cuda:0')","tensor(0.0005049376, device='cuda:0')"
319000,34439,605390,0.013738150112330913,0.014134998368099332,0.013812923276796937,0.0034434837,"tensor(0.0857817382, device='cuda:0')","tensor(0.0004107319, device='cuda:0')"
330000,35639,626390,0.013445805925875902,0.013849610025063156,0.013532047631219029,0.0033323464,"tensor(0.1311434209, device='cuda:0')","tensor(0.0005131135, device='cuda:0')"
341000,36839,647390,0.013247125102207064,0.013656612280756234,0.013310478502884507,0.003368356,"tensor(0.0947761312, device='cuda:0')","tensor(0.0006175953, device='cuda:0')"
352000,38039,668390,0.01307184724137187,0.013485768865793944,0.013143782889470459,0.0034055633,"tensor(0.1004554853, device='cuda:0')","tensor(0.0006146175, device='cuda:0')"
363000,39239,689390,0.012676594918593765,0.013051804164424538,0.012715965835377574,0.003390114,"tensor(0.0903799087, device='cuda:0')","tensor(0.0005109682, device='cuda:0')"
374000,40439,710390,0.012327070496976376,0.012692817253991961,0.012352102503180504,0.0033073178,"tensor(0.0932725072, device='cuda:0')","tensor(0.0004201134, device='cuda:0')"
385000,41639,731390,0.012358393976464868,0.012739070439711214,0.012391116451472044,0.0032865037,"tensor(0.1269451827, device='cuda:0')","tensor(0.0004057709, device='cuda:0')"
396000,42839,752390,0.012151967119425535,0.012527023842558264,0.012168662490323185,0.0032183274,"tensor(0.0815848187, device='cuda:0')","tensor(0.0004408695, device='cuda:0')"
407000,44039,773390,0.01193919719196856,0.01231491350568831,0.011953815860673785,0.003042653,"tensor(0.0938096866, device='cuda:0')","tensor(0.0004508959, device='cuda:0')"
418000,45239,794390,0.011617268975824118,0.011961496034637094,0.01160380951873958,0.0031853036,"tensor(0.0994030163, device='cuda:0')","tensor(0.0004687722, device='cuda:0')"
429000,46439,815390,0.011364220157265664,0.011689828559756279,0.011341597843915224,0.0031813518,"tensor(0.0949435234, device='cuda:0')","tensor(0.0003783234, device='cuda:0')"
440000,47639,836390,0.011509426636621356,0.011849876074120403,0.011495287148281932,0.0032998563,"tensor(0.1361469179, device='cuda:0')","tensor(0.0003545009, device='cuda:0')"
451000,48839,857390,0.01122767847031355,0.011571193281561136,0.011205407954752446,0.003379084,"tensor(0.0571209937, device='cuda:0')","tensor(0.0006744032, device='cuda:0')"
462000,50039,878390,0.01108867585659027,0.011419613286852837,0.011052975937724113,0.003022877,"tensor(0.0790765733, device='cuda:0')","tensor(0.0004774414, device='cuda:0')"
473000,51239,899390,0.010954467076808215,0.011264797234907746,0.010902425130829216,0.0034183804,"tensor(0.0858789161, device='cuda:0')","tensor(0.0006803571, device='cuda:0')"
484000,52439,920390,0.010793304210528732,0.01110125558450818,0.010741349335759879,0.00315991,"tensor(0.0712591559, device='cuda:0')","tensor(0.0004063192, device='cuda:0')"
495000,53639,941390,0.010692811319604516,0.011000002268701792,0.010629526242613792,0.0032158908,"tensor(0.1253449321, device='cuda:0')","tensor(0.0003477154, device='cuda:0')"
