samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.2566293475031853,0.2565618121623993,0.25654522961378096,,,
11000,300,12000,0.06809751354157925,0.06809920683503151,0.06791354383528232,0.0015838915,"tensor(1.5839776097e-05, device='cuda:0')","tensor(1.1349332453e-05, device='cuda:0')"
22000,600,24000,0.06788188591599464,0.06777417488396167,0.06764050363004208,0.0011314197,"tensor(6.1907130657e-06, device='cuda:0')","tensor(7.0336373028e-06, device='cuda:0')"
33000,900,36000,0.06755612269043923,0.06741563268005848,0.067266943924129,0.0013954306,"tensor(7.4672325354e-06, device='cuda:0')","tensor(1.4448132788e-05, device='cuda:0')"
44000,1200,48000,0.05861185647547245,0.058739843145012856,0.058802395269274714,0.002337889,"tensor(0.0668181702, device='cuda:0')","tensor(1.0758398275e-05, device='cuda:0')"
55000,1500,60000,0.04564739748835564,0.046116723977029324,0.04612382211536169,0.0040774085,"tensor(0.0103713553, device='cuda:0')","tensor(0.0012682490, device='cuda:0')"
66000,1800,72000,0.03806079551577568,0.03846825011074543,0.03848017901927233,0.0044075157,"tensor(1.0302358532e-05, device='cuda:0')","tensor(0.0017281931, device='cuda:0')"
77000,2100,84000,0.03385534381493926,0.034269425440579655,0.0342111660912633,0.0047433423,"tensor(7.1175008998e-06, device='cuda:0')","tensor(0.0020562781, device='cuda:0')"
88000,2400,96000,0.03153804617002606,0.03199610885232687,0.031910795528441664,0.0040045036,"tensor(3.5081739043e-06, device='cuda:0')","tensor(0.0009216007, device='cuda:0')"
99000,2700,108000,0.029177655447274447,0.029485916569828987,0.029451452333480118,0.0037805538,"tensor(0.0885878429, device='cuda:0')","tensor(0.0006542419, device='cuda:0')"
110000,3000,120000,0.02755464807152748,0.02785626670345664,0.027843600574880837,0.0033983437,"tensor(0.0409127735, device='cuda:0')","tensor(0.0005354767, device='cuda:0')"
121000,3300,132000,0.025905059892684223,0.026289802119135855,0.026237339492887257,0.0035119932,"tensor(0.0268579330, device='cuda:0')","tensor(0.0003574753, device='cuda:0')"
132000,3600,144000,0.024440545924007892,0.02489563511684537,0.024790684156119822,0.0036408214,"tensor(0.0819632709, device='cuda:0')","tensor(0.0005245531, device='cuda:0')"
143000,3900,156000,0.02314697705209255,0.023583256881684066,0.023457355029881,0.003305706,"tensor(0.0988666192, device='cuda:0')","tensor(0.0004172372, device='cuda:0')"
154000,4200,168000,0.021861148606985806,0.022314818631857632,0.02218342114984989,0.0038683033,"tensor(0.0537969396, device='cuda:0')","tensor(0.0007563002, device='cuda:0')"
165000,4500,180000,0.02174830250442028,0.0222060776501894,0.02204531171917915,0.003740733,"tensor(0.1217355132, device='cuda:0')","tensor(0.0006999351, device='cuda:0')"
