samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.2566293475031853,0.2565618121623993,0.25654522961378096,,,
11000,400,13000,0.06767589941620827,0.06762624099850655,0.06745509566366673,0.026305506,"tensor(0.0001383641, device='cuda:0')","tensor(0.0006838028, device='cuda:0')"
22000,800,26000,0.06728028286248446,0.06706951186060905,0.06694592098146677,0.024884306,"tensor(0.0005787996, device='cuda:0')","tensor(0.0005505936, device='cuda:0')"
33000,1200,39000,0.06561689414083957,0.06556743312627077,0.06548222763836384,0.034364913,"tensor(0.0006782812, device='cuda:0')","tensor(0.0008017345, device='cuda:0')"
44000,1600,52000,0.061690518632531166,0.06172944571822882,0.06174848997592926,0.038693808,"tensor(0.0359349698, device='cuda:0')","tensor(0.0006335049, device='cuda:0')"
55000,2000,65000,0.06880851186811925,0.06886964976787567,0.06889519402384758,0.12738219,"tensor(0.0001677691, device='cuda:0')","tensor(0.0049568024, device='cuda:0')"
66000,2400,78000,0.0656568244472146,0.06563147842884064,0.06565991915762424,0.118872195,"tensor(0.0277602486, device='cuda:0')","tensor(0.0102096619, device='cuda:0')"
77000,2800,91000,0.07100996389985084,0.0708302516490221,0.07086481590569019,0.14863963,"tensor(0.3699693680, device='cuda:0')","tensor(0.0123306401, device='cuda:0')"
88000,3200,104000,0.06971309944987297,0.06975596524775028,0.06985112176835537,0.17590481,"tensor(0.5067624450, device='cuda:0')","tensor(0.0186705403, device='cuda:0')"
99000,3600,117000,0.07181860156357288,0.07252689912915229,0.07249122753739357,0.21881405,"tensor(0.5022023320, device='cuda:0')","tensor(0.0065236106, device='cuda:0')"
110000,4000,130000,0.06073892783373594,0.06074941344559193,0.060814670123159886,0.11528307,"tensor(2.6159388653e-05, device='cuda:0')","tensor(0.0014137459, device='cuda:0')"
121000,4400,143000,0.06286409586668014,0.06295897644013167,0.06306643126159907,0.10246077,"tensor(2.4405660952e-05, device='cuda:0')","tensor(0.0023738600, device='cuda:0')"
132000,4800,156000,0.06165888138115406,0.06194171704351902,0.06198189138621092,0.2187175,"tensor(0.0001495677, device='cuda:0')","tensor(0.0576063804, device='cuda:0')"
143000,5200,169000,0.06262999538332224,0.06268110550940037,0.06269343199580908,0.056923296,"tensor(3.6905079469e-05, device='cuda:0')","tensor(0.0014510590, device='cuda:0')"
154000,5600,182000,0.05874407347291708,0.05891768626868725,0.058920837089419364,0.11174516,"tensor(3.8854159357e-05, device='cuda:0')","tensor(0.0036000090, device='cuda:0')"
165000,6000,195000,0.06044194474816322,0.060531848892569545,0.06063499841839075,0.17788999,"tensor(6.1709339207e-05, device='cuda:0')","tensor(0.0024192794, device='cuda:0')"
176000,6400,208000,0.0891098903864622,0.08862335383892059,0.08885900707542896,0.5952864,"tensor(0.0015106383, device='cuda:0')","tensor(0.1347836107, device='cuda:0')"
187000,6800,221000,0.06273616012185812,0.06274818085134029,0.06282581742107868,0.046533283,"tensor(3.8735801354e-05, device='cuda:0')","tensor(0.0130892824, device='cuda:0')"
198000,7200,234000,0.09707426637411118,0.09713530778884888,0.09724450647830964,0.46377763,"tensor(7.4036695878e-05, device='cuda:0')","tensor(0.0623037070, device='cuda:0')"
209000,7600,247000,0.053102775774896145,0.05357151381671429,0.05358447736501694,0.18209456,"tensor(0.1792959273, device='cuda:0')","tensor(0.0270633474, device='cuda:0')"
220000,8000,260000,0.05038286440074444,0.05106700859963894,0.051041727162897586,0.15686874,"tensor(4.5577813580e-05, device='cuda:0')","tensor(0.0240474883, device='cuda:0')"
231000,8400,273000,0.05899307318031788,0.05901473730802536,0.05905000517517328,0.10197008,"tensor(4.8277044698e-05, device='cuda:0')","tensor(0.0026835583, device='cuda:0')"
242000,8800,286000,0.07229090832173825,0.07196242354810238,0.07200208698213101,0.14126338,"tensor(0.0283744503, device='cuda:0')","tensor(0.0205701888, device='cuda:0')"
253000,9200,299000,0.0752680915594101,0.07546494446694851,0.07567548005282879,0.36288035,"tensor(2.7462585422e-05, device='cuda:0')","tensor(0.0229101796, device='cuda:0')"
264000,9600,312000,0.07861601337790489,0.0786139925569296,0.0785113389045,0.10322885,"tensor(1.5207515389e-05, device='cuda:0')","tensor(0.0022583946, device='cuda:0')"
275000,10000,325000,0.14807638719677926,0.14839742422103883,0.1485847861468792,0.38028517,"tensor(0.0003801595, device='cuda:0')","tensor(0.1130629033, device='cuda:0')"
286000,10400,338000,0.05028555877506733,0.050735789462924,0.050724240839481356,0.21351089,"tensor(2.6870155125e-05, device='cuda:0')","tensor(0.0072680209, device='cuda:0')"
297000,10800,351000,0.05497589904814958,0.0555328406020999,0.055493172630667685,0.33715189,"tensor(1.6109101125e-05, device='cuda:0')","tensor(0.0167643074, device='cuda:0')"
308000,11200,364000,0.0565211084485054,0.05670451954007149,0.056758360408246514,0.075870365,"tensor(2.0193332603e-05, device='cuda:0')","tensor(0.0015151600, device='cuda:0')"
319000,11600,377000,0.045526154935359955,0.045960884280502795,0.045938560359179974,0.19339538,"tensor(3.5483753891e-06, device='cuda:0')","tensor(0.0056650378, device='cuda:0')"
330000,12000,390000,0.07066082552075387,0.07056507527828217,0.07061816895008087,0.24165487,"tensor(0.2437687218, device='cuda:0')","tensor(0.0277339052, device='cuda:0')"
341000,12400,403000,0.10561293043196202,0.10447926215827465,0.10480963188409806,0.51567346,"tensor(0.0005271843, device='cuda:0')","tensor(0.0144781834, device='cuda:0')"
352000,12800,416000,0.05197222840040922,0.0522649696469307,0.05220621152222157,0.04786281,"tensor(3.1912182749e-05, device='cuda:0')","tensor(0.0006141670, device='cuda:0')"
363000,13200,429000,0.06211107604205608,0.06286361861974,0.06280761802196502,0.19895643,"tensor(0.4980027080, device='cuda:0')","tensor(0.0005279202, device='cuda:0')"
374000,13600,442000,0.13941280916333199,0.13902562171220778,0.13937887519598008,0.2777167,"tensor(6.5026746597e-05, device='cuda:0')","tensor(0.1284753233, device='cuda:0')"
385000,14000,455000,0.043003431260585784,0.04342469833791256,0.04342612130939961,0.097075984,"tensor(3.9045160520e-05, device='cuda:0')","tensor(0.0003866040, device='cuda:0')"
396000,14400,468000,0.04577424973249435,0.04605891484767199,0.04608878768980503,0.27973112,"tensor(0.2603800595, device='cuda:0')","tensor(0.0081948796, device='cuda:0')"
407000,14800,481000,0.04202714908868074,0.042387328632175925,0.04238009937107563,0.19291855,"tensor(3.1099145417e-05, device='cuda:0')","tensor(0.0033600654, device='cuda:0')"
418000,15200,494000,0.06362621296197175,0.06380712147802114,0.06373059592396021,0.15566754,"tensor(2.0630111976e-05, device='cuda:0')","tensor(0.0027560075, device='cuda:0')"
429000,15600,507000,0.051944887340068815,0.05265586070716381,0.05255067501962185,0.2642381,"tensor(0.5517288446, device='cuda:0')","tensor(0.1317621022, device='cuda:0')"
440000,16000,520000,0.04028422683477402,0.04073459547013045,0.0407320522069931,0.10616242,"tensor(3.6188183003e-05, device='cuda:0')","tensor(0.0007287647, device='cuda:0')"
451000,16400,533000,0.044413667507469654,0.04494675200432539,0.044914773814380166,0.12016614,"tensor(4.5401684474e-05, device='cuda:0')","tensor(0.0045390488, device='cuda:0')"
462000,16800,546000,0.07073648698627949,0.07070142403244972,0.07060134550929069,0.120624356,"tensor(0.2325812280, device='cuda:0')","tensor(0.0117501458, device='cuda:0')"
473000,17200,559000,0.0551321729645133,0.054878051839768884,0.05509516629576683,0.39135274,"tensor(2.8125761673e-05, device='cuda:0')","tensor(0.0095856069, device='cuda:0')"
484000,17600,572000,0.047988673597574236,0.048515060283243656,0.04854651226848364,0.17009588,"tensor(6.2981271185e-05, device='cuda:0')","tensor(0.0107858414, device='cuda:0')"
495000,18000,585000,0.08774718701839447,0.08811302848160267,0.08838714261353016,0.19711795,"tensor(2.2661100957e-05, device='cuda:0')","tensor(0.0475232936, device='cuda:0')"
506000,18400,598000,0.046948127634823325,0.04686969045549631,0.046871709704399106,0.41966945,"tensor(0.3131798208, device='cuda:0')","tensor(0.0476171225, device='cuda:0')"
517000,18800,611000,0.04724406782537699,0.04759281039237976,0.04755734007805586,0.3923719,"tensor(0.2780861557, device='cuda:0')","tensor(0.0276476257, device='cuda:0')"
528000,19200,624000,0.05784847445785999,0.057729553803801535,0.057740696340799334,0.64731956,"tensor(0.0019094931, device='cuda:0')","tensor(0.1136069223, device='cuda:0')"
539000,19600,637000,0.04915069688111544,0.04962406825274229,0.0495803407728672,0.2633862,"tensor(5.3877141909e-05, device='cuda:0')","tensor(0.0047510453, device='cuda:0')"
550000,20000,650000,0.04289341583848,0.0431496025249362,0.04309478545933962,0.319506,"tensor(1.4000037481e-05, device='cuda:0')","tensor(0.0109389555, device='cuda:0')"
561000,20400,663000,0.05956990841776132,0.059771851636469364,0.059653072640299794,0.13247089,"tensor(0.4913510680, device='cuda:0')","tensor(0.0033345451, device='cuda:0')"
572000,20800,676000,0.03871701803058386,0.03903507057577372,0.03898525457829237,0.12469717,"tensor(2.1304542315e-05, device='cuda:0')","tensor(0.0015429173, device='cuda:0')"
583000,21200,689000,0.06770142022520304,0.06745614930987358,0.06754551731795072,0.3973147,"tensor(2.6527959562e-05, device='cuda:0')","tensor(0.0506880358, device='cuda:0')"
594000,21600,702000,0.04271156374365091,0.04296139035373926,0.042914805948734286,0.06514243,"tensor(3.0344828701e-05, device='cuda:0')","tensor(0.0036558055, device='cuda:0')"
605000,22000,715000,0.04999994557350874,0.05030971050262451,0.05021949113160372,0.36641976,"tensor(0.0502846353, device='cuda:0')","tensor(0.0241756868, device='cuda:0')"
616000,22400,728000,0.035811833217740056,0.036217250525951386,0.036163357876241205,0.30148622,"tensor(0.1757550985, device='cuda:0')","tensor(0.0277006254, device='cuda:0')"
627000,22800,741000,0.04716725718230009,0.04752503551542759,0.04743488774448633,0.11034983,"tensor(1.4004344848e-05, device='cuda:0')","tensor(0.0004693168, device='cuda:0')"
638000,23200,754000,0.04632827136665583,0.04644754786044359,0.046505306638777257,0.11288231,"tensor(3.2934975025e-05, device='cuda:0')","tensor(0.0113405688, device='cuda:0')"
649000,23600,767000,0.04631414815783501,0.04683664027601481,0.046789998978376386,0.21399419,"tensor(0.2091866583, device='cuda:0')","tensor(0.0017598172, device='cuda:0')"
660000,24000,780000,0.07169135339558125,0.07197246842086315,0.0719430289119482,0.41437924,"tensor(0.5511837006, device='cuda:0')","tensor(0.0272477828, device='cuda:0')"
671000,24400,793000,0.047718487493693826,0.04783375177532435,0.04781344658881426,0.4514078,"tensor(0.1683306098, device='cuda:0')","tensor(0.0773670748, device='cuda:0')"
682000,24800,806000,0.049539993591606615,0.04949678674340248,0.04949201092123985,0.1642797,"tensor(1.9603976398e-05, device='cuda:0')","tensor(0.0072591007, device='cuda:0')"
693000,25200,819000,0.22058292612433433,0.2206685145199299,0.22056935545802117,0.11606072,"tensor(1., device='cuda:0')","tensor(0.3492650986, device='cuda:0')"
704000,25600,832000,0.22102005019783974,0.2209149667620659,0.22083678823709488,0.05701497,"tensor(0.1729120463, device='cuda:0')","tensor(1.1143537760, device='cuda:0')"
715000,26000,845000,0.21559010148048402,0.21537885546684266,0.21525533026456833,0.0007301699,"tensor(1.3355760530e-05, device='cuda:0')","tensor(1.9581600554e-06, device='cuda:0')"
726000,26400,858000,0.2130875000357628,0.21284084275364876,0.21269858145713808,0.00038672664,"tensor(0.0196454078, device='cuda:0')","tensor(8.5757437773e-07, device='cuda:0')"
737000,26800,871000,0.20879233956336976,0.20857808142900466,0.20843290695548058,0.0013742523,"tensor(0.0259092450, device='cuda:0')","tensor(4.1117713408e-05, device='cuda:0')"
748000,27200,884000,0.20506761491298675,0.20485743016004562,0.2046939114332199,0.00039378693,"tensor(0.0062688547, device='cuda:0')","tensor(6.3585580392e-06, device='cuda:0')"
759000,27600,897000,0.20512687027454377,0.20477968573570252,0.20462841933965684,0.00058502477,"tensor(0.0063170702, device='cuda:0')","tensor(6.1849214035e-06, device='cuda:0')"
