samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.2566293475031853,0.2565618121623993,0.25654522961378096,,,
11000,300,12000,0.06790188372135163,0.06781778790056706,0.06765722073614597,0.026785256,"tensor(9.9786353530e-05, device='cuda:0')","tensor(0.0010821979, device='cuda:0')"
22000,600,24000,0.06691529493778944,0.0666644149273634,0.0665565056502819,0.024821483,"tensor(0.0003960270, device='cuda:0')","tensor(0.0007588400, device='cuda:0')"
33000,900,36000,0.06254556193947793,0.06255531013011932,0.06255181231349706,0.03505084,"tensor(0.0001403300, device='cuda:0')","tensor(0.0010103106, device='cuda:0')"
44000,1200,48000,0.060978469960391524,0.061006606593728065,0.06103725802898407,0.030859604,"tensor(0.0237636305, device='cuda:0')","tensor(0.0006838806, device='cuda:0')"
55000,1500,60000,0.06072063580155373,0.06070769138634205,0.06073865581303835,0.04260471,"tensor(0.0003857013, device='cuda:0')","tensor(0.0008905954, device='cuda:0')"
66000,1800,72000,0.06050381649285555,0.06053813014179468,0.06060017041116953,0.046114277,"tensor(0.0003321687, device='cuda:0')","tensor(0.0010966053, device='cuda:0')"
77000,2100,84000,0.06007728889584541,0.060168063119053844,0.06021521987766027,0.06107656,"tensor(0.0263893045, device='cuda:0')","tensor(0.0015026900, device='cuda:0')"
88000,2400,96000,0.059989883825182916,0.06007802154868841,0.06015543960034847,0.078916796,"tensor(5.7244702475e-05, device='cuda:0')","tensor(0.0024341287, device='cuda:0')"
99000,2700,108000,0.06134659457951784,0.0613855754584074,0.061509789742529394,0.04082804,"tensor(0.0001044610, device='cuda:0')","tensor(0.0012302642, device='cuda:0')"
110000,3000,120000,0.05855701770633459,0.05865495756268501,0.058752128079533575,0.07019543,"tensor(0.0001684288, device='cuda:0')","tensor(0.0017376352, device='cuda:0')"
121000,3300,132000,0.05899859469383955,0.05925605114549398,0.05936753819137812,0.06683401,"tensor(0.0002284657, device='cuda:0')","tensor(0.0016119207, device='cuda:0')"
132000,3600,144000,0.058884932920336724,0.0590687283873558,0.05909706972539425,0.02411289,"tensor(4.1834355216e-05, device='cuda:0')","tensor(0.0009223988, device='cuda:0')"
143000,3900,156000,0.05238385062664747,0.05274800017476082,0.052750439777970316,0.040021062,"tensor(0.0001157612, device='cuda:0')","tensor(0.0007098765, device='cuda:0')"
154000,4200,168000,0.049208465963602066,0.04972953479737043,0.04972545640915632,0.06569504,"tensor(0.0001735015, device='cuda:0')","tensor(0.0008114234, device='cuda:0')"
