samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.02342782883644104,0.023625805305296035,0.023438254984537638,,,
20000,1197,119700,0.017896370136737824,0.01815777702356718,0.01797588260771303,0.33187616,"tensor(1., device='cuda:0')","tensor(0.0019250854, device='cuda:0')"
40000,2397,239700,0.01694737892150879,0.017221636514112137,0.016945944058193003,0.3292883,"tensor(0.0033183985, device='cuda:0')","tensor(0.0059832521, device='cuda:0')"
60000,3597,359700,0.015431802213191986,0.015706800573416287,0.015304487082181498,0.34884045,"tensor(0.0029794651, device='cuda:0')","tensor(0.0042814934, device='cuda:0')"
80000,4797,479700,0.014545403277873993,0.014847167524640326,0.014442098482328159,0.38362926,"tensor(0.0026830812, device='cuda:0')","tensor(0.0039204145, device='cuda:0')"
83400,5001,500100,0.015381623995304107,0.015464480085741396,0.015133036405773655,0.44177735,"tensor(1., device='cuda:0')","tensor(0.0111673838, device='cuda:0')"
103400,6201,620100,0.014547151243686676,0.014536293828290001,0.014113071244282425,0.34938467,"tensor(0.0004727808, device='cuda:0')","tensor(0.0054858453, device='cuda:0')"
123400,7401,740100,0.01380545907020569,0.013882336425987227,0.013477082354470931,0.43985456,"tensor(1., device='cuda:0')","tensor(0.0023350855, device='cuda:0')"
143400,8601,860100,0.0134142946600914,0.013429368732357186,0.012908104133177941,0.50627023,"tensor(0.0031060139, device='cuda:0')","tensor(0.0079566920, device='cuda:0')"
163400,9801,980100,0.013513790380954743,0.013473813700281174,0.012921599591224105,0.40748483,"tensor(1., device='cuda:0')","tensor(0.0058394661, device='cuda:0')"
166800,10005,1000500,0.013192176544666291,0.01325221091172722,0.012714570611093034,0.3841288,"tensor(1., device='cuda:0')","tensor(0.0080482839, device='cuda:0')"
186800,11205,1120500,0.013459164202213287,0.013454026860643812,0.012817035806348994,0.36134687,"tensor(1., device='cuda:0')","tensor(0.0116933752, device='cuda:0')"
206800,12405,1240500,0.012929438984394073,0.012985610278184276,0.012171309184725948,0.48096538,"tensor(1., device='cuda:0')","tensor(0.0008024871, device='cuda:0')"
226800,13605,1360500,0.012908802461624146,0.012942074685180277,0.012057097368265992,0.47415283,"tensor(1., device='cuda:0')","tensor(0.0004363553, device='cuda:0')"
246800,14805,1480500,0.013056706941127778,0.012974834396365967,0.012124823479921804,0.4197045,"tensor(1., device='cuda:0')","tensor(0.0146702155, device='cuda:0')"
250200,15009,1500900,0.012775415611267089,0.012770536722884007,0.011864078117562503,0.47896802,"tensor(0.7822572589, device='cuda:0')","tensor(0.0098695988, device='cuda:0')"
270200,16209,1620900,0.012951269996166229,0.01297534663585098,0.01186911983994225,0.3893506,"tensor(1., device='cuda:0')","tensor(0.0128568085, device='cuda:0')"
290200,17409,1740900,0.01315131842494011,0.013176327790749396,0.011985814139931451,0.4711961,"tensor(1., device='cuda:0')","tensor(0.0114547461, device='cuda:0')"
310200,18609,1860900,0.012508357787132263,0.012477923804173974,0.011174671831496282,0.42358816,"tensor(1., device='cuda:0')","tensor(0.0109860888, device='cuda:0')"
330200,19809,1980900,0.01255583689212799,0.012518100638969756,0.011246676079191076,0.45204502,"tensor(0.8846856356, device='cuda:0')","tensor(0.0203472879, device='cuda:0')"
333600,20013,2001300,0.012793130242824554,0.012856430091358988,0.011480818399114742,0.49730226,"tensor(0.8309344053, device='cuda:0')","tensor(0.0122441165, device='cuda:0')"
