samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.02342782883644104,0.023625805305296035,0.023438254984537638,,,
11000,300,12000,0.020494545602798463,0.020514822847299045,0.0204631272271209,0.10568585,"tensor(0.0009909318, device='cuda:0')","tensor(0.0053370818, device='cuda:0')"
22000,600,24000,0.018662438321113587,0.018792038831259954,0.018655286521693723,0.14110345,"tensor(0.0025528532, device='cuda:0')","tensor(0.0140327793, device='cuda:0')"
33000,900,36000,0.018659119272232055,0.01874833548129077,0.01861570383327885,0.15415885,"tensor(0.0333284885, device='cuda:0')","tensor(0.0008569392, device='cuda:0')"
44000,1200,48000,0.01845437175035477,0.018653433429328035,0.018439111221267516,0.17195223,"tensor(0.0027746651, device='cuda:0')","tensor(0.0600403585, device='cuda:0')"
45870,1251,50040,0.01800006934404373,0.01811882243443657,0.017889301684072916,0.17139941,"tensor(0.0105287256, device='cuda:0')","tensor(0.0348861106, device='cuda:0')"
56870,1551,62040,0.01812794256210327,0.018279895240064143,0.01806153185007204,0.21334065,"tensor(0.0006626454, device='cuda:0')","tensor(0.0007244807, device='cuda:0')"
67870,1851,74040,0.01824111338853836,0.018439377301140373,0.018277115650288698,0.18430214,"tensor(0.0051577813, device='cuda:0')","tensor(0.0277011264, device='cuda:0')"
78870,2151,86040,0.018435390865802766,0.018491206550758348,0.01833111784756055,0.18987592,"tensor(0.0002473724, device='cuda:0')","tensor(0.0099727837, device='cuda:0')"
89870,2451,98040,0.018492351162433623,0.018604418729059352,0.018550968740090906,0.16915973,"tensor(0.0006558283, device='cuda:0')","tensor(0.0274881814, device='cuda:0')"
91740,2502,100080,0.018206242084503173,0.018387126456297986,0.018231813482354035,0.20303161,"tensor(0.0027206729, device='cuda:0')","tensor(0.0381131209, device='cuda:0')"
102740,2802,112080,0.017993716275691986,0.018157644783360568,0.017960581363251703,0.17023645,"tensor(0.0041725277, device='cuda:0')","tensor(0.0197518431, device='cuda:0')"
113740,3102,124080,0.017908524823188783,0.01800763927434084,0.017778422201566137,0.16191113,"tensor(0.0006745124, device='cuda:0')","tensor(0.0262161791, device='cuda:0')"
124740,3402,136080,0.018468974351882935,0.018586088877545863,0.018346398952959114,0.17362174,"tensor(0.0019069634, device='cuda:0')","tensor(0.0256853923, device='cuda:0')"
135740,3702,148080,0.017780733942985533,0.017853050229644958,0.017649764667429138,0.20437342,"tensor(0.0007651257, device='cuda:0')","tensor(0.0011900606, device='cuda:0')"
137610,3753,150120,0.01841022115945816,0.018670471374840368,0.018500028389904312,0.22495031,"tensor(0.0020535770, device='cuda:0')","tensor(0.0477766804, device='cuda:0')"
148610,4053,162120,0.017703303456306458,0.01789403688372655,0.017688005943771675,0.18432626,"tensor(0.0008180368, device='cuda:0')","tensor(0.0293212980, device='cuda:0')"
159610,4353,174120,0.017554526376724243,0.01771903703159527,0.017520020276226518,0.27366066,"tensor(0.0013122077, device='cuda:0')","tensor(0.0199989192, device='cuda:0')"
170610,4653,186120,0.017751502871513367,0.017857724924524653,0.01773425413838604,0.20674512,"tensor(0.0010068406, device='cuda:0')","tensor(0.0407832600, device='cuda:0')"
181610,4953,198120,0.01760725792646408,0.017608684731925853,0.017515797822307087,0.20073797,"tensor(0.0002074991, device='cuda:0')","tensor(0.0393190086, device='cuda:0')"
183480,5004,200160,0.017092143607139586,0.017269774524033256,0.017140980847299696,0.24405237,"tensor(0.0078087058, device='cuda:0')","tensor(0.0479334556, device='cuda:0')"
194480,5304,212160,0.017451362538337706,0.01745590681305371,0.017257205418455945,0.1922905,"tensor(0.0045776931, device='cuda:0')","tensor(0.0094773704, device='cuda:0')"
205480,5604,224160,0.017249771416187287,0.01740355870121241,0.017148982006240175,0.18778968,"tensor(0.0022553105, device='cuda:0')","tensor(0.0233816411, device='cuda:0')"
216480,5904,236160,0.017175513017177582,0.017223183846113235,0.016905032326105903,0.20638612,"tensor(0.0028296371, device='cuda:0')","tensor(0.0313119181, device='cuda:0')"
227480,6204,248160,0.017751475298404693,0.01802806860541794,0.017610463350818156,0.19692172,"tensor(0.0007908657, device='cuda:0')","tensor(0.0388517603, device='cuda:0')"
229350,6255,250200,0.016930743277072908,0.0170115664590598,0.01669790284092208,0.203001,"tensor(0.0052814865, device='cuda:0')","tensor(0.0332839713, device='cuda:0')"
240350,6555,262200,0.017501613056659697,0.017485923408918424,0.017112863554199435,0.22497733,"tensor(0.0061094882, device='cuda:0')","tensor(0.0102421939, device='cuda:0')"
251350,6855,274200,0.016694609355926513,0.01692514651852144,0.016591088917047917,0.2842335,"tensor(0.0019078715, device='cuda:0')","tensor(0.0197333600, device='cuda:0')"
262350,7155,286200,0.01702965068817139,0.017219019774369893,0.016867060124693866,0.2209097,"tensor(0.0004588899, device='cuda:0')","tensor(0.0359566398, device='cuda:0')"
273350,7455,298200,0.01709188997745514,0.017272682592741215,0.016836101117997222,0.22322129,"tensor(0.0017145637, device='cuda:0')","tensor(0.0447353199, device='cuda:0')"
275220,7506,300240,0.016838750815391542,0.01702165198835332,0.01659056894069546,0.2520075,"tensor(0.0913318247, device='cuda:0')","tensor(0.0444515944, device='cuda:0')"
286220,7806,312240,0.01649103206396103,0.016626211674001138,0.016165660131236843,0.19005115,"tensor(0.0051311450, device='cuda:0')","tensor(0.0326348655, device='cuda:0')"
297220,8106,324240,0.016414236330986022,0.01652107475929361,0.016049023119857283,0.21695837,"tensor(0.0016911236, device='cuda:0')","tensor(0.0267859623, device='cuda:0')"
308220,8406,336240,0.016574475598335265,0.016690649372912838,0.016230130069158438,0.18951644,"tensor(0.0040753325, device='cuda:0')","tensor(0.0304804500, device='cuda:0')"
319220,8706,348240,0.01713249627351761,0.017327535487148212,0.016860350254762707,0.21761832,"tensor(0.0277481545, device='cuda:0')","tensor(0.0415874124, device='cuda:0')"
321090,8757,350280,0.017183576941490173,0.017254972818345798,0.016914374957201158,0.24409126,"tensor(0.0643434078, device='cuda:0')","tensor(0.0352001972, device='cuda:0')"
332090,9057,362280,0.016895132339000703,0.01694627808872275,0.016479232748648966,0.24729235,"tensor(0.0024640444, device='cuda:0')","tensor(0.0429389775, device='cuda:0')"
343090,9357,374280,0.01632566282749176,0.01641464482287523,0.015808613554500833,0.24929795,"tensor(0.0026655183, device='cuda:0')","tensor(0.0343487896, device='cuda:0')"
354090,9657,386280,0.016354718565940857,0.016483463141338587,0.015960206797444195,0.20310763,"tensor(0.0076955026, device='cuda:0')","tensor(0.0353977010, device='cuda:0')"
365090,9957,398280,0.016925502383708955,0.01713195877278884,0.01655625708475233,0.28473318,"tensor(0.0072481437, device='cuda:0')","tensor(0.0519982502, device='cuda:0')"
366960,10008,400320,0.01662592089176178,0.01681635402391533,0.01633864974217975,0.27256307,"tensor(0.0176016334, device='cuda:0')","tensor(0.0224724375, device='cuda:0')"
377960,10308,412320,0.0166187931060791,0.01691515751242037,0.016222619377507574,0.23629372,"tensor(0.0032462878, device='cuda:0')","tensor(0.0281075742, device='cuda:0')"
388960,10608,424320,0.016377101957798006,0.0165701947081767,0.015848047742004535,0.22105286,"tensor(0.0070772371, device='cuda:0')","tensor(0.0274644382, device='cuda:0')"
399960,10908,436320,0.016789142417907715,0.016887272537140816,0.016255172033817603,0.22745247,"tensor(0.0039081979, device='cuda:0')","tensor(0.0405698270, device='cuda:0')"
410960,11208,448320,0.017021916902065278,0.01710135541375318,0.01650590375434166,0.20259619,"tensor(0.0015443815, device='cuda:0')","tensor(0.0408860371, device='cuda:0')"
412830,11259,450360,0.01621905963420868,0.016368323417198523,0.015659897084690025,0.28339893,"tensor(0.0935982615, device='cuda:0')","tensor(0.0595536046, device='cuda:0')"
423830,11559,462360,0.01675133274793625,0.016936717715399542,0.015960319002837505,0.23913781,"tensor(0.0027636532, device='cuda:0')","tensor(0.0453670919, device='cuda:0')"
434830,11859,474360,0.017232705008983613,0.01745285450310795,0.016788991564309977,0.23532192,"tensor(0.0027646772, device='cuda:0')","tensor(0.0182807092, device='cuda:0')"
445830,12159,486360,0.016691804444789887,0.016826326795009963,0.016016434960545427,0.3433957,"tensor(0.0016309943, device='cuda:0')","tensor(0.1286856681, device='cuda:0')"
456830,12459,498360,0.016437572741508484,0.016548809342628076,0.015788805577470356,0.22304672,"tensor(0.0017273102, device='cuda:0')","tensor(0.0449981540, device='cuda:0')"
458700,12510,500400,0.01620383657217026,0.01643207196511895,0.015553566936065728,0.2554884,"tensor(0.0022442911, device='cuda:0')","tensor(0.0307655726, device='cuda:0')"
469700,12810,512400,0.016699790716171264,0.01699418404533161,0.01605157961923448,0.28077656,"tensor(0.0116475038, device='cuda:0')","tensor(0.0152809955, device='cuda:0')"
480700,13110,524400,0.016360686028003692,0.01643586705164112,0.01569960353721586,0.2859124,"tensor(0.0022599022, device='cuda:0')","tensor(0.0175147168, device='cuda:0')"
491700,13410,536400,0.0162965522646904,0.01649781401448608,0.015391806859653773,0.27348274,"tensor(0.0073846402, device='cuda:0')","tensor(0.0460717492, device='cuda:0')"
502700,13710,548400,0.016509788727760315,0.0166666388854953,0.015600500897382033,0.25831994,"tensor(0.0022358508, device='cuda:0')","tensor(0.0468631797, device='cuda:0')"
504570,13761,550440,0.016031362581253053,0.016057214964085527,0.01520201681854229,0.27210283,"tensor(0.0258105267, device='cuda:0')","tensor(0.0405381806, device='cuda:0')"
515570,14061,562440,0.01635512455701828,0.016371928403953698,0.015430327985711638,0.26519173,"tensor(0.0112926289, device='cuda:0')","tensor(0.0430038199, device='cuda:0')"
526570,14361,574440,0.016670320534706115,0.016705173939173246,0.015799469604601137,0.24831556,"tensor(0.0019220987, device='cuda:0')","tensor(0.0422266871, device='cuda:0')"
537570,14661,586440,0.015840372323989868,0.016051808149087392,0.014922067171806438,0.23185351,"tensor(0.0036625732, device='cuda:0')","tensor(0.0325086564, device='cuda:0')"
548570,14961,598440,0.01624722012281418,0.016264111568866545,0.01530003837494719,0.2644935,"tensor(0.0206490811, device='cuda:0')","tensor(0.0337345973, device='cuda:0')"
550440,15012,600480,0.01630572385787964,0.016290335924699206,0.015478253759390473,0.25988913,"tensor(0.0591124371, device='cuda:0')","tensor(0.0339095667, device='cuda:0')"
561440,15312,612480,0.017258550906181336,0.017362635556759525,0.016144818787681658,0.2882831,"tensor(0.0025453107, device='cuda:0')","tensor(0.0542345233, device='cuda:0')"
572440,15612,624480,0.015941300642490386,0.016105135839735545,0.015056983179339511,0.26548344,"tensor(0.0032064677, device='cuda:0')","tensor(0.0332736745, device='cuda:0')"
583440,15912,636480,0.016367790937423705,0.016414807931050025,0.015300636933413285,0.28734896,"tensor(0.0072138701, device='cuda:0')","tensor(0.0531800650, device='cuda:0')"
594440,16212,648480,0.01632814966440201,0.016300610638305613,0.015245313872264693,0.2539237,"tensor(0.0034322180, device='cuda:0')","tensor(0.0384178832, device='cuda:0')"
596310,16263,650520,0.016475539076328278,0.016654598561299055,0.015582719758658655,0.3318527,"tensor(0.0245864857, device='cuda:0')","tensor(0.0361072309, device='cuda:0')"
607310,16563,662520,0.016552862560749053,0.016676641494672247,0.015416461080834875,0.308562,"tensor(0.0027825970, device='cuda:0')","tensor(0.0464245863, device='cuda:0')"
618310,16863,674520,0.017167074346542358,0.017279620747901507,0.016201291251719294,0.32572642,"tensor(0.0019421242, device='cuda:0')","tensor(0.0545178205, device='cuda:0')"
629310,17163,686520,0.015919076347351076,0.015990113536888728,0.014620805632986258,0.27249056,"tensor(0.0027268787, device='cuda:0')","tensor(0.0509444438, device='cuda:0')"
640310,17463,698520,0.01586742935180664,0.016113119200319017,0.014581605887176129,0.2520886,"tensor(0.0068621952, device='cuda:0')","tensor(0.0498076640, device='cuda:0')"
