samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.02342782883644104,0.023625805305296035,0.023438254984537638,,,
11000,300,12000,0.01860158368349075,0.018860546839388835,0.018735978785098122,1.0990208,"tensor(0.1142414510, device='cuda:0')","tensor(0.0086242557, device='cuda:0')"
22000,600,24000,0.018160250687599182,0.018466164232129986,0.01815683378898845,2.074337,"tensor(0.0595228411, device='cuda:0')","tensor(0.4287043214, device='cuda:0')"
33000,900,36000,0.01650708293914795,0.016891232619961876,0.016473765623974044,2.321716,"tensor(0.0041317926, device='cuda:0')","tensor(0.2541698217, device='cuda:0')"
44000,1200,48000,0.015825933623313904,0.016126055096103785,0.01576915775734504,1.5441766,"tensor(0.0236788653, device='cuda:0')","tensor(0.0431337804, device='cuda:0')"
45870,1251,50040,0.01570126279592514,0.015927375221183784,0.015604171482615914,2.7111435,"tensor(0.1878682226, device='cuda:0')","tensor(0.2012354136, device='cuda:0')"
56870,1551,62040,0.014850290668010711,0.015129486004568732,0.014630835847562099,1.828433,"tensor(0.0346926451, device='cuda:0')","tensor(0.0142082274, device='cuda:0')"
67870,1851,74040,0.014797165703773499,0.015078817994182047,0.01454162368484645,1.784767,"tensor(0.0152257970, device='cuda:0')","tensor(0.1130530983, device='cuda:0')"
78870,2151,86040,0.014028072738647462,0.01434624728636974,0.013714281714884391,2.0675664,"tensor(0.0180411804, device='cuda:0')","tensor(0.0974665731, device='cuda:0')"
89870,2451,98040,0.013794776725769044,0.014100821521146594,0.013419093197846512,1.3677713,"tensor(0.0088729626, device='cuda:0')","tensor(0.1366560012, device='cuda:0')"
91740,2502,100080,0.01413015147447586,0.014464160979494992,0.013742090991047715,2.137775,"tensor(0.0221006330, device='cuda:0')","tensor(0.2101458609, device='cuda:0')"
102740,2802,112080,0.014018548655509949,0.014181355721148937,0.013384512558801893,1.8310268,"tensor(0.0091109071, device='cuda:0')","tensor(0.1174053848, device='cuda:0')"
113740,3102,124080,0.013736668956279754,0.013957074914643425,0.013100674937108198,2.1491609,"tensor(0.0095090391, device='cuda:0')","tensor(0.1175587997, device='cuda:0')"
