samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.02342782883644104,0.023625805305296035,0.023438254984537638,,,
11000,600,15000,0.01751622259616852,0.017840700853863637,0.017614345549278237,0.37650535,"tensor(0.0693585798, device='cuda:0')","tensor(0.0007479247, device='cuda:0')"
22000,1200,30000,0.016774858009815215,0.017084554456422905,0.016794473646652198,0.3671006,"tensor(0.1153108329, device='cuda:0')","tensor(0.0040228036, device='cuda:0')"
33000,1800,45000,0.01545595314502716,0.015688169222814102,0.015317902676355237,0.37742707,"tensor(0.6704550385, device='cuda:0')","tensor(0.0012241611, device='cuda:0')"
44000,2400,60000,0.014731416499614715,0.015119906192149708,0.0147267180941872,0.42136708,"tensor(0.0248998590, device='cuda:0')","tensor(0.0106829777, device='cuda:0')"
45870,2502,62550,0.015102785181999206,0.015315679900789822,0.014948926945091558,0.40761817,"tensor(0.3871265352, device='cuda:0')","tensor(0.0012459261, device='cuda:0')"
56870,3102,77550,0.013854795253276824,0.014077366957539758,0.013593103666721656,0.36676338,"tensor(0.1094370484, device='cuda:0')","tensor(0.0038342767, device='cuda:0')"
67870,3702,92550,0.013771278989315032,0.013964546007133944,0.013448472242282562,0.35910618,"tensor(0.2057339996, device='cuda:0')","tensor(0.0103597902, device='cuda:0')"
78870,4302,107550,0.013928828954696656,0.014103721694062876,0.013543031699531667,0.381122,"tensor(0.0365066677, device='cuda:0')","tensor(0.0098619787, device='cuda:0')"
89870,4902,122550,0.013855550789833068,0.013977833909326987,0.013296877248365136,0.36371982,"tensor(0.0151337404, device='cuda:0')","tensor(0.0114127984, device='cuda:0')"
91740,5004,125100,0.013939402627944946,0.014126451046368988,0.01346371425403805,0.39329782,"tensor(0.1285516322, device='cuda:0')","tensor(0.0161647387, device='cuda:0')"
102740,5604,140100,0.012873290669918061,0.013192041245815935,0.01236813739482173,0.43571556,"tensor(0.1011113450, device='cuda:0')","tensor(0.0178649388, device='cuda:0')"
113740,6204,155100,0.01318926556110382,0.013394780330072069,0.012522838955759138,0.39363933,"tensor(0.0824595839, device='cuda:0')","tensor(0.0169787370, device='cuda:0')"
124740,6804,170100,0.013187594997882843,0.013363362989295207,0.012465176279978682,0.4347167,"tensor(0.0182486065, device='cuda:0')","tensor(0.0108550079, device='cuda:0')"
135740,7404,185100,0.012980052137374878,0.013088678767247997,0.012023210246558495,0.46983728,"tensor(0.0238357000, device='cuda:0')","tensor(0.0090645533, device='cuda:0')"
137610,7506,187650,0.012957688939571381,0.013063961449131738,0.012046460973336968,0.5308912,"tensor(0.0117305079, device='cuda:0')","tensor(0.0139504103, device='cuda:0')"
148610,8106,202650,0.012672078621387481,0.01294464907086608,0.011829115603091776,0.36843163,"tensor(0.0132362153, device='cuda:0')","tensor(0.0170735549, device='cuda:0')"
159610,8706,217650,0.01238962037563324,0.012563887333623906,0.011248371010637373,0.45079494,"tensor(0.0480184816, device='cuda:0')","tensor(0.0209151041, device='cuda:0')"
170610,9306,232650,0.01260845239162445,0.012669328808469797,0.011540825327319464,0.45002815,"tensor(0.0139480531, device='cuda:0')","tensor(0.0126451487, device='cuda:0')"
181610,9906,247650,0.012869053602218627,0.012915650345537055,0.01153099350354071,0.4690566,"tensor(0.0293573178, device='cuda:0')","tensor(0.0149253504, device='cuda:0')"
183480,10008,250200,0.012912727189064025,0.013069067165552353,0.011639706660626241,0.47469473,"tensor(0.0178465117, device='cuda:0')","tensor(0.0217050593, device='cuda:0')"
194480,10608,265200,0.01238455673456192,0.012732455419755994,0.011221374359532783,0.4571713,"tensor(0.0431236364, device='cuda:0')","tensor(0.0200808682, device='cuda:0')"
205480,11208,280200,0.012620686143636704,0.012904637210913233,0.011204429522642383,0.45971456,"tensor(0.0315930955, device='cuda:0')","tensor(0.0218211096, device='cuda:0')"
216480,11808,295200,0.012734057855606079,0.01281691977867326,0.011332808371519027,0.46837085,"tensor(0.0325676426, device='cuda:0')","tensor(0.0160027221, device='cuda:0')"
227480,12408,310200,0.012393467831611634,0.01269202976739461,0.010805489325073617,0.44653693,"tensor(0.0721548647, device='cuda:0')","tensor(0.0129104387, device='cuda:0')"
229350,12510,312750,0.012173286193609238,0.01233545334069655,0.010554567055941853,0.5548586,"tensor(0.0118765701, device='cuda:0')","tensor(0.0192640778, device='cuda:0')"
240350,13110,327750,0.012329427117109298,0.01256920266042718,0.010608242829591115,0.48361856,"tensor(0.0438318402, device='cuda:0')","tensor(0.0219769143, device='cuda:0')"
251350,13710,342750,0.012655321329832077,0.012948864708422813,0.010699881378861492,0.4597238,"tensor(0.0224434026, device='cuda:0')","tensor(0.0162884928, device='cuda:0')"
262350,14310,357750,0.012480418705940247,0.01274177658778173,0.010816558485258183,0.6123641,"tensor(0.0316317007, device='cuda:0')","tensor(0.0159145463, device='cuda:0')"
273350,14910,372750,0.012233096826076508,0.012490289600913349,0.010229110769272675,0.44600925,"tensor(0.0518251248, device='cuda:0')","tensor(0.0174657740, device='cuda:0')"
275220,15012,375300,0.012395184582471847,0.012506363480274759,0.010269554477723786,0.52331597,"tensor(0.0223462936, device='cuda:0')","tensor(0.0049701179, device='cuda:0')"
