samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.02342782883644104,0.023625805305296035,0.023438254984537638,0.9986978,-9.900835990905762,
11000,1200,21000,0.01759159471988678,0.01788697369756074,0.017706632187836503,0.3598098,"tensor(0.0379880965, device='cuda:0')","tensor(0.0084110051, device='cuda:0')"
22000,2400,42000,0.016563328945636748,0.016895866405486144,0.016559292821724393,0.3551939,"tensor(0.0176229365, device='cuda:0')","tensor(0.0006369254, device='cuda:0')"
33000,3600,63000,0.015233211147785187,0.015450213205508257,0.015119893093788464,0.40153503,"tensor(0.0091972984, device='cuda:0')","tensor(0.0117051015, device='cuda:0')"
44000,4800,84000,0.014844860816001892,0.015097379798880005,0.014733581946837212,0.37679186,"tensor(0.0189005919, device='cuda:0')","tensor(0.0045009269, device='cuda:0')"
45870,5004,87570,0.015091117823123931,0.015323879265630735,0.014902666439298466,0.4240732,"tensor(0.3670449257, device='cuda:0')","tensor(0.0049724528, device='cuda:0')"
56870,6204,108570,0.014320692169666291,0.014346556724162018,0.013886316338280346,0.41582653,"tensor(0.0104829529, device='cuda:0')","tensor(0.0007499800, device='cuda:0')"
67870,7404,129570,0.013892411184310912,0.014089859015426105,0.013555818885709288,0.43872365,"tensor(0.0147509109, device='cuda:0')","tensor(0.0075163119, device='cuda:0')"
78870,8604,150570,0.014184478640556336,0.014375442576860391,0.013696306561368544,0.5477493,"tensor(0.9091985822, device='cuda:0')","tensor(0.0013031008, device='cuda:0')"
89870,9804,171570,0.013218701219558716,0.013374677687375587,0.012728506370449767,0.374801,"tensor(0.0357201695, device='cuda:0')","tensor(0.0125312358, device='cuda:0')"
91740,10008,175140,0.01319512950181961,0.013407552445395432,0.01269510124583792,0.5119035,"tensor(0.0106885647, device='cuda:0')","tensor(0.0166602097, device='cuda:0')"
102740,11208,196140,0.012972308695316315,0.013149974312975677,0.012311964524734703,0.41416666,"tensor(0.0245960969, device='cuda:0')","tensor(0.0107810218, device='cuda:0')"
113740,12408,217140,0.013142902529239655,0.013357821545327398,0.012379686912709567,0.42996937,"tensor(0.0072106114, device='cuda:0')","tensor(0.0004818998, device='cuda:0')"
124740,13608,238140,0.01277731238603592,0.013049121308675738,0.011928855988019509,0.47749305,"tensor(0.0176853314, device='cuda:0')","tensor(0.0099201333, device='cuda:0')"
135740,14808,259140,0.012824858319759368,0.013088902652993143,0.012026391953826437,0.42631456,"tensor(0.0913694501, device='cuda:0')","tensor(0.0080848271, device='cuda:0')"
137610,15012,262710,0.012385663342475891,0.012702470578705632,0.011547441013729225,0.47848573,"tensor(0.0126494421, device='cuda:0')","tensor(0.0213795342, device='cuda:0')"
148610,16212,283710,0.012683833539485932,0.012968028324068608,0.011641606038321583,0.4030326,"tensor(0.0615833960, device='cuda:0')","tensor(0.0162498709, device='cuda:0')"
159610,17412,304710,0.012488325375318528,0.01284413929033657,0.011336704872461675,0.453333,"tensor(0.0586455315, device='cuda:0')","tensor(0.0053033903, device='cuda:0')"
170610,18612,325710,0.012609749472141265,0.01290246626156138,0.011369718196600001,0.49207404,"tensor(0.1407729238, device='cuda:0')","tensor(0.0204364527, device='cuda:0')"
181610,19812,346710,0.012659240275621415,0.012989034162369855,0.011451317484595226,0.49526304,"tensor(0.0339443833, device='cuda:0')","tensor(0.0064689219, device='cuda:0')"
183480,20016,350280,0.012463608580827713,0.012762121110618157,0.011228918909070953,0.45933336,"tensor(0.0616748184, device='cuda:0')","tensor(0.0218548663, device='cuda:0')"
194480,21216,371280,0.01259680958390236,0.012843485985095191,0.011116130066600047,0.4151504,"tensor(0.0182488319, device='cuda:0')","tensor(0.0159486756, device='cuda:0')"
