samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.02342782883644104,0.023625805305296035,0.023438254984537638,,,
11000,400,13000,0.01790187907218933,0.018151664922699127,0.017971430664609996,0.3544014,"tensor(0.0160641372, device='cuda:0')","tensor(0.0043616868, device='cuda:0')"
22000,800,26000,0.01652299872636795,0.01680008601821925,0.016513333783881923,0.3369046,"tensor(0.0100868447, device='cuda:0')","tensor(0.0123130167, device='cuda:0')"
33000,1200,39000,0.015444869887828826,0.015693226620422614,0.015311592984106826,0.39988434,"tensor(0.0246040914, device='cuda:0')","tensor(0.0027649784, device='cuda:0')"
44000,1600,52000,0.014684885466098786,0.01495462317017019,0.014561946768690413,0.37789288,"tensor(0.0710506439, device='cuda:0')","tensor(0.0118246162, device='cuda:0')"
45870,1668,54210,0.015303038227558135,0.015510459469181186,0.015096718036555663,0.41264704,"tensor(0.0627204105, device='cuda:0')","tensor(0.0033488863, device='cuda:0')"
56870,2068,67210,0.015111937749385834,0.015142888953595932,0.014802405123851855,0.44598025,"tensor(0.6664841175, device='cuda:0')","tensor(0.0132141542, device='cuda:0')"
67870,2468,80210,0.013701023042201995,0.013805396656409882,0.013299266790076808,0.31250897,"tensor(0.0252474230, device='cuda:0')","tensor(0.0107272295, device='cuda:0')"
78870,2868,93210,0.01416622678041458,0.014190506071159814,0.013711369810688944,0.4135671,"tensor(0.0154923098, device='cuda:0')","tensor(0.0084918346, device='cuda:0')"
89870,3268,106210,0.013400848579406738,0.013544956313811363,0.012889593846798058,0.31433696,"tensor(0.0366807990, device='cuda:0')","tensor(0.0115801888, device='cuda:0')"
91740,3336,108420,0.013767957532405853,0.013979343393022333,0.013299553909767768,0.4366212,"tensor(0.0206440054, device='cuda:0')","tensor(0.0166268405, device='cuda:0')"
102740,3736,121420,0.01390211181640625,0.01396399368792379,0.013263015243979989,0.4605182,"tensor(0.0080676330, device='cuda:0')","tensor(0.0165198911, device='cuda:0')"
113740,4136,134420,0.012922474730014802,0.013056536644289527,0.012292387624780975,0.4054947,"tensor(0.0315577164, device='cuda:0')","tensor(0.0114950538, device='cuda:0')"
