samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.29456006705760956,0.294012216925621,0.2899193499684334,,,
11000,400,13000,0.05965040184557438,0.060237154699862,0.06018044818937778,0.038273197,-2.7081499099731445,tensor(0.0002524047)
22000,800,26000,0.050582761391997334,0.05137996200472116,0.05108423498272896,0.036304355,-3.231390953063965,tensor(4.8310757848e-05)
33000,1200,39000,0.046685572154819964,0.04750555597245693,0.04714207474887371,0.032826245,-3.8837194442749023,tensor(6.7616019805e-05)
44000,1600,52000,0.04531209465116262,0.04600383274257183,0.04565479920804501,0.035831034,-2.6339120864868164,tensor(1.6495105228e-05)
55000,2000,65000,0.044722412228584286,0.04538794435560703,0.04506330347061157,0.025586007,-2.646233558654785,tensor(6.6100714321e-05)
66000,2400,78000,0.04331747196614742,0.043856480605900285,0.04346956449002028,0.030305903,-2.1110575199127197,tensor(5.5491240346e-05)
77000,2800,91000,0.04281002819538116,0.04328704718500376,0.04285122037678957,0.029311575,-2.3111395835876465,tensor(2.5558925699e-05)
88000,3200,104000,0.04280258625745773,0.04329727493226528,0.042767789348959924,0.033039723,-1.9854518175125122,tensor(6.0412770836e-05)
99000,3600,117000,0.04203211445361376,0.042621548473834994,0.04211155257374048,0.023832439,-2.3470420837402344,tensor(0.0001008673)
110000,4000,130000,0.04173085279762745,0.042275868579745295,0.041672986321151254,0.03004352,-2.726978302001953,tensor(3.8609869080e-06)
121000,4400,143000,0.041174523755908014,0.041930371150374415,0.041326429598033426,0.023264946,-2.973649024963379,tensor(7.5592426583e-05)
132000,4800,156000,0.04134818248450756,0.04206018075346947,0.04135423245280981,0.025527341,-3.2869796752929688,tensor(9.5710769529e-05)
143000,5200,169000,0.041166423447430135,0.04183871123939752,0.04127398658916354,0.026988717,-2.9600634574890137,tensor(1.4763027139e-05)
154000,5600,182000,0.04101311136037111,0.04163365390151739,0.04102050401270389,0.026271254,-2.7541961669921875,tensor(5.7910903706e-05)
165000,6000,195000,0.040400332398712636,0.04110480200499296,0.04054984587430954,0.024983818,-5.021550178527832,tensor(7.6359792729e-05)
176000,6400,208000,0.040551113784313204,0.04122614145278931,0.04060783436149359,0.02574938,-2.0760700702667236,tensor(6.6367283580e-05)
