samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.3207984399795532,0.319109865128994,0.31901623249053956,1.9300957,"tensor(1., device='cuda:0')",
11000,300,12000,0.06327607035636902,0.06462303970009088,0.06475228410959244,0.049497783,"tensor(0.6823427081, device='cuda:0')","tensor(0.0002178855, device='cuda:0')"
22000,600,24000,0.05256666418164969,0.053926423899829386,0.05366278395056725,0.03548262,"tensor(0.5686007142, device='cuda:0')","tensor(0.0001175613, device='cuda:0')"
33000,900,36000,0.048632769286632536,0.0496703302487731,0.04952715041488409,0.03794534,"tensor(0.7436170578, device='cuda:0')","tensor(8.4490100562e-05, device='cuda:0')"
44000,1200,48000,0.046137820072472094,0.04737281914800406,0.04708506249636411,0.0280164,"tensor(0.4714273512, device='cuda:0')","tensor(8.9287728770e-05, device='cuda:0')"
55000,1500,60000,0.04516346268355846,0.046039029583334924,0.045755822606384756,0.030448038,"tensor(0.2482331097, device='cuda:0')","tensor(8.1964579294e-05, device='cuda:0')"
66000,1800,72000,0.044120195880532266,0.045073186494410035,0.04470833297073841,0.030790582,"tensor(0.6096630096, device='cuda:0')","tensor(4.9736983783e-05, device='cuda:0')"
77000,2100,84000,0.043569682724773885,0.04437379941344261,0.044047495670616624,0.03569932,"tensor(0.6096630096, device='cuda:0')","tensor(6.1220598582e-05, device='cuda:0')"
88000,2400,96000,0.042946693375706675,0.04365462351590395,0.04335796242207289,0.028067542,"tensor(0.6096630096, device='cuda:0')","tensor(5.8134835854e-05, device='cuda:0')"
99000,2700,108000,0.042275876067578794,0.043053516782820225,0.04273365195095539,0.027975397,"tensor(0.6096630096, device='cuda:0')","tensor(6.2954990426e-05, device='cuda:0')"
110000,3000,120000,0.04195039942860603,0.04250467456877231,0.04224540724605322,0.026043793,"tensor(0.6096630096, device='cuda:0')","tensor(8.1810925622e-05, device='cuda:0')"
121000,3300,132000,0.042322663217782976,0.04294927734881639,0.04271955917030573,0.031521596,"tensor(0.6096630096, device='cuda:0')","tensor(5.3578194638e-05, device='cuda:0')"
132000,3600,144000,0.041380456425249575,0.042009046636521816,0.04168060702085495,0.032035142,"tensor(0.6096630096, device='cuda:0')","tensor(7.3094226536e-05, device='cuda:0')"
143000,3900,156000,0.04103144209831953,0.04178808134049177,0.04144120594114065,0.02413311,"tensor(0.6096630096, device='cuda:0')","tensor(5.1279119361e-05, device='cuda:0')"
154000,4200,168000,0.0411346759647131,0.04155786469578743,0.04125064827501774,0.02267841,"tensor(0.6096630096, device='cuda:0')","tensor(7.5659023423e-05, device='cuda:0')"
165000,4500,180000,0.0406872571632266,0.04136922173202038,0.04097430101037026,0.033393558,"tensor(0.6096630096, device='cuda:0')","tensor(4.2056220991e-05, device='cuda:0')"
176000,4800,192000,0.041269571669399735,0.04180149015039206,0.04155643223971128,0.031246075,"tensor(0.6096630096, device='cuda:0')","tensor(4.9653703172e-05, device='cuda:0')"
187000,5100,204000,0.040504183918237686,0.04106220312416554,0.04070823898166418,0.031477083,"tensor(0.6096630096, device='cuda:0')","tensor(7.1015580033e-05, device='cuda:0')"
198000,5400,216000,0.040287066474556925,0.0409775460138917,0.04061201426386833,0.023491962,"tensor(0.6096630096, device='cuda:0')","tensor(4.9517308071e-05, device='cuda:0')"
209000,5700,228000,0.04044597320258617,0.04082270540297031,0.04049312668293715,0.022298524,"tensor(0.6096630096, device='cuda:0')","tensor(7.4196090281e-05, device='cuda:0')"
220000,6000,240000,0.04011326298117637,0.040751113966107366,0.04033307664841414,0.033349864,"tensor(0.6096630096, device='cuda:0')","tensor(4.0048285882e-05, device='cuda:0')"
231000,6300,252000,0.0407242438942194,0.04120393473654985,0.04094123624265194,0.031123212,"tensor(0.6096630096, device='cuda:0')","tensor(4.8024550779e-05, device='cuda:0')"
242000,6600,264000,0.040041031278669835,0.04055802598595619,0.04017950826883316,0.031119822,"tensor(0.6096630096, device='cuda:0')","tensor(7.0205780503e-05, device='cuda:0')"
253000,6900,276000,0.03987743206322193,0.04052694290876389,0.04014133954048157,0.023101924,"tensor(0.6096630096, device='cuda:0')","tensor(4.8746307584e-05, device='cuda:0')"
264000,7200,288000,0.04005261242389679,0.040398621670901774,0.04004780901968479,0.022159973,"tensor(0.6096630096, device='cuda:0')","tensor(7.3360759416e-05, device='cuda:0')"
275000,7500,300000,0.03977954417467117,0.04038930904120207,0.0399488671310246,0.033342842,"tensor(0.6096630096, device='cuda:0')","tensor(3.8846770622e-05, device='cuda:0')"
286000,7800,312000,0.04039843525737524,0.04084278389811516,0.04056272474676371,0.031039476,"tensor(0.6096630096, device='cuda:0')","tensor(4.7035919124e-05, device='cuda:0')"
297000,8100,324000,0.039762661289423705,0.04025243680924177,0.039851115312427285,0.030891027,"tensor(0.6096630096, device='cuda:0')","tensor(6.9786852691e-05, device='cuda:0')"
308000,8400,336000,0.03962561124935746,0.04024729069322348,0.03984218528866768,0.022842985,"tensor(0.6096630096, device='cuda:0')","tensor(4.8346006224e-05, device='cuda:0')"
319000,8700,348000,0.0398066346347332,0.04013029273599386,0.03975997131690383,0.022113552,"tensor(0.6096630096, device='cuda:0')","tensor(7.2807451943e-05, device='cuda:0')"
330000,9000,360000,0.039569185487926005,0.04015952073037624,0.039698239598423245,0.033341654,"tensor(0.6096630096, device='cuda:0')","tensor(3.8013567973e-05, device='cuda:0')"
341000,9300,372000,0.04018878884613514,0.04060743920505047,0.0403109090179205,0.030977782,"tensor(0.6096630096, device='cuda:0')","tensor(4.6361343266e-05, device='cuda:0')"
352000,9600,384000,0.03958268055692315,0.04005294345319271,0.03963087845221162,0.03073903,"tensor(0.6096630096, device='cuda:0')","tensor(6.9524052378e-05, device='cuda:0')"
363000,9900,396000,0.03945986185222864,0.04006150517612696,0.039638158865273,0.022668067,"tensor(0.6096630096, device='cuda:0')","tensor(4.8078585678e-05, device='cuda:0')"
374000,10200,408000,0.03964341130107641,0.039949920661747455,0.03956192286685109,0.022106195,"tensor(0.6096630096, device='cuda:0')","tensor(7.2413284215e-05, device='cuda:0')"
385000,10500,420000,0.039429128859192135,0.04000528439879417,0.03952498964220286,0.03334,"tensor(0.6096630096, device='cuda:0')","tensor(3.7386402255e-05, device='cuda:0')"
396000,10800,432000,0.04004702657461166,0.04044613033533096,0.04013423557579517,0.030930022,"tensor(0.6096630096, device='cuda:0')","tensor(4.5859313104e-05, device='cuda:0')"
407000,11100,444000,0.03946020593866706,0.03991578374058008,0.03947499526664615,0.030634595,"tensor(0.6096630096, device='cuda:0')","tensor(6.9332112616e-05, device='cuda:0')"
