samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.3207984399795532,0.319109865128994,0.31901623249053956,1.9300957,"tensor(1., device='cuda:0')",
11000,600,15000,0.05865588914602995,0.05996572926640511,0.060046630859375,0.040613588,"tensor(0.1127816141, device='cuda:0')","tensor(0.0001905970, device='cuda:0')"
22000,1200,30000,0.04975985694676638,0.051009352914988995,0.05069210812449455,0.02895902,"tensor(0.1174104214, device='cuda:0')","tensor(0.0001358810, device='cuda:0')"
33000,1800,45000,0.04694562796503306,0.047808803208172324,0.047679379627108574,0.033520088,"tensor(0.0771002322, device='cuda:0')","tensor(9.3655689852e-05, device='cuda:0')"
44000,2400,60000,0.044565630443394184,0.0456362696737051,0.04536154240369797,0.029462785,"tensor(0.5546972156, device='cuda:0')","tensor(6.6071617766e-05, device='cuda:0')"
55000,3000,75000,0.04401274777948856,0.044711499959230426,0.04450045720487833,0.028140364,"tensor(0.5447004437, device='cuda:0')","tensor(2.3669321308e-05, device='cuda:0')"
66000,3600,90000,0.04274419110268354,0.04365062151104212,0.043289641782641414,0.03306876,"tensor(0.5447004437, device='cuda:0')","tensor(8.2590631791e-05, device='cuda:0')"
77000,4200,105000,0.04278659719973803,0.043642894327640534,0.043275472424924376,0.028897356,"tensor(0.5447004437, device='cuda:0')","tensor(1.4128454495e-06, device='cuda:0')"
88000,4800,120000,0.04180120676755905,0.04250237800180912,0.04227916149795055,0.027494306,"tensor(0.5447004437, device='cuda:0')","tensor(7.2516995715e-06, device='cuda:0')"
99000,5400,135000,0.0414315976947546,0.04226447749882936,0.04192877382785082,0.033835426,"tensor(0.5447004437, device='cuda:0')","tensor(8.6711464974e-05, device='cuda:0')"
110000,6000,150000,0.04181762032210827,0.04220202032476664,0.04198150779306888,0.027837893,"tensor(0.5447004437, device='cuda:0')","tensor(2.0584593585e-05, device='cuda:0')"
121000,6600,165000,0.040864870212972165,0.041602481082081796,0.04122438029199839,0.032071378,"tensor(0.5447004437, device='cuda:0')","tensor(8.5056533862e-05, device='cuda:0')"
132000,7200,180000,0.041234607025980946,0.04194026503711939,0.04157511132955551,0.028863683,"tensor(0.5447004437, device='cuda:0')","tensor(1.6947386030e-05, device='cuda:0')"
143000,7800,195000,0.04056367803364992,0.04117433201521635,0.04093519439548254,0.02691226,"tensor(0.5447004437, device='cuda:0')","tensor(3.0549199437e-06, device='cuda:0')"
154000,8400,210000,0.040420598462224004,0.0411659887060523,0.04081122349947691,0.033095896,"tensor(0.5447004437, device='cuda:0')","tensor(8.5949577624e-05, device='cuda:0')"
165000,9000,225000,0.04097066085785627,0.04127743244171143,0.041037666611373425,0.027180526,"tensor(0.5447004437, device='cuda:0')","tensor(2.0946048608e-05, device='cuda:0')"
176000,9600,240000,0.0401356228813529,0.040798725374042985,0.040388132229447364,0.031613972,"tensor(0.5447004437, device='cuda:0')","tensor(8.6172214651e-05, device='cuda:0')"
187000,10200,255000,0.040599758885800835,0.041234434358775614,0.04084621408581734,0.028704992,"tensor(0.5447004437, device='cuda:0')","tensor(2.1557641958e-05, device='cuda:0')"
198000,10800,270000,0.040027479957789186,0.04059327773749828,0.04032675609737635,0.026684478,"tensor(0.5447004437, device='cuda:0')","tensor(3.8691359805e-07, device='cuda:0')"
209000,11400,285000,0.039947278387844565,0.0406454274058342,0.040266967058181766,0.032650206,"tensor(0.5447004437, device='cuda:0')","tensor(8.4286366473e-05, device='cuda:0')"
220000,12000,300000,0.040559685453772545,0.04082196421921253,0.04055990074947476,0.026807174,"tensor(0.5447004437, device='cuda:0')","tensor(2.2172993340e-05, device='cuda:0')"
231000,12600,315000,0.03976558264344931,0.040386862084269524,0.03994565964862704,0.0312918,"tensor(0.5447004437, device='cuda:0')","tensor(8.5550585936e-05, device='cuda:0')"
242000,13200,330000,0.0402752860635519,0.04086752649396658,0.04045439878106117,0.028537083,"tensor(0.5447004437, device='cuda:0')","tensor(2.2978403649e-05, device='cuda:0')"
253000,13800,345000,0.039749545603990556,0.04028705466538668,0.03999389728158712,0.026574982,"tensor(0.5447004437, device='cuda:0')","tensor(1.6267366618e-06, device='cuda:0')"
264000,14400,360000,0.03968809245154262,0.04035573277622461,0.03995496522635222,0.032352988,"tensor(0.5447004437, device='cuda:0')","tensor(8.2804377598e-05, device='cuda:0')"
275000,15000,375000,0.040331767424941066,0.040563673712313175,0.04028090139850974,0.02657096,"tensor(0.5447004437, device='cuda:0')","tensor(2.3349462936e-05, device='cuda:0')"
286000,15600,390000,0.03955307999625802,0.040147166438400744,0.03967937375977636,0.031041522,"tensor(0.5447004437, device='cuda:0')","tensor(8.4281593445e-05, device='cuda:0')"
297000,16200,405000,0.04008944891393185,0.04065326035022736,0.04021732942759991,0.028382165,"tensor(0.5447004437, device='cuda:0')","tensor(2.3155880626e-05, device='cuda:0')"
308000,16800,420000,0.03959098065271974,0.04010856989771128,0.03979148599505424,0.02651467,"tensor(0.5447004437, device='cuda:0')","tensor(3.1994713936e-06, device='cuda:0')"
319000,17400,435000,0.03953332496806979,0.04017959494143725,0.039758651535958055,0.032146957,"tensor(0.5447004437, device='cuda:0')","tensor(8.1632206275e-05, device='cuda:0')"
330000,18000,450000,0.04019476041197777,0.0404043185710907,0.040102933056652544,0.026411686,"tensor(0.5447004437, device='cuda:0')","tensor(2.4311295419e-05, device='cuda:0')"
341000,18600,465000,0.03942105103284121,0.03999603282660246,0.039505297053605316,0.030840132,"tensor(0.5447004437, device='cuda:0')","tensor(8.2849997852e-05, device='cuda:0')"
352000,19200,480000,0.039974728040397166,0.040518247820436955,0.04006207608431578,0.028245227,"tensor(0.5447004437, device='cuda:0')","tensor(2.2816246201e-05, device='cuda:0')"
363000,19800,495000,0.03949464362114668,0.03999735977500677,0.039659097842872144,0.026477236,"tensor(0.5447004437, device='cuda:0')","tensor(4.4473999878e-06, device='cuda:0')"
374000,20400,510000,0.03943549918010831,0.040066050477325914,0.03962697249278426,0.03200146,"tensor(0.5447004437, device='cuda:0')","tensor(8.0737423559e-05, device='cuda:0')"
385000,21000,525000,0.04010764632374048,0.040300065614283086,0.03998201936483383,0.026298832,"tensor(0.5447004437, device='cuda:0')","tensor(2.5063825888e-05, device='cuda:0')"
396000,21600,540000,0.03933420322835445,0.039895085524767636,0.03938442735001445,0.030675713,"tensor(0.5447004437, device='cuda:0')","tensor(8.1470141595e-05, device='cuda:0')"
407000,22200,555000,0.03989993594586849,0.040428313277661804,0.03995424876734614,0.028126115,"tensor(0.5447004437, device='cuda:0')","tensor(2.2271984562e-05, device='cuda:0')"
418000,22800,570000,0.03943341754376888,0.039924565963447095,0.03956757095456123,0.026451327,"tensor(0.5447004437, device='cuda:0')","tensor(5.4488191381e-06, device='cuda:0')"
429000,23400,585000,0.03937109859660268,0.03998964596539736,0.03953426893800497,0.0318972,"tensor(0.5447004437, device='cuda:0')","tensor(8.0061596236e-05, device='cuda:0')"
440000,24000,600000,0.04004988688975573,0.0402287657931447,0.03989578552544117,0.026215231,"tensor(0.5447004437, device='cuda:0')","tensor(2.5651592296e-05, device='cuda:0')"
451000,24600,615000,0.039274499975144865,0.03982458470389247,0.03929648759588599,0.03054045,"tensor(0.5447004437, device='cuda:0')","tensor(8.0229001469e-05, device='cuda:0')"
462000,25200,630000,0.03984908491373062,0.04036574605852365,0.039875821243971585,0.028022934,"tensor(0.5447004437, device='cuda:0')","tensor(2.1664158339e-05, device='cuda:0')"
473000,25800,645000,0.039393175914883616,0.03987502135336399,0.03950140587985516,0.026431618,"tensor(0.5447004437, device='cuda:0')","tensor(6.2595722738e-06, device='cuda:0')"
484000,26400,660000,0.039327397998422386,0.03993647705763578,0.03946643049269915,0.03182139,"tensor(0.5447004437, device='cuda:0')","tensor(7.9551173258e-05, device='cuda:0')"
495000,27000,675000,0.04001033466309309,0.040178241394460204,0.03983183917403221,0.026150642,"tensor(0.5447004437, device='cuda:0')","tensor(2.6119560061e-05, device='cuda:0')"
506000,27600,690000,0.03923199048265815,0.03977354187518358,0.03923006578162312,0.030428514,"tensor(0.5447004437, device='cuda:0')","tensor(7.9151272075e-05, device='cuda:0')"
517000,28200,705000,0.03981333777308464,0.0403206454962492,0.039816595878452064,0.0279334,"tensor(0.5447004437, device='cuda:0')","tensor(2.1056626792e-05, device='cuda:0')"
528000,28800,720000,0.03936605023220181,0.03984018791466951,0.039451770283281805,0.02641548,"tensor(0.5447004437, device='cuda:0')","tensor(6.9205702857e-06, device='cuda:0')"
539000,29400,735000,0.03929705817252398,0.03989845175296068,0.03941517497226596,0.031765472,"tensor(0.5447004437, device='cuda:0')","tensor(7.9164448834e-05, device='cuda:0')"
550000,30000,750000,0.039982558861374855,0.0401413706317544,0.03978287021815777,0.026098741,"tensor(0.5447004437, device='cuda:0')","tensor(2.6503350455e-05, device='cuda:0')"
561000,30600,765000,0.03920084718614816,0.03973546110093593,0.0391783346273005,0.030335367,"tensor(0.5447004437, device='cuda:0')","tensor(7.8233919339e-05, device='cuda:0')"
572000,31200,780000,0.03978751394897699,0.04028714284300804,0.03977045150101185,0.027855376,"tensor(0.5447004437, device='cuda:0')","tensor(2.0476974896e-05, device='cuda:0')"
583000,31800,795000,0.03934741776436567,0.03981500396504998,0.039413349140435455,0.026401518,"tensor(0.5447004437, device='cuda:0')","tensor(7.4622516877e-06, device='cuda:0')"
594000,32400,810000,0.039275635704398154,0.0398706254735589,0.039375388968735936,0.031723615,"tensor(0.5447004437, device='cuda:0')","tensor(7.8870136349e-05, device='cuda:0')"
605000,33000,825000,0.03996266983449459,0.0401137837395072,0.039744346652179956,0.026055543,"tensor(0.5447004437, device='cuda:0')","tensor(2.6828520276e-05, device='cuda:0')"
616000,33600,840000,0.039177492074668405,0.03970631904900074,0.03913700515404343,0.030257387,"tensor(0.5447004437, device='cuda:0')","tensor(7.7461358160e-05, device='cuda:0')"
627000,34200,855000,0.03976843077689409,0.04026159767061472,0.039733534961938856,0.027787043,"tensor(0.5447004437, device='cuda:0')","tensor(1.9935849195e-05, device='cuda:0')"
638000,34800,870000,0.03933444779366255,0.03979633716866374,0.039382795941084625,0.026388956,"tensor(0.5447004437, device='cuda:0')","tensor(7.9078517956e-06, device='cuda:0')"
649000,35400,885000,0.03926033027470112,0.03984985966235399,0.03934378344938159,0.03169184,"tensor(0.5447004437, device='cuda:0')","tensor(7.8645112808e-05, device='cuda:0')"
660000,36000,900000,0.0399482174217701,0.040092691518366336,0.0397133372053504,0.026018461,"tensor(0.5447004437, device='cuda:0')","tensor(2.7112888347e-05, device='cuda:0')"
671000,36600,915000,0.03915963726118207,0.03968352222815156,0.039103270702064034,0.03019167,"tensor(0.5447004437, device='cuda:0')","tensor(7.6814307249e-05, device='cuda:0')"
682000,37200,930000,0.03975405290722847,0.04024166390299797,0.039703325092792514,0.027726911,"tensor(0.5447004437, device='cuda:0')","tensor(1.9436918592e-05, device='cuda:0')"
693000,37800,945000,0.039325344823300835,0.03978218799456954,0.039357928946614266,0.02637736,"tensor(0.5447004437, device='cuda:0')","tensor(8.2750912043e-06, device='cuda:0')"
704000,38400,960000,0.0392493162676692,0.03983409583568573,0.039318165827542544,0.031667437,"tensor(0.5447004437, device='cuda:0')","tensor(7.8473000030e-05, device='cuda:0')"
715000,39000,975000,0.03993760529905557,0.040076256431639194,0.039687880009412764,0.025985816,"tensor(0.5447004437, device='cuda:0')","tensor(2.7367808798e-05, device='cuda:0')"
726000,39600,990000,0.039145768750458956,0.03966534622013569,0.03907522973790765,0.03013591,"tensor(0.5447004437, device='cuda:0')","tensor(7.6273478044e-05, device='cuda:0')"
737000,40200,1005000,0.03974304158240557,0.040225783959031106,0.03967811692878604,0.027673746,"tensor(0.5447004437, device='cuda:0')","tensor(1.8979299057e-05, device='cuda:0')"
748000,40800,1020000,0.03931893428787589,0.03977123813703656,0.03933727636933327,0.026366444,"tensor(0.5447004437, device='cuda:0')","tensor(8.5778301582e-06, device='cuda:0')"
759000,41400,1035000,0.03924137268215418,0.03982194684445858,0.03929703400656581,0.031648476,"tensor(0.5447004437, device='cuda:0')","tensor(7.8341836343e-05, device='cuda:0')"
