samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.3279715061187744,0.3272538384795189,0.32524514412879946,,,
20000,600,60000,0.0517282772064209,0.05257991928607225,0.05239846278727055,0.14057049,-0.3521621823310852,tensor(0.0028620234)
40000,1200,120000,0.046382215805351734,0.047374700270593165,0.04694782817363739,0.13303797,-0.43771323561668396,tensor(0.0025496692)
60000,1800,180000,0.04360520109534263,0.044464640393853186,0.04421153146028518,0.12562935,-0.43771323561668396,tensor(0.0024758375)
80000,2400,240000,0.0425960398837924,0.04354230251163244,0.04316372584551573,0.13268922,-0.43771323561668396,tensor(0.0024610811)
100000,3000,300000,0.04200791861861944,0.04256355557590723,0.04226210498809815,0.11905156,-0.43771323561668396,tensor(0.0022783778)
120000,3600,360000,0.041150106936693194,0.04212432648986578,0.041802823074162006,0.10427877,-0.43771323561668396,tensor(0.0017651103)
140000,4200,420000,0.041067677550017834,0.04215899921953678,0.04163715826719999,0.14868563,-0.43771323561668396,tensor(0.0026034161)
160000,4800,480000,0.04060035668313503,0.041279500238597396,0.040939137518405916,0.12942725,-0.43771323561668396,tensor(0.0023205567)
180000,5400,540000,0.04053260736167431,0.041231480911374095,0.040815832741558554,0.13367608,-0.43771323561668396,tensor(0.0023694066)
200000,6000,600000,0.04031909093260765,0.040873329564929006,0.0405394709482789,0.14330165,-0.43771323561668396,tensor(0.0028230704)
220000,6600,660000,0.039973366856575016,0.04084915567189455,0.040464590206742285,0.10353797,-0.43771323561668396,tensor(0.0017511842)
240000,7200,720000,0.04016226131469011,0.04115762885659933,0.0405922065153718,0.14705987,-0.43771323561668396,tensor(0.0025456448)
260000,7800,780000,0.039885295648127796,0.04048389304429292,0.04009367660433054,0.12742095,-0.43771323561668396,tensor(0.0022721030)
280000,8400,840000,0.039963538218289615,0.040589311681687834,0.040139776095747946,0.13254268,-0.43771323561668396,tensor(0.0023368171)
300000,9000,900000,0.03986634749919176,0.040355531647801396,0.039980458565056325,0.14034615,-0.43771323561668396,tensor(0.0027567686)
320000,9600,960000,0.03959685955196619,0.040415341444313524,0.03999281939119101,0.10291704,-0.43771323561668396,tensor(0.0017448547)
340000,10200,1020000,0.039843382798135284,0.04078582100570202,0.04019022122770548,0.14653862,-0.43771323561668396,tensor(0.0025234614)
360000,10800,1080000,0.03961239786818624,0.040162174552679064,0.03973981510102749,0.12633501,-0.43771323561668396,tensor(0.0022485740)
380000,11400,1140000,0.03973337667062879,0.04031226802617312,0.03983929937332869,0.13230848,-0.43771323561668396,tensor(0.0023270217)
400000,12000,1200000,0.03967283256351948,0.040118080228567124,0.039715620145201684,0.13875216,-0.43771323561668396,tensor(0.0027219842)
420000,12600,1260000,0.03943109950050712,0.040210574381053445,0.039760829981416466,0.10237113,-0.43771323561668396,tensor(0.0017399497)
440000,13200,1320000,0.03969540413469076,0.040603459104895594,0.03998423209041357,0.14640547,-0.43771323561668396,tensor(0.0025137244)
460000,13800,1380000,0.0394814776815474,0.03999797791242599,0.039551882203668356,0.12566024,-0.43771323561668396,tensor(0.0022342042)
480000,14400,1440000,0.03961991576477885,0.04016600176692009,0.039674649611115456,0.13231854,-0.43771323561668396,tensor(0.0023239278)
500000,15000,1500000,0.039573943428695205,0.039988140277564525,0.03956500710174441,0.13775362,-0.43771323561668396,tensor(0.0027004506)
520000,15600,1560000,0.039345677625387904,0.04009703185409307,0.039626041263341905,0.10189343,-0.43771323561668396,tensor(0.0017356512)
540000,16200,1620000,0.03961567800492048,0.040499595887959004,0.039860934805124995,0.14641728,-0.43771323561668396,tensor(0.0025093162)
560000,16800,1680000,0.039409600123763086,0.03990218114107847,0.039437178023159505,0.12522674,-0.43771323561668396,tensor(0.0022246183)
580000,17400,1740000,0.0395566401258111,0.040078524090349676,0.03957194022834301,0.13240512,-0.43771323561668396,tensor(0.0023233283)
600000,18000,1800000,0.03951720144599676,0.03990844517946243,0.0394686665982008,0.13708746,-0.43771323561668396,tensor(0.0026862065)
620000,18600,1860000,0.03929681900888681,0.04002701137214899,0.03953866020217538,0.10148752,-0.43771323561668396,tensor(0.0017318677)
640000,19200,1920000,0.03956828068941832,0.040434337444603445,0.03977926262840629,0.14647612,-0.43771323561668396,tensor(0.0025072519)
660000,19800,1980000,0.039366301614791155,0.03984103955328464,0.03936031678691507,0.12494448,-0.43771323561668396,tensor(0.0022178732)
680000,20400,2040000,0.03951818846166134,0.040021505914628504,0.039501943673938514,0.1325103,-0.43771323561668396,tensor(0.0023237010)
700000,21000,2100000,0.039481919705867764,0.03985554095357657,0.03940186708047986,0.13663037,-0.43771323561668396,tensor(0.0026764807)
720000,21600,2160000,0.039266713466495275,0.039980429038405416,0.03947748989239335,0.101148754,-0.43771323561668396,tensor(0.0017285987)
740000,22200,2220000,0.03953809820115566,0.04039040580391884,0.0397212214320898,0.14654157,-0.43771323561668396,tensor(0.0025061851)
760000,22800,2280000,0.03933842202648521,0.03979944333434105,0.039305298674851656,0.12476132,-0.43771323561668396,tensor(0.0022129612)
780000,23400,2340000,0.03949333323165774,0.03998196259140968,0.03945113759115338,0.13261236,-0.43771323561668396,tensor(0.0023244279)
800000,24000,2400000,0.03945869367569685,0.03981837224215269,0.03935282027348876,0.1363143,-0.43771323561668396,tensor(0.0026697794)
820000,24600,2460000,0.03924712885171175,0.039947654344141485,0.039432218618690965,0.10086766,-0.43771323561668396,tensor(0.0017257743)
840000,25200,2520000,0.039517919421195986,0.04035930588841438,0.039677830286324024,0.14659882,-0.43771323561668396,tensor(0.0025055283)
860000,25800,2580000,0.03931958438828587,0.039769790805876254,0.039263970952481034,0.12464416,-0.43771323561668396,tensor(0.0022092746)
880000,26400,2640000,0.039476523734629156,0.03995323970913887,0.039412512205541136,0.13270299,-0.43771323561668396,tensor(0.0023252110)
900000,27000,2700000,0.03944276627153158,0.03979113593697548,0.03931526251509786,0.13609749,-0.43771323561668396,tensor(0.0026651912)
920000,27600,2760000,0.03923387555405498,0.039923604875802994,0.03939730147644877,0.10063522,-0.43771323561668396,tensor(0.0017233484)
