samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.3207984399795532,0.319109865128994,0.31901623249053956,1.9300957,"tensor(1., device='cuda:0')",
11000,600,15000,0.06539635125547648,0.06658974085003137,0.06679563064873219,0.20129895,"tensor(0.0947090164, device='cuda:0')","tensor(0.0024703292, device='cuda:0')"
22000,1200,30000,0.053811263851821424,0.05518604669719934,0.05495056545734406,0.13890408,"tensor(0.1804310977, device='cuda:0')","tensor(0.0016498959, device='cuda:0')"
33000,1800,45000,0.049679738916456696,0.05084572434425354,0.05066937840729952,0.14199737,"tensor(0.0260932744, device='cuda:0')","tensor(0.0017605399, device='cuda:0')"
44000,2400,60000,0.04734344203025102,0.048591429553925994,0.04834116422384977,0.130303,"tensor(0.3623117208, device='cuda:0')","tensor(0.0015261405, device='cuda:0')"
55000,3000,75000,0.04592910349369049,0.04688057873398065,0.046606188789010045,0.14435644,"tensor(0.1494767666, device='cuda:0')","tensor(0.0017007522, device='cuda:0')"
66000,3600,90000,0.044766202606260776,0.0458048964291811,0.045520393647253514,0.17483994,"tensor(0.1494767666, device='cuda:0')","tensor(0.0020677999, device='cuda:0')"
77000,4200,105000,0.04406752794981003,0.04492820829153061,0.04465461874753237,0.12235505,"tensor(0.1494767666, device='cuda:0')","tensor(0.0014792563, device='cuda:0')"
88000,4800,120000,0.0434951401874423,0.04426587801426649,0.04401324919611216,0.15559714,"tensor(0.1494767666, device='cuda:0')","tensor(0.0016732829, device='cuda:0')"
99000,5400,135000,0.0432881960272789,0.04399715706706047,0.043780237458646294,0.15788367,"tensor(0.1494767666, device='cuda:0')","tensor(0.0018499829, device='cuda:0')"
110000,6000,150000,0.04242589894682169,0.043233274593949315,0.043008165530860426,0.12389441,"tensor(0.1494767666, device='cuda:0')","tensor(0.0014734617, device='cuda:0')"
121000,6600,165000,0.042035246305167674,0.04290746260434389,0.04260337641090155,0.17122613,"tensor(0.1494767666, device='cuda:0')","tensor(0.0019978159, device='cuda:0')"
132000,7200,180000,0.041855980902910234,0.04256210263818502,0.04227895449846983,0.12110948,"tensor(0.1494767666, device='cuda:0')","tensor(0.0014437699, device='cuda:0')"
143000,7800,195000,0.04167238313704729,0.04232171326875687,0.042053414680063725,0.15251237,"tensor(0.1494767666, device='cuda:0')","tensor(0.0016216334, device='cuda:0')"
154000,8400,210000,0.04174605023115873,0.04234472941607237,0.042118297994136814,0.1534467,"tensor(0.1494767666, device='cuda:0')","tensor(0.0017717830, device='cuda:0')"
165000,9000,225000,0.04110812976956368,0.041818114705383776,0.04157772185653448,0.1203957,"tensor(0.1494767666, device='cuda:0')","tensor(0.0014184447, device='cuda:0')"
176000,9600,240000,0.0408803042024374,0.04165401387959719,0.041340968437492846,0.16938736,"tensor(0.1494767666, device='cuda:0')","tensor(0.0019652215, device='cuda:0')"
187000,10200,255000,0.04083733044564724,0.04145683817565441,0.04116482301801443,0.1205599,"tensor(0.1494767666, device='cuda:0')","tensor(0.0014240610, device='cuda:0')"
198000,10800,270000,0.040784702450037,0.0413672960549593,0.04108468478173018,0.1514113,"tensor(0.1494767666, device='cuda:0')","tensor(0.0016010065, device='cuda:0')"
209000,11400,285000,0.04094815526157618,0.0414831406250596,0.041246417164802554,0.15105549,"tensor(0.1494767666, device='cuda:0')","tensor(0.0017297455, device='cuda:0')"
220000,12000,300000,0.04039960350841284,0.04105170454829931,0.04079581578820944,0.11855486,"tensor(0.1494767666, device='cuda:0')","tensor(0.0013882569, device='cuda:0')"
231000,12600,315000,0.04024242978543043,0.04095596883445978,0.04063139947503805,0.16859429,"tensor(0.1494767666, device='cuda:0')","tensor(0.0019506064, device='cuda:0')"
242000,13200,330000,0.040253639444708826,0.040819312818348406,0.040514578647911546,0.12014858,"tensor(0.1494767666, device='cuda:0')","tensor(0.0014106922, device='cuda:0')"
253000,13800,345000,0.040266143567860124,0.04080723583698273,0.040508463956415657,0.15092279,"tensor(0.1494767666, device='cuda:0')","tensor(0.0015907607, device='cuda:0')"
