samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.3207984399795532,0.319109865128994,0.31901623249053956,1.9300957,"tensor(1., device='cuda:0')",
11000,400,13000,0.05873469732701778,0.060038674660027026,0.06012145158648491,0.040791776,"tensor(0.6823427081, device='cuda:0')","tensor(0.0001245069, device='cuda:0')"
22000,800,26000,0.049828539341688155,0.05109040919691324,0.050770393058657645,0.02930793,"tensor(0.5686007142, device='cuda:0')","tensor(0.0001121230, device='cuda:0')"
33000,1200,39000,0.04700350154191255,0.04787699643522501,0.04774405818432569,0.033728506,"tensor(0.7436170578, device='cuda:0')","tensor(4.3765598093e-05, device='cuda:0')"
44000,1600,52000,0.04462039913982153,0.04570346537977457,0.045428114488720896,0.029843627,"tensor(0.4714273512, device='cuda:0')","tensor(4.2752373702e-05, device='cuda:0')"
55000,2000,65000,0.044069576151669024,0.04477951880544424,0.044569509230554104,0.028265886,"tensor(0.2482331097, device='cuda:0')","tensor(8.2384940470e-05, device='cuda:0')"
66000,2400,78000,0.042991734519600866,0.043779451325535776,0.04342934454977512,0.027068062,"tensor(0.6096630096, device='cuda:0')","tensor(3.1177871278e-05, device='cuda:0')"
77000,2800,91000,0.042891614884138105,0.043720413595438004,0.04337043414264918,0.030824522,"tensor(0.6096630096, device='cuda:0')","tensor(3.2412626751e-05, device='cuda:0')"
88000,3200,104000,0.042862633876502514,0.043557128831744195,0.04321647577732801,0.023399562,"tensor(0.6096630096, device='cuda:0')","tensor(8.2176571595e-05, device='cuda:0')"
99000,3600,117000,0.041892878375947476,0.042603000551462177,0.04225334593653679,0.026145808,"tensor(0.6096630096, device='cuda:0')","tensor(6.6602842708e-05, device='cuda:0')"
110000,4000,130000,0.041509205773472786,0.04200036466121673,0.041750599704682825,0.029898528,"tensor(0.6096630096, device='cuda:0')","tensor(6.3050909375e-05, device='cuda:0')"
121000,4400,143000,0.04128948707133531,0.04182309273630381,0.04156447277218103,0.031194564,"tensor(0.6096630096, device='cuda:0')","tensor(2.5281849958e-05, device='cuda:0')"
132000,4800,156000,0.04115902788937092,0.041708511002361774,0.04133770390599966,0.030311158,"tensor(0.6096630096, device='cuda:0')","tensor(5.4793199524e-05, device='cuda:0')"
143000,5200,169000,0.040666258558630944,0.04138044856488705,0.04102352410554886,0.021795128,"tensor(0.6096630096, device='cuda:0')","tensor(6.5436652221e-05, device='cuda:0')"
154000,5600,182000,0.04065992623567581,0.04106790706515312,0.04076566496491432,0.02319378,"tensor(0.6096630096, device='cuda:0')","tensor(8.6651358288e-05, device='cuda:0')"
165000,6000,195000,0.04023545812815428,0.04090303353965283,0.04055187687277794,0.0379812,"tensor(0.6096630096, device='cuda:0')","tensor(5.5081822211e-05, device='cuda:0')"
176000,6400,208000,0.04049014490097761,0.04094276912510395,0.04065826391428709,0.030623658,"tensor(0.6096630096, device='cuda:0')","tensor(2.3509339371e-05, device='cuda:0')"
187000,6800,221000,0.04048998769372702,0.040984762981534,0.04058143290132284,0.030051153,"tensor(0.6096630096, device='cuda:0')","tensor(5.1314771554e-05, device='cuda:0')"
198000,7200,234000,0.040083471089601516,0.04074306778609753,0.04035841396450996,0.021615885,"tensor(0.6096630096, device='cuda:0')","tensor(6.1214610469e-05, device='cuda:0')"
209000,7600,247000,0.04016472136601806,0.04052996512502432,0.04020366795361042,0.022925418,"tensor(0.6096630096, device='cuda:0')","tensor(8.5276922619e-05, device='cuda:0')"
220000,8000,260000,0.03980617046356201,0.04042976178228855,0.040055357530713084,0.03781241,"tensor(0.6096630096, device='cuda:0')","tensor(5.6788921938e-05, device='cuda:0')"
231000,8400,273000,0.0400920314528048,0.040499196760356425,0.04019223479181528,0.03041656,"tensor(0.6096630096, device='cuda:0')","tensor(2.2420206733e-05, device='cuda:0')"
242000,8800,286000,0.04014489650726318,0.04060660101473332,0.04017589799687266,0.02987205,"tensor(0.6096630096, device='cuda:0')","tensor(5.0081845984e-05, device='cuda:0')"
253000,9200,299000,0.03977227084338665,0.04039843253791332,0.03998872607201338,0.021531474,"tensor(0.6096630096, device='cuda:0')","tensor(5.8800622355e-05, device='cuda:0')"
264000,9600,312000,0.03989664763212204,0.04023164749145508,0.039884493190795185,0.022795394,"tensor(0.6096630096, device='cuda:0')","tensor(8.4745268396e-05, device='cuda:0')"
275000,10000,325000,0.03956632763147354,0.04016170110553503,0.039765457443892954,0.037657194,"tensor(0.6096630096, device='cuda:0')","tensor(5.7391342125e-05, device='cuda:0')"
286000,10400,338000,0.039863117039203644,0.040238821282982826,0.03991185354813934,0.03027785,"tensor(0.6096630096, device='cuda:0')","tensor(2.1741250748e-05, device='cuda:0')"
297000,10800,351000,0.03994236074388027,0.040382393896579744,0.03992765665799379,0.029749097,"tensor(0.6096630096, device='cuda:0')","tensor(4.9598736950e-05, device='cuda:0')"
308000,11200,364000,0.03958627700805664,0.04019017107784748,0.0397578908726573,0.021485673,"tensor(0.6096630096, device='cuda:0')","tensor(5.7251250837e-05, device='cuda:0')"
319000,11600,377000,0.03973640849813819,0.04004895824939012,0.0396834336631,0.022724552,"tensor(0.6096630096, device='cuda:0')","tensor(8.4467399574e-05, device='cuda:0')"
330000,12000,390000,0.03942124316468835,0.039997162856161596,0.03958092498406768,0.037528843,"tensor(0.6096630096, device='cuda:0')","tensor(5.7641223975e-05, device='cuda:0')"
341000,12400,403000,0.039720588084310296,0.04007295321673155,0.03972814151644707,0.03017707,"tensor(0.6096630096, device='cuda:0')","tensor(2.1261952497e-05, device='cuda:0')"
352000,12800,416000,0.039814575016498564,0.04023916229605675,0.039763405106961726,0.029659634,"tensor(0.6096630096, device='cuda:0')","tensor(4.9422200391e-05, device='cuda:0')"
363000,13200,429000,0.039467020239681,0.04005520362406969,0.039602718763053414,0.02146286,"tensor(0.6096630096, device='cuda:0')","tensor(5.6130633311e-05, device='cuda:0')"
