samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.3207984399795532,0.319109865128994,0.31901623249053956,1.9300957,"tensor(1., device='cuda:0')",
11000,400,13000,0.06432299822568893,0.06544261157512665,0.06563293191790581,0.18920292,"tensor(0.6823427081, device='cuda:0')","tensor(0.0022038762, device='cuda:0')"
22000,800,26000,0.05397778742015362,0.055350894741714,0.05512987393885851,0.13337626,"tensor(0.5686007142, device='cuda:0')","tensor(0.0015042474, device='cuda:0')"
33000,1200,39000,0.05000610776245594,0.051229126602411273,0.051051647372543814,0.14507976,"tensor(0.7436170578, device='cuda:0')","tensor(0.0017717647, device='cuda:0')"
44000,1600,52000,0.04751192640513182,0.04876269243657589,0.048516728602349755,0.13539772,"tensor(0.4714273512, device='cuda:0')","tensor(0.0014959548, device='cuda:0')"
55000,2000,65000,0.04627185322344303,0.04723230924457312,0.04697503171116114,0.13320245,"tensor(0.0578395873, device='cuda:0')","tensor(0.0013926483, device='cuda:0')"
66000,2400,78000,0.04502936266362667,0.04602962341159582,0.04576495114713907,0.13665815,"tensor(0.6314136386, device='cuda:0')","tensor(0.0015666126, device='cuda:0')"
77000,2800,91000,0.044319276325404645,0.045247317478060725,0.045027172215282914,0.11486409,"tensor(0.6314136386, device='cuda:0')","tensor(0.0013419617, device='cuda:0')"
88000,3200,104000,0.043725961185991764,0.04467710129916668,0.04435395471006632,0.120544486,"tensor(0.6314136386, device='cuda:0')","tensor(0.0013474461, device='cuda:0')"
99000,3600,117000,0.043040889836847784,0.04392198536545038,0.04367389690130949,0.12387829,"tensor(0.6314136386, device='cuda:0')","tensor(0.0013895263, device='cuda:0')"
110000,4000,130000,0.04291191142052412,0.04375946968793869,0.043442841067910194,0.15874729,"tensor(0.6314136386, device='cuda:0')","tensor(0.0018618980, device='cuda:0')"
121000,4400,143000,0.042344212643802163,0.04315574962645769,0.042858446791768076,0.12635006,"tensor(0.6314136386, device='cuda:0')","tensor(0.0014436917, device='cuda:0')"
132000,4800,156000,0.0422772666439414,0.04285119093954563,0.04261767703294754,0.13826844,"tensor(0.6314136386, device='cuda:0')","tensor(0.0015054953, device='cuda:0')"
143000,5200,169000,0.041889733821153644,0.042583377063274384,0.042294549055397514,0.16814932,"tensor(0.6314136386, device='cuda:0')","tensor(0.0020798619, device='cuda:0')"
154000,5600,182000,0.041687240973114964,0.042439762055873874,0.042156523391604424,0.16963004,"tensor(0.6314136386, device='cuda:0')","tensor(0.0021197237, device='cuda:0')"
165000,6000,195000,0.04151853855699301,0.04225622393190861,0.041965522706508634,0.15427041,"tensor(0.6314136386, device='cuda:0')","tensor(0.0018677487, device='cuda:0')"
176000,6400,208000,0.041087574437260625,0.04181240655481815,0.04151009160280228,0.12411575,"tensor(0.6314136386, device='cuda:0')","tensor(0.0014079507, device='cuda:0')"
187000,6800,221000,0.04118711456656456,0.04169045265763998,0.04144735464453697,0.13570262,"tensor(0.6314136386, device='cuda:0')","tensor(0.0014633477, device='cuda:0')"
198000,7200,234000,0.04094077926129103,0.04156071223318577,0.04126495214551687,0.16860428,"tensor(0.6314136386, device='cuda:0')","tensor(0.0020834410, device='cuda:0')"
209000,7600,247000,0.040837603397667406,0.04152164783328772,0.04123237638175487,0.16834952,"tensor(0.6314136386, device='cuda:0')","tensor(0.0020892243, device='cuda:0')"
220000,8000,260000,0.04079411618411541,0.0414606124535203,0.04116249495744705,0.15496144,"tensor(0.6314136386, device='cuda:0')","tensor(0.0018714285, device='cuda:0')"
231000,8400,273000,0.040406965427100656,0.04107215542346239,0.04075837115198374,0.1229006,"tensor(0.6314136386, device='cuda:0')","tensor(0.0013871554, device='cuda:0')"
