samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.3279715061187744,0.3272538384795189,0.32524514412879946,,,
11000,300,12000,0.04896682865917683,0.049526310414075854,0.049390609562397006,0.034947854,-3.5116424560546875,tensor(0.0014604951)
22000,600,24000,0.04774091631174088,0.04846157073974609,0.047929223343729975,0.029634222,-2.579272508621216,tensor(0.0011150305)
33000,900,36000,0.046609987765550615,0.04699153319001198,0.046668719306588176,0.036896188,-5.341419219970703,tensor(0.0032946602)
44000,1200,48000,0.04344848267734051,0.04403760392218828,0.043684044994413855,0.03395669,-3.05517840385437,tensor(0.0021480515)
55000,1500,60000,0.04496937185525894,0.04519113093614578,0.04486103915423155,0.026373234,-3.854489326477051,tensor(0.0011545053)
66000,1800,72000,0.04717386435717344,0.047177757397294046,0.04673919747769833,0.037002157,-2.117163896560669,tensor(0.0047554919)
77000,2100,84000,0.043666330091655256,0.04421933874487877,0.04374428734928369,0.03678476,-2.117163896560669,tensor(0.0046742409)
88000,2400,96000,0.04466538932174444,0.04498813048005104,0.04455542869120836,0.037825946,-2.117163896560669,tensor(0.0055546430)
99000,2700,108000,0.04516283374279737,0.04570596527308226,0.044991151444613936,0.027595485,-2.117163896560669,tensor(0.0016424571)
110000,3000,120000,0.042745494544506074,0.04312645800411701,0.04265834476798773,0.030611612,-2.117163896560669,tensor(0.0020755210)
121000,3300,132000,0.04284505482763052,0.04348799116909504,0.04273133331537247,0.031164112,-2.117163896560669,tensor(0.0025072047)
132000,3600,144000,0.0444315342605114,0.04482982624322176,0.04414788396656513,0.029958155,-2.117163896560669,tensor(0.0013434150)
143000,3900,156000,0.04489235166460276,0.04563911210745573,0.044969413027167324,0.033724867,-2.117163896560669,tensor(0.0043162322)
154000,4200,168000,0.04772671189159155,0.04770719166845083,0.04727891224622727,0.03402115,-2.117163896560669,tensor(0.0033717835)
165000,4500,180000,0.04303668595850468,0.04359988741576672,0.042827629312872886,0.028542722,-2.117163896560669,tensor(0.0012434389)
176000,4800,192000,0.04287090197205543,0.04343186736106872,0.04264363389462233,0.030387688,-2.117163896560669,tensor(0.0022248034)
187000,5100,204000,0.044238359108567236,0.044594584740698336,0.04389553953707218,0.029596265,-2.117163896560669,tensor(0.0012283181)
198000,5400,216000,0.044881444908678535,0.045584730617702005,0.044892921097576616,0.033555076,-2.117163896560669,tensor(0.0042854222)
209000,5700,228000,0.047757077403366564,0.047698213644325735,0.04724119871109724,0.034193844,-2.117163896560669,tensor(0.0034585346)
220000,6000,240000,0.042995657846331595,0.043523151502013205,0.04273418234288692,0.028385248,-2.117163896560669,tensor(0.0012127495)
231000,6300,252000,0.042910455130040645,0.04344271268695593,0.042632823199033734,0.03023139,-2.117163896560669,tensor(0.0021601696)
242000,6600,264000,0.04416371136903763,0.04449971288442612,0.04378500051051378,0.029484017,-2.117163896560669,tensor(0.0011998952)
253000,6900,276000,0.04489319901913404,0.045573565512895584,0.04486473286896944,0.033502173,-2.117163896560669,tensor(0.0042763948)
264000,7200,288000,0.047738053314387796,0.047655537724494934,0.04717990554124117,0.034267846,-2.117163896560669,tensor(0.0034961023)
275000,7500,300000,0.042969217710196975,0.043475015237927433,0.04267227657139301,0.028303528,-2.117163896560669,tensor(0.0011942629)
286000,7800,312000,0.04294100876897573,0.043454425372183324,0.04262847924232483,0.030152293,-2.117163896560669,tensor(0.0021276157)
297000,8100,324000,0.044123862870037556,0.04444745626300573,0.043719427071511746,0.029437464,-2.117163896560669,tensor(0.0011898505)
308000,8400,336000,0.044904296547174455,0.04557023551315069,0.04484763748198747,0.033475082,-2.117163896560669,tensor(0.0042708633)
319000,8700,348000,0.047710581533610824,0.04761380795389414,0.047123766355216506,0.03430196,-2.117163896560669,tensor(0.0035140808)
330000,9000,360000,0.04295053750276565,0.043441602177917954,0.04262750472873449,0.028261833,-2.117163896560669,tensor(0.0011839350)
341000,9300,372000,0.042963311709463596,0.04346351355314255,0.04262470833957195,0.030107731,-2.117163896560669,tensor(0.0021090999)
352000,9600,384000,0.04410072147846222,0.044415858089923856,0.043676592499017716,0.029418936,-2.117163896560669,tensor(0.0011873165)
363000,9900,396000,0.04491425603628159,0.04557016372680664,0.04483616868406534,0.03345921,-2.117163896560669,tensor(0.0042675240)
374000,10200,408000,0.04768620118498802,0.047580098174512385,0.047078312769532206,0.034317706,-2.117163896560669,tensor(0.0035231882)
385000,10500,420000,0.042936749644577506,0.043417136147618295,0.042593457333743576,0.028240249,-2.117163896560669,tensor(0.0011780100)
396000,10800,432000,0.042979604192078115,0.04347012728452682,0.04262062511593103,0.030081563,-2.117163896560669,tensor(0.0020978630)
407000,11100,444000,0.04408684428781271,0.044395769611001015,0.04364688772708178,0.029414162,-2.117163896560669,tensor(0.0011883060)
418000,11400,456000,0.044923533760011194,0.04557195883244276,0.04482833432406187,0.03344979,-2.117163896560669,tensor(0.0042657247)
429000,11700,468000,0.04766665179282427,0.04755400877445936,0.047042349100112915,0.034325384,-2.117163896560669,tensor(0.0035282762)
440000,12000,480000,0.04292638782411814,0.043398669995367525,0.042566715456545355,0.028229132,-2.117163896560669,tensor(0.0011744271)
451000,12300,492000,0.04299175690859556,0.0434749536216259,0.04261630108207464,0.030065564,-2.117163896560669,tensor(0.0020906408)
462000,12600,504000,0.044078388921916484,0.04438250165432692,0.043625234231352804,0.029416593,-2.117163896560669,tensor(0.0011910244)
473000,12900,516000,0.044932359084486964,0.04557492334395647,0.044822990261018276,0.033444185,-2.117163896560669,tensor(0.0042648576)
484000,13200,528000,0.047651479318737984,0.047533989660441874,0.04701383218914271,0.03432962,-2.117163896560669,tensor(0.0035315640)
495000,13500,540000,0.042918565310537816,0.04338447399437428,0.04254522785544396,0.028223393,-2.117163896560669,tensor(0.0011720811)
506000,13800,552000,0.04300109557807445,0.04347859345376492,0.04261194287985563,0.030055387,-2.117163896560669,tensor(0.0020857502)
517000,14100,564000,0.04407321810722351,0.04437345176935196,0.04360874600708484,0.029422985,-2.117163896560669,tensor(0.0011945587)
528000,14400,576000,0.04494081437587738,0.04557862222194672,0.04481939172744751,0.033440698,-2.117163896560669,tensor(0.0042644874)
539000,14700,588000,0.047639885246753694,0.047518634907901286,0.04699103050678968,0.034332577,-2.117163896560669,tensor(0.0035340670)
550000,15000,600000,0.04291268538683653,0.04337343860417604,0.042527664206922056,0.028220484,-2.117163896560669,tensor(0.0011703732)
561000,15300,612000,0.043008504658937456,0.04348147381097078,0.042607710145413875,0.030048708,-2.117163896560669,tensor(0.0020822971)
572000,15600,624000,0.044070092029869556,0.0443671103194356,0.043595707654953006,0.029431418,-2.117163896560669,tensor(0.0011984212)
583000,15900,636000,0.04494891449809074,0.0455827659368515,0.04481702306121588,0.03343847,-2.117163896560669,tensor(0.0042643314)
594000,16200,648000,0.04763110805302859,0.04750683769583702,0.04697260795533657,0.03433522,-2.117163896560669,tensor(0.0035362381)
605000,16500,660000,0.042908308617770674,0.04336480002850294,0.042513106115162375,0.028219057,-2.117163896560669,tensor(0.0011689812)
616000,16800,672000,0.04301457978785038,0.04348388411104679,0.04260370846092701,0.030044211,-2.117163896560669,tensor(0.0020797793)
627000,17100,684000,0.04406826309859753,0.04436256356537342,0.04358506121486425,0.029440826,-2.117163896560669,tensor(0.0012023377)
638000,17400,696000,0.04495666310191154,0.04558716744184494,0.04481553783267737,0.03343677,-2.117163896560669,tensor(0.0042642332)
649000,17700,708000,0.04762454599142075,0.047497777603566646,0.0469575841575861,0.034337785,-2.117163896560669,tensor(0.0035382749)
660000,18000,720000,0.04290511455386877,0.04335802428424358,0.04250090748816729,0.028218247,-2.117163896560669,tensor(0.0011677359)
671000,18300,732000,0.04301970716565848,0.043486004173755644,0.04259998372942209,0.030041136,-2.117163896560669,tensor(0.0020778943)
682000,18600,744000,0.044067271910607816,0.0443592432141304,0.0435761294439435,0.02945055,-2.117163896560669,tensor(0.0012061578)
693000,18900,756000,0.044964046701788905,0.04559168729931116,0.04481467689573765,0.03343533,-2.117163896560669,tensor(0.0042640963)
704000,19200,768000,0.04761971313506365,0.04749083649367094,0.04694521857053041,0.03434045,-2.117163896560669,tensor(0.0035402586)
715000,19500,780000,0.04290285974740982,0.043352721631526946,0.04249059229344129,0.028217794,-2.117163896560669,tensor(0.0011665482)
726000,19800,792000,0.043024146668612956,0.04348794966936111,0.042596555210649964,0.03003906,-2.117163896560669,tensor(0.0020764670)
