samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.3279715061187744,0.3272538384795189,0.32524514412879946,,,
11000,400,13000,0.05477179829031229,0.05558512851595879,0.05536956706643104,0.23580147,-3.5703258514404297,tensor(0.0052034664)
22000,800,26000,0.05064592316746712,0.051611178703606125,0.051143395617604254,0.14484505,-2.642282009124756,tensor(0.0014271999)
33000,1200,39000,0.04513911373913288,0.04609587911516428,0.04588462856411934,0.14417651,-5.321937561035156,tensor(0.0030294175)
44000,1600,52000,0.044158690609037876,0.04505657359957695,0.04477480084449053,0.14477555,-2.962721109390259,tensor(0.0029681660)
55000,2000,65000,0.05310289900749922,0.05309097535908222,0.05293029379844665,0.14657973,-3.1990599632263184,tensor(0.0111701349)
66000,2400,78000,0.05170341648161411,0.0520129806920886,0.05177044203877449,0.15457669,-2.771045684814453,tensor(0.0127025712)
77000,2800,91000,0.049179046787321566,0.049968988187611106,0.049795781962573525,0.16726092,-2.771045684814453,tensor(0.0083860606)
88000,3200,104000,0.0507500921189785,0.05126402355730533,0.05066886673867702,0.137113,-2.771045684814453,tensor(0.0117586162)
99000,3600,117000,0.05256323765963316,0.05220515735447407,0.05193318925797939,0.1472971,-2.771045684814453,tensor(0.0099897720)
110000,4000,130000,0.050106879398226736,0.05026464626193047,0.05026619239151478,0.14359596,-2.771045684814453,tensor(0.0096486863)
121000,4400,143000,0.05092295628041029,0.051114017739892006,0.0506299894452095,0.16170065,-2.771045684814453,tensor(0.0102298297)
132000,4800,156000,0.04964389599859714,0.0498856407776475,0.049703709974884984,0.14193085,-2.771045684814453,tensor(0.0098282844)
143000,5200,169000,0.050192585811018944,0.050058514960110184,0.04955153799802065,0.18685304,-2.771045684814453,tensor(0.0112430621)
154000,5600,182000,0.051498761139810084,0.051531856283545494,0.05137794338911772,0.14508134,-2.771045684814453,tensor(0.0127105089)
165000,6000,195000,0.05062329798936844,0.051093514189124105,0.05083635196834803,0.19191583,-2.771045684814453,tensor(0.0115661956)
176000,6400,208000,0.05065921414643526,0.050808668397367,0.050273140124976634,0.1652253,-2.771045684814453,tensor(0.0104772821)
187000,6800,221000,0.04896125491708517,0.04923612721264362,0.04896368534117937,0.14403626,-2.771045684814453,tensor(0.0097432109)
198000,7200,234000,0.04980037730187178,0.049595817252993585,0.049062463432550434,0.18747441,-2.771045684814453,tensor(0.0111046787)
209000,7600,247000,0.051150921173393725,0.05115790404379368,0.05095601226389408,0.14393325,-2.771045684814453,tensor(0.0125893876)
220000,8000,260000,0.05031838860362768,0.05077418755739927,0.050474517561495305,0.19302158,-2.771045684814453,tensor(0.0114561040)
231000,8400,273000,0.0505977277085185,0.0507199228182435,0.050150498405098914,0.16702527,-2.771045684814453,tensor(0.0106378542)
242000,8800,286000,0.048697907477617264,0.04896441202610731,0.04863353035598993,0.14647879,-2.771045684814453,tensor(0.0097262263)
253000,9200,299000,0.049602699354290965,0.049348519556224345,0.04879474990814924,0.18813415,-2.771045684814453,tensor(0.0110133067)
264000,9600,312000,0.05101691395044327,0.05099211636930704,0.050760386005043984,0.14428677,-2.771045684814453,tensor(0.0125609599)
275000,10000,325000,0.050127666741609574,0.05056905705481768,0.050235280826687816,0.19376442,-2.771045684814453,tensor(0.0113493800)
286000,10400,338000,0.05059786174446344,0.05069949861615896,0.05010320025682449,0.16864736,-2.771045684814453,tensor(0.0107466476)
297000,10800,351000,0.04857056606560946,0.04882232882082462,0.04845120564103127,0.14840518,-2.771045684814453,tensor(0.0097263018)
308000,11200,364000,0.049488604515790936,0.04919835615903139,0.04862729182839393,0.18867059,-2.771045684814453,tensor(0.0109514352)
319000,11600,377000,0.05097148034721613,0.050917837508022784,0.05066362502425909,0.14506373,-2.771045684814453,tensor(0.0125663746)
330000,12000,390000,0.05000227205455303,0.05042949959635735,0.05006861428171396,0.19408754,-2.771045684814453,tensor(0.0112643614)
341000,12400,403000,0.05062250413000584,0.05070881839841604,0.05008967219293117,0.17018181,-2.771045684814453,tensor(0.0108214337)
352000,12800,416000,0.04850398976355791,0.04874153271317482,0.04834065259993076,0.14986816,-2.771045684814453,tensor(0.0097329263)
363000,13200,429000,0.04941792882978916,0.049100280255079266,0.04851416903734207,0.18908234,-2.771045684814453,tensor(0.0109079294)
374000,13600,442000,0.05096351232379675,0.05088548537343741,0.050612699165940286,0.14587417,-2.771045684814453,tensor(0.0125813745)
385000,14000,455000,0.04991423841565847,0.050328634083271026,0.04994564326107502,0.19411297,-2.771045684814453,tensor(0.0111997249)
396000,14400,468000,0.05065436653792858,0.050729099698364734,0.050089988000690935,0.17159817,-2.771045684814453,tensor(0.0108735003)
407000,14800,481000,0.04846695229411125,0.048692496865987776,0.04826849552243948,0.15097527,-2.771045684814453,tensor(0.0097419266)
418000,15200,494000,0.04937167193740606,0.04903252840042114,0.04843311261385679,0.18938698,-2.771045684814453,tensor(0.0108763743)
429000,15600,507000,0.05097049258649349,0.05087239801883697,0.050583551436662676,0.14658025,-2.771045684814453,tensor(0.0125967264)
440000,16000,520000,0.049849466383457185,0.05025267791002989,0.04985124782472849,0.19395974,-2.771045684814453,tensor(0.0111509413)
451000,16400,533000,0.05068645484745502,0.05075223159044981,0.050095449797809125,0.17288288,-2.771045684814453,tensor(0.0109102093)
462000,16800,546000,0.048445188142359256,0.048661053255200384,0.048218416281044486,0.15181965,-2.771045684814453,tensor(0.0097516198)
473000,17200,559000,0.04933998081833124,0.04898359440267086,0.04837227675318718,0.1896067,-2.771045684814453,tensor(0.0108528407)
484000,17600,572000,0.0509822142124176,0.05086779825389385,0.050564757972955704,0.14714526,-2.771045684814453,tensor(0.0126093309)
495000,18000,585000,0.04980029638856649,0.0501938995718956,0.049776813924312595,0.19370805,-2.771045684814453,tensor(0.0111137917)
506000,18400,598000,0.050716011263430116,0.05077468041330576,0.0501021536886692,0.17403594,-2.771045684814453,tensor(0.0109362537)
517000,18800,611000,0.04843183446675539,0.048640026934444906,0.048181937910616396,0.15246944,-2.771045684814453,tensor(0.0097612832)
528000,19200,624000,0.04931729681789875,0.048946839421987534,0.048324787572026254,0.18976091,-2.771045684814453,tensor(0.0108347591)
539000,19600,637000,0.050994137153029445,0.05086651723831892,0.050550794683396814,0.14757256,-2.771045684814453,tensor(0.0126185175)
550000,20000,650000,0.04976228903979063,0.050147650092840196,0.04971708676964044,0.19340634,-2.771045684814453,tensor(0.0110852569)
