samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.3279715061187744,0.3272538384795189,0.32524514412879946,,,
11000,600,15000,0.04992386043071747,0.050448047667741774,0.05031289958953857,0.03605646,-2.9402077198028564,tensor(0.0024245842)
22000,1200,30000,0.047916280403733254,0.048623109422624114,0.048086073815822604,0.02701871,-2.947767734527588,tensor(0.0006966657)
33000,1800,45000,0.04737763807177544,0.047799705676734444,0.04745211615413427,0.038537223,-3.060091495513916,tensor(0.0045941686)
44000,2400,60000,0.04339736729860306,0.04403998393565416,0.043700393587350846,0.033469595,-2.572323799133301,tensor(0.0042483052)
55000,3000,75000,0.04418599858880043,0.04444484405219555,0.04411776828765869,0.026102964,-2.4046545028686523,tensor(0.0011940224)
66000,3600,90000,0.04347598690539598,0.043871928714215754,0.043562391325831416,0.03199191,-2.4046545028686523,tensor(0.0029005064)
77000,4200,105000,0.04358035381883383,0.043753349110484126,0.04334093923121691,0.030608641,-2.4046545028686523,tensor(0.0024024113)
88000,4800,120000,0.04250361137092114,0.04281195003539324,0.042517504759132865,0.03642082,-2.4046545028686523,tensor(0.0039640130)
99000,5400,135000,0.04524265024811029,0.0458087508007884,0.04522833079099655,0.02817948,-2.4046545028686523,tensor(0.0019049972)
110000,6000,150000,0.042484207451343535,0.04278149507939816,0.042270691156387326,0.029982792,-2.4046545028686523,tensor(0.0020320625)
121000,6600,165000,0.043099011331796645,0.04341736976057291,0.0430515341386199,0.031348344,-2.4046545028686523,tensor(0.0027352537)
132000,7200,180000,0.04320065777748823,0.04331043660640717,0.042868370033800604,0.030721933,-2.4046545028686523,tensor(0.0025185253)
143000,7800,195000,0.04217919543385506,0.042449107132852076,0.04211723244935274,0.03605366,-2.4046545028686523,tensor(0.0038591067)
154000,8400,210000,0.045153201557695866,0.04565253272652626,0.045040099002420904,0.028287541,-2.4046545028686523,tensor(0.0019711570)
165000,9000,225000,0.04236990679055452,0.04261931274086237,0.04207190512120724,0.029912608,-2.4046545028686523,tensor(0.0020374237)
176000,9600,240000,0.04301795955747366,0.04328957892954349,0.04289389558881521,0.031201849,-2.4046545028686523,tensor(0.0026958184)
187000,10200,255000,0.04310534294694662,0.04318357989192009,0.042712177619338036,0.030766312,-2.4046545028686523,tensor(0.0025660193)
198000,10800,270000,0.04208756133913994,0.04233620241284371,0.04197502531856299,0.03584108,-2.4046545028686523,tensor(0.0038021405)
209000,11400,285000,0.04512457568198443,0.04558622006326914,0.044949132539331915,0.028317623,-2.4046545028686523,tensor(0.0019948953)
220000,12000,300000,0.04232710562646389,0.04254946600645781,0.04197582762688398,0.02984202,-2.4046545028686523,tensor(0.0020274064)
231000,12600,315000,0.04298631902784109,0.04322914037853479,0.04281300702691078,0.0311659,-2.4046545028686523,tensor(0.0026857455)
242000,13200,330000,0.04307395670562983,0.04313227530568838,0.042639081701636314,0.030809462,-2.4046545028686523,tensor(0.0025974279)
253000,13800,345000,0.042052168808877466,0.04228788252919912,0.041904477596282956,0.035724908,-2.4046545028686523,tensor(0.0037726052)
264000,14400,360000,0.045112417563796046,0.045549557618796824,0.04489348319917917,0.028335512,-2.4046545028686523,tensor(0.0020085271)
275000,15000,375000,0.04230981111526489,0.04251459095627069,0.04192124465852976,0.02980609,-2.4046545028686523,tensor(0.0020215404)
286000,15600,390000,0.04296845942735672,0.043191674388945105,0.04276033566892147,0.031159282,-2.4046545028686523,tensor(0.0026833415)
297000,16200,405000,0.043064655140042304,0.04310906555503607,0.0425992600619793,0.030850373,-2.4046545028686523,tensor(0.0026205920)
308000,16800,420000,0.04203688494861126,0.04226401299238205,0.04186328125,0.035660196,-2.4046545028686523,tensor(0.0037572314)
319000,17400,435000,0.04510756872594356,0.045527489446103575,0.04485628791153431,0.028348524,-2.4046545028686523,tensor(0.0020176058)
330000,18000,450000,0.04230437502264976,0.042496822737157346,0.041887906834483145,0.029790606,-2.4046545028686523,tensor(0.0020187786)
341000,18600,465000,0.042955867052078246,0.043164735548198226,0.042721495278179644,0.031161156,-2.4046545028686523,tensor(0.0026830267)
