samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.3279715061187744,0.3272538384795189,0.32524514412879946,,,
11000,600,15000,0.05119595780968666,0.05189764354377985,0.05167107083648443,0.18153037,-2.9703805446624756,tensor(0.0065048933)
22000,1200,30000,0.04637289326637983,0.04745093069970608,0.046951187044382094,0.14169061,-3.0660910606384277,tensor(0.0073860078)
33000,1800,45000,0.04337730631232262,0.04426872242242098,0.04397715893387794,0.13739921,-2.704110622406006,tensor(0.0064990642)
44000,2400,60000,0.042584073431789875,0.04349007945507765,0.04311381401121616,0.15802763,-3.3831262588500977,tensor(0.0062794709)
55000,3000,75000,0.04194339271634817,0.0424802440777421,0.04212699241936207,0.14404674,-3.0062179565429688,tensor(0.0059440662)
66000,3600,90000,0.04201812267303467,0.04271894089877606,0.04238325930386782,0.16463216,-3.0062179565429688,tensor(0.0058402615)
77000,4200,105000,0.04107005015015602,0.041898734234273434,0.04151037276536226,0.13842382,-3.0062179565429688,tensor(0.0044150902)
88000,4800,120000,0.041360551863908766,0.04213632818311453,0.04167755651473999,0.13306971,-3.0062179565429688,tensor(0.0060998648)
99000,5400,135000,0.04035005997866392,0.04136017750948667,0.04090291995555163,0.15218501,-3.0062179565429688,tensor(0.0059476355)
110000,6000,150000,0.04070868082344532,0.04137943733483553,0.04087260880321264,0.14499572,-3.0062179565429688,tensor(0.0045050387)
121000,6600,165000,0.04108979500830173,0.041688007079064844,0.04129662919789553,0.15760264,-3.0062179565429688,tensor(0.0057019265)
132000,7200,180000,0.040260186232626435,0.04099135238677263,0.040564682848751546,0.13285272,-3.0062179565429688,tensor(0.0041604182)
143000,7800,195000,0.040707991570234296,0.04140074152499437,0.04090525626391173,0.13283382,-3.0062179565429688,tensor(0.0059100678)
154000,8400,210000,0.03985671712085605,0.04080523058772087,0.04030971752852201,0.15228215,-3.0062179565429688,tensor(0.0058202459)
165000,9000,225000,0.04029992215335369,0.04090609982609749,0.040371177330613135,0.14399257,-3.0062179565429688,tensor(0.0044146059)
176000,9600,240000,0.040832880958914755,0.041383283026516435,0.040956212893128396,0.15517841,-3.0062179565429688,tensor(0.0057032448)
187000,10200,255000,0.039972772933542726,0.04065030448138714,0.04019587222486734,0.12984574,-3.0062179565429688,tensor(0.0040552258)
198000,10800,270000,0.040450803190469745,0.04109464678913355,0.040570768497884276,0.13309418,-3.0062179565429688,tensor(0.0058150399)
209000,11400,285000,0.03965901905670762,0.04056935351341963,0.04004617311805487,0.15171304,-3.0062179565429688,tensor(0.0057607461)
220000,12000,300000,0.040123878717422484,0.04068753130733967,0.04013053084909916,0.14380175,-3.0062179565429688,tensor(0.0043838150)
231000,12600,315000,0.04074287969619036,0.041261863596737385,0.040808179516345265,0.15423542,-3.0062179565429688,tensor(0.0057235057)
242000,13200,330000,0.039839251115918156,0.04048167012631893,0.040005658745765685,0.1281882,-3.0062179565429688,tensor(0.0039995420)
253000,13800,345000,0.04032260708510876,0.04093409474939108,0.04038748302310705,0.13330373,-3.0062179565429688,tensor(0.0057526273)
264000,14400,360000,0.039562056344002484,0.040445745550096036,0.039900995448231696,0.15117553,-3.0062179565429688,tensor(0.0057244510)
275000,15000,375000,0.040033271983265874,0.04056672457605601,0.03999141232669354,0.14382315,-3.0062179565429688,tensor(0.0043730317)
286000,15600,390000,0.04070684168487787,0.0412030840292573,0.040728055115789176,0.1538693,-3.0062179565429688,tensor(0.0057428693)
297000,16200,405000,0.03976680282503366,0.040384651459753514,0.039891001038253306,0.12724118,-3.0062179565429688,tensor(0.0039660605)
308000,16800,420000,0.04024936228990555,0.0408378841355443,0.040272571131587026,0.1334081,-3.0062179565429688,tensor(0.0057064844)
319000,17400,435000,0.039507967997342346,0.04037198912352324,0.03980966085195541,0.15075672,-3.0062179565429688,tensor(0.0056989864)
330000,18000,450000,0.03998074509203434,0.04049162097275257,0.03990080439671874,0.14390281,-3.0062179565429688,tensor(0.0043696268)
341000,18600,465000,0.04068936411291361,0.0411681417003274,0.04067533758282661,0.15370704,-3.0062179565429688,tensor(0.0057566473)
352000,19200,480000,0.039723109286278487,0.040322887152433394,0.03981441593915224,0.12667938,-3.0062179565429688,tensor(0.0039441246)
363000,19800,495000,0.040203516967594624,0.040774867981672284,0.04019385754317045,0.13343184,-3.0062179565429688,tensor(0.0056699221)
374000,20400,510000,0.03947494940832257,0.04032388035207987,0.03974681334942579,0.15043925,-3.0062179565429688,tensor(0.0056797517)
385000,21000,525000,0.03994769338518381,0.040441003162413836,0.03983688807114959,0.14399439,-3.0062179565429688,tensor(0.0043689990)
396000,21600,540000,0.04067832823842764,0.041143146976828575,0.04063519556820393,0.15360382,-3.0062179565429688,tensor(0.0057647605)
407000,22200,555000,0.03969472305849195,0.04028066731989384,0.03975950702279806,0.12633061,-3.0062179565429688,tensor(0.0039287992)
418000,22800,570000,0.040172925293445585,0.040730930864810944,0.04013651514053345,0.13340382,-3.0062179565429688,tensor(0.0056396667)
429000,23400,585000,0.03945344971492887,0.040290462113916875,0.03970076981931925,0.15019694,-3.0062179565429688,tensor(0.0056647067)
440000,24000,600000,0.03992568824440241,0.04040489982813597,0.03978924011439085,0.14408284,-3.0062179565429688,tensor(0.0043693651)
451000,24600,615000,0.04066960737109184,0.04112293627113104,0.04060187424719334,0.15351142,-3.0062179565429688,tensor(0.0057685836)
