samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.3207984399795532,0.319109865128994,0.31901623249053956,1.9300957,"tensor(1., device='cuda:0')",
11000,300,12000,0.051365742608904835,0.05259512521326542,0.05234173224121332,0.03187068,"tensor(0.5613546968, device='cuda:0')","tensor(0.0001949354, device='cuda:0')"
22000,600,24000,0.046757504157721994,0.0476005007699132,0.04729713886976242,0.029314715,"tensor(0.0506820530, device='cuda:0')","tensor(0.0001115009, device='cuda:0')"
33000,900,36000,0.044620888009667396,0.04511227246373892,0.04501059623807669,0.035665642,"tensor(0.1880027056, device='cuda:0')","tensor(0.0002942534, device='cuda:0')"
44000,1200,48000,0.04306718796491623,0.04391385074704886,0.043555070862174035,0.031528976,"tensor(0.0483161546, device='cuda:0')","tensor(0.0002849247, device='cuda:0')"
55000,1500,60000,0.04238405242562294,0.04282657407224178,0.04255275372415781,0.025674868,"tensor(0.0628766492, device='cuda:0')","tensor(1.8881553842e-05, device='cuda:0')"
66000,1800,72000,0.042200605422258376,0.04277289632707834,0.042354209676384924,0.026409822,"tensor(0.7420545816, device='cuda:0')","tensor(5.1344060921e-05, device='cuda:0')"
77000,2100,84000,0.04371192567050457,0.044048908427357675,0.04370111478120089,0.03864743,"tensor(0.7420545816, device='cuda:0')","tensor(0.0004938030, device='cuda:0')"
88000,2400,96000,0.04106549106538296,0.04163014315068722,0.04130722489953041,0.028648537,"tensor(0.7420545816, device='cuda:0')","tensor(0.0001298376, device='cuda:0')"
99000,2700,108000,0.04214686132967472,0.04248224645853042,0.04213699028640985,0.028190041,"tensor(0.7420545816, device='cuda:0')","tensor(0.0001639274, device='cuda:0')"
110000,3000,120000,0.041234337724745274,0.041930549554526804,0.041432428613305095,0.034501553,"tensor(0.7420545816, device='cuda:0')","tensor(0.0004309551, device='cuda:0')"
121000,3300,132000,0.041629006378352644,0.042180997394025324,0.041811955086886884,0.026760511,"tensor(0.7420545816, device='cuda:0')","tensor(5.2635587053e-06, device='cuda:0')"
132000,3600,144000,0.04171708386391401,0.04204579826444387,0.041670836180448534,0.027912777,"tensor(0.7420545816, device='cuda:0')","tensor(3.1084651710e-05, device='cuda:0')"
143000,3900,156000,0.04014472357928753,0.04095024537295103,0.04056335502117872,0.024829734,"tensor(0.7420545816, device='cuda:0')","tensor(5.9142985265e-06, device='cuda:0')"
154000,4200,168000,0.04084796916693449,0.041372584477066994,0.040985885329544544,0.03205962,"tensor(0.7420545816, device='cuda:0')","tensor(0.0003091072, device='cuda:0')"
165000,4500,180000,0.041097847782075404,0.041215237081050876,0.04095347698032856,0.025715388,"tensor(0.7420545816, device='cuda:0')","tensor(8.3814986283e-05, device='cuda:0')"
176000,4800,192000,0.04114752620458603,0.041665418222546574,0.04124117448925972,0.026954172,"tensor(0.7420545816, device='cuda:0')","tensor(5.2174505072e-06, device='cuda:0')"
187000,5100,204000,0.0414678281545639,0.04176236968487501,0.04134110648930073,0.027433915,"tensor(0.7420545816, device='cuda:0')","tensor(1.9108256311e-05, device='cuda:0')"
