samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.3207984399795532,0.319109865128994,0.31901623249053956,1.9300957,"tensor(1., device='cuda:0')",
11000,300,12000,0.06366651311516762,0.06504510778933764,0.06517525125294923,0.049945824,"tensor(0.5613546968, device='cuda:0')","tensor(0.0002678847, device='cuda:0')"
22000,600,24000,0.052875242233276366,0.05425015889108181,0.05399455094337463,0.034707434,"tensor(0.0506820530, device='cuda:0')","tensor(0.0001282617, device='cuda:0')"
33000,900,36000,0.048928771167993546,0.0499881624802947,0.04984323412925005,0.03757056,"tensor(0.1880027056, device='cuda:0')","tensor(9.5511604741e-05, device='cuda:0')"
44000,1200,48000,0.04637359537184239,0.04764873553067446,0.04735562388598919,0.02761487,"tensor(0.0483161546, device='cuda:0')","tensor(9.0814392024e-05, device='cuda:0')"
55000,1500,60000,0.04539381954818964,0.046297454833984376,0.046022492930293084,0.030521657,"tensor(0.0628766492, device='cuda:0')","tensor(8.0900863395e-05, device='cuda:0')"
66000,1800,72000,0.04476284042000771,0.0457591051235795,0.04538327123969793,0.039505478,"tensor(0.7420545816, device='cuda:0')","tensor(6.7800268880e-05, device='cuda:0')"
77000,2100,84000,0.04462660729885101,0.04545657280832529,0.04511462943255901,0.02725722,"tensor(0.7420545816, device='cuda:0')","tensor(8.4913808678e-05, device='cuda:0')"
88000,2400,96000,0.04279920868575573,0.04358132116496563,0.04328335688263178,0.030013712,"tensor(0.7420545816, device='cuda:0')","tensor(6.4244057285e-05, device='cuda:0')"
99000,2700,108000,0.04267652455717325,0.043367605097591876,0.04309104274213314,0.02795432,"tensor(0.7420545816, device='cuda:0')","tensor(6.7065891926e-05, device='cuda:0')"
110000,3000,120000,0.04194090761244297,0.042731680423021313,0.04243001906573773,0.027588442,"tensor(0.7420545816, device='cuda:0')","tensor(5.5564774812e-05, device='cuda:0')"
121000,3300,132000,0.04156549915671349,0.042420412488281725,0.04209434735774994,0.032547835,"tensor(0.7420545816, device='cuda:0')","tensor(6.8737972470e-05, device='cuda:0')"
132000,3600,144000,0.04147834725677967,0.042086566314101216,0.041781266652047636,0.033156857,"tensor(0.7420545816, device='cuda:0')","tensor(6.1946208007e-05, device='cuda:0')"
143000,3900,156000,0.041243753768503665,0.04214994724839926,0.041753610096871854,0.02595775,"tensor(0.7420545816, device='cuda:0')","tensor(8.5314146418e-05, device='cuda:0')"
154000,4200,168000,0.04146658636629581,0.04206252560019493,0.041748119853436946,0.026159989,"tensor(0.7420545816, device='cuda:0')","tensor(7.2150833148e-05, device='cuda:0')"
165000,4500,180000,0.041186004243791104,0.0417134065553546,0.041356090024113654,0.026822204,"tensor(0.7420545816, device='cuda:0')","tensor(6.4513165853e-05, device='cuda:0')"
176000,4800,192000,0.040560412518680096,0.04129471946507692,0.040959867365658285,0.03237347,"tensor(0.7420545816, device='cuda:0')","tensor(6.5425432695e-05, device='cuda:0')"
187000,5100,204000,0.04058306530117989,0.04110637776553631,0.040790582485496996,0.032874726,"tensor(0.7420545816, device='cuda:0')","tensor(5.8519835875e-05, device='cuda:0')"
198000,5400,216000,0.04048372052609921,0.04132110618054867,0.04090749675780535,0.025390316,"tensor(0.7420545816, device='cuda:0')","tensor(8.3207647549e-05, device='cuda:0')"
209000,5700,228000,0.040784562304615975,0.041328972391784194,0.04099665895104408,0.025525697,"tensor(0.7420545816, device='cuda:0')","tensor(6.9805842941e-05, device='cuda:0')"
220000,6000,240000,0.04056450858712196,0.04103569079190492,0.0406626997590065,0.0262954,"tensor(0.7420545816, device='cuda:0')","tensor(6.3306695665e-05, device='cuda:0')"
231000,6300,252000,0.04002848163247109,0.040706043131649494,0.040353964202106,0.032165337,"tensor(0.7420545816, device='cuda:0')","tensor(6.3961189881e-05, device='cuda:0')"
242000,6600,264000,0.04009831126779318,0.040572384372353554,0.040241212718188764,0.032724503,"tensor(0.7420545816, device='cuda:0')","tensor(5.6881595810e-05, device='cuda:0')"
253000,6900,276000,0.0400532091781497,0.04085017655044794,0.040417677000164985,0.025057387,"tensor(0.7420545816, device='cuda:0')","tensor(8.1813828729e-05, device='cuda:0')"
264000,7200,288000,0.040382908657193184,0.040897027887403965,0.040544896952807906,0.025125358,"tensor(0.7420545816, device='cuda:0')","tensor(6.8690766057e-05, device='cuda:0')"
275000,7500,300000,0.04019279144704342,0.04062922623008489,0.04023832467198372,0.026002767,"tensor(0.7420545816, device='cuda:0')","tensor(6.2692939537e-05, device='cuda:0')"
286000,7800,312000,0.03970981456339359,0.04034905880689621,0.03997924200445414,0.03199206,"tensor(0.7420545816, device='cuda:0')","tensor(6.3286039222e-05, device='cuda:0')"
297000,8100,324000,0.03980314280837774,0.040243231430649756,0.039896124120801686,0.03260941,"tensor(0.7420545816, device='cuda:0')","tensor(5.5979129684e-05, device='cuda:0')"
308000,8400,336000,0.03978343660011888,0.04055234611034393,0.040101932268589734,0.024846299,"tensor(0.7420545816, device='cuda:0')","tensor(8.0820202129e-05, device='cuda:0')"
319000,8700,348000,0.04012460425496101,0.040617765188217164,0.04024674703925848,0.024854504,"tensor(0.7420545816, device='cuda:0')","tensor(6.8092318543e-05, device='cuda:0')"
330000,9000,360000,0.03995405051857233,0.040366002060472965,0.03995763746649027,0.025828151,"tensor(0.7420545816, device='cuda:0')","tensor(6.2301282014e-05, device='cuda:0')"
341000,9300,372000,0.039504720643162725,0.040115455277264116,0.0397288005053997,0.031844493,"tensor(0.7420545816, device='cuda:0')","tensor(6.2977102061e-05, device='cuda:0')"
352000,9600,384000,0.039610604848712684,0.04002529129385948,0.039662942737340924,0.032509096,"tensor(0.7420545816, device='cuda:0')","tensor(5.5442669691e-05, device='cuda:0')"
363000,9900,396000,0.03960321055725217,0.0403511156514287,0.039884280383586886,0.024705375,"tensor(0.7420545816, device='cuda:0')","tensor(8.0089324911e-05, device='cuda:0')"
374000,10200,408000,0.03994844928383827,0.040425922982394696,0.040037535656243566,0.024663845,"tensor(0.7420545816, device='cuda:0')","tensor(6.7740998929e-05, device='cuda:0')"
385000,10500,420000,0.039792697206139566,0.04018608596175909,0.03976143512129784,0.02572021,"tensor(0.7420545816, device='cuda:0')","tensor(6.2030827394e-05, device='cuda:0')"
396000,10800,432000,0.03936582066118717,0.039954215586185456,0.0395519395917654,0.031718083,"tensor(0.7420545816, device='cuda:0')","tensor(6.2849147071e-05, device='cuda:0')"
407000,11100,444000,0.03947876183316112,0.03987360924482346,0.03949700253456831,0.03241854,"tensor(0.7420545816, device='cuda:0')","tensor(5.5110322137e-05, device='cuda:0')"
418000,11400,456000,0.03947711057960987,0.04020865213125944,0.039726829312741754,0.024607489,"tensor(0.7420545816, device='cuda:0')","tensor(7.9538869613e-05, device='cuda:0')"
429000,11700,468000,0.0398230055347085,0.04028824966400862,0.03988399991393089,0.024525072,"tensor(0.7420545816, device='cuda:0')","tensor(6.7519584263e-05, device='cuda:0')"
440000,12000,480000,0.039679345078766345,0.04005802884697914,0.03961838233470917,0.02565266,"tensor(0.7420545816, device='cuda:0')","tensor(6.1835766246e-05, device='cuda:0')"
451000,12300,492000,0.03926800783723593,0.039838355593383314,0.039421665139496326,0.031609833,"tensor(0.7420545816, device='cuda:0')","tensor(6.2813618570e-05, device='cuda:0')"
462000,12600,504000,0.039385074209421875,0.03976399403065443,0.0393741304948926,0.032335937,"tensor(0.7420545816, device='cuda:0')","tensor(5.4900425312e-05, device='cuda:0')"
473000,12900,516000,0.039385689683258535,0.040104162208735944,0.039608621418476105,0.024537131,"tensor(0.7420545816, device='cuda:0')","tensor(7.9114855907e-05, device='cuda:0')"
484000,13200,528000,0.03973060987889767,0.04018608644604683,0.03976733309775591,0.0244209,"tensor(0.7420545816, device='cuda:0')","tensor(6.7372078774e-05, device='cuda:0')"
495000,13500,540000,0.039597227703779936,0.03996392223984003,0.03951050252094865,0.025610555,"tensor(0.7420545816, device='cuda:0')","tensor(6.1690639996e-05, device='cuda:0')"
506000,13800,552000,0.03919694190844893,0.03975240126252175,0.03932241468504071,0.031517208,"tensor(0.7420545816, device='cuda:0')","tensor(6.2825245550e-05, device='cuda:0')"
517000,14100,564000,0.039316502790898086,0.039682377316057685,0.039280202642083165,0.0322604,"tensor(0.7420545816, device='cuda:0')","tensor(5.4767340771e-05, device='cuda:0')"
528000,14400,576000,0.03931749414652586,0.04002534214407206,0.03951719380915165,0.024484998,"tensor(0.7420545816, device='cuda:0')","tensor(7.8781122284e-05, device='cuda:0')"
539000,14700,588000,0.0396606757119298,0.04010821301490068,0.03967616032809019,0.024340386,"tensor(0.7420545816, device='cuda:0')","tensor(6.7269756983e-05, device='cuda:0')"
550000,15000,600000,0.03953622177243233,0.039892930760979654,0.0394268521592021,0.025584863,"tensor(0.7420545816, device='cuda:0')","tensor(6.1579718022e-05, device='cuda:0')"
561000,15300,612000,0.03914395792409778,0.039686935879290106,0.03924466999992728,0.031437952,"tensor(0.7420545816, device='cuda:0')","tensor(6.2860235630e-05, device='cuda:0')"
572000,15600,624000,0.039265077859163285,0.03962009266018868,0.03920648115500808,0.032191377,"tensor(0.7420545816, device='cuda:0')","tensor(5.4684074712e-05, device='cuda:0')"
583000,15900,636000,0.0392654163017869,0.03996449436992407,0.03944471712037921,0.024445275,"tensor(0.7420545816, device='cuda:0')","tensor(7.8513134213e-05, device='cuda:0')"
594000,16200,648000,0.03960653403773904,0.04004752393811941,0.039603235267102715,0.024276417,"tensor(0.7420545816, device='cuda:0')","tensor(6.7196866439e-05, device='cuda:0')"
605000,16500,660000,0.03948993684723973,0.03983818538486958,0.039360450360924004,0.02556984,"tensor(0.7420545816, device='cuda:0')","tensor(6.1493054091e-05, device='cuda:0')"
616000,16800,672000,0.03910358551889658,0.039635959677398205,0.039182333528995514,0.03137002,"tensor(0.7420545816, device='cuda:0')","tensor(6.2905710365e-05, device='cuda:0')"
627000,17100,684000,0.0392257141135633,0.039571559578180315,0.03914731522649527,0.03212846,"tensor(0.7420545816, device='cuda:0')","tensor(5.4633710533e-05, device='cuda:0')"
638000,17400,696000,0.03922485614195466,0.03991659305989742,0.03938605574145913,0.024414232,"tensor(0.7420545816, device='cuda:0')","tensor(7.8294004197e-05, device='cuda:0')"
649000,17700,708000,0.03956381326541305,0.03999932903796435,0.0395437508225441,0.024224289,"tensor(0.7420545816, device='cuda:0')","tensor(6.7144261266e-05, device='cuda:0')"
660000,18000,720000,0.039454192705452445,0.03979516465216875,0.03930667306110263,0.025561757,"tensor(0.7420545816, device='cuda:0')","tensor(6.1423932493e-05, device='cuda:0')"
671000,18300,732000,0.03907224774360657,0.039595503583550455,0.039131348982453344,0.031311657,"tensor(0.7420545816, device='cuda:0')","tensor(6.2954619352e-05, device='cuda:0')"
