samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.3207984399795532,0.319109865128994,0.31901623249053956,1.9300957,"tensor(1., device='cuda:0')",
11000,300,12000,0.06890576153993606,0.07003159999847412,0.07030722650140524,0.21267007,"tensor(0.5613546968, device='cuda:0')","tensor(0.0022671749, device='cuda:0')"
22000,600,24000,0.05699235685169697,0.058379156589508055,0.05822257078438997,0.13814904,"tensor(0.0506820530, device='cuda:0')","tensor(0.0012693879, device='cuda:0')"
33000,900,36000,0.05227704342454672,0.053556748814880845,0.0534151171669364,0.14816855,"tensor(0.1880027056, device='cuda:0')","tensor(0.0014202966, device='cuda:0')"
44000,1200,48000,0.04956818714737892,0.050926498137414455,0.05071363630145788,0.13252434,"tensor(0.0483161546, device='cuda:0')","tensor(0.0011568929, device='cuda:0')"
55000,1500,60000,0.04800234161317349,0.04910024106502533,0.04884766310453415,0.12759352,"tensor(0.0628766492, device='cuda:0')","tensor(0.0010852254, device='cuda:0')"
66000,1800,72000,0.04693383727222681,0.04788199581205845,0.04765644678473473,0.12666067,"tensor(0.0943784788, device='cuda:0')","tensor(0.0011198102, device='cuda:0')"
77000,2100,84000,0.04577553622424602,0.046853917129337785,0.04653690428286791,0.1279758,"tensor(0.0943784788, device='cuda:0')","tensor(0.0011142772, device='cuda:0')"
88000,2400,96000,0.04496769208461046,0.046014022827148435,0.04573160143196583,0.12507027,"tensor(0.0943784788, device='cuda:0')","tensor(0.0010758622, device='cuda:0')"
99000,2700,108000,0.044439005963504315,0.04543440405279398,0.04511568081378937,0.12652919,"tensor(0.0943784788, device='cuda:0')","tensor(0.0010888299, device='cuda:0')"
110000,3000,120000,0.04391016408801079,0.044860875234007835,0.04455091896653175,0.14791515,"tensor(0.0943784788, device='cuda:0')","tensor(0.0012255094, device='cuda:0')"
121000,3300,132000,0.043570854999125004,0.04442655209451914,0.04414065480232239,0.13533553,"tensor(0.0943784788, device='cuda:0')","tensor(0.0011485674, device='cuda:0')"
132000,3600,144000,0.0434159042313695,0.044137593880295756,0.04385966453701258,0.13651937,"tensor(0.0943784788, device='cuda:0')","tensor(0.0011364212, device='cuda:0')"
143000,3900,156000,0.04276161842048168,0.04360645234584808,0.04328525430709124,0.12835756,"tensor(0.0943784788, device='cuda:0')","tensor(0.0010746703, device='cuda:0')"
154000,4200,168000,0.042603181041777134,0.043458880819380284,0.043137004546821116,0.20604931,"tensor(0.0943784788, device='cuda:0')","tensor(0.0019142837, device='cuda:0')"
165000,4500,180000,0.04226573683321476,0.04306690715253353,0.04274985630810261,0.12993522,"tensor(0.0943784788, device='cuda:0')","tensor(0.0011884638, device='cuda:0')"
176000,4800,192000,0.042086283676326275,0.04284846924245358,0.042540365658700466,0.13465342,"tensor(0.0943784788, device='cuda:0')","tensor(0.0011371375, device='cuda:0')"
187000,5100,204000,0.042126500345766545,0.04275799088180065,0.04246080673485994,0.13352795,"tensor(0.0943784788, device='cuda:0')","tensor(0.0010974386, device='cuda:0')"
198000,5400,216000,0.04161634154617786,0.04236826658248902,0.04204229460656643,0.12574457,"tensor(0.0943784788, device='cuda:0')","tensor(0.0010516676, device='cuda:0')"
209000,5700,228000,0.04157622862607241,0.04235580887645483,0.04202711095660925,0.20499498,"tensor(0.0943784788, device='cuda:0')","tensor(0.0018922638, device='cuda:0')"
220000,6000,240000,0.041334782578051094,0.04206150058656931,0.041739937953650955,0.12830369,"tensor(0.0943784788, device='cuda:0')","tensor(0.0011670197, device='cuda:0')"
231000,6300,252000,0.04123490184545517,0.04193415332585573,0.041618259079754354,0.13425145,"tensor(0.0943784788, device='cuda:0')","tensor(0.0011287418, device='cuda:0')"
