samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.3207984399795532,0.319109865128994,0.31901623249053956,1.9300957,"tensor(1., device='cuda:0')",
11000,400,13000,0.05304585061967373,0.05405396156013012,0.05396972133219242,0.19345103,"tensor(0.6823427081, device='cuda:0')","tensor(0.0029086405, device='cuda:0')"
22000,800,26000,0.05032353166490793,0.0514251572266221,0.05114300817996263,0.19226888,"tensor(0.5686007142, device='cuda:0')","tensor(0.0002311647, device='cuda:0')"
33000,1200,39000,0.04538349293172359,0.04624259911477566,0.046072234705090524,0.14549702,"tensor(0.7436170578, device='cuda:0')","tensor(0.0023720337, device='cuda:0')"
44000,1600,52000,0.045544510222971436,0.04635053776204586,0.04601027875393629,0.2639223,"tensor(0.4714273512, device='cuda:0')","tensor(0.0029419775, device='cuda:0')"
55000,2000,65000,0.05104913420975208,0.050993004888296126,0.050822167731821535,0.23452683,"tensor(0.0578395873, device='cuda:0')","tensor(0.0020107536, device='cuda:0')"
66000,2400,78000,0.04234386056661606,0.04303119961172342,0.0428042915314436,0.15613395,"tensor(0.6314136386, device='cuda:0')","tensor(0.0025860700, device='cuda:0')"
77000,2800,91000,0.041880569122731685,0.04258983734995127,0.04241687708348036,0.18401651,"tensor(0.6314136386, device='cuda:0')","tensor(0.0034426136, device='cuda:0')"
88000,3200,104000,0.0417561624199152,0.042465001307427884,0.04216935682296753,0.17681333,"tensor(0.6314136386, device='cuda:0')","tensor(0.0031260175, device='cuda:0')"
99000,3600,117000,0.04172320581972599,0.04232531931251288,0.042066904298961164,0.12604079,"tensor(0.6314136386, device='cuda:0')","tensor(0.0018167143, device='cuda:0')"
110000,4000,130000,0.041549391970038416,0.04216421347111463,0.04184042205661535,0.21834604,"tensor(0.6314136386, device='cuda:0')","tensor(0.0044390205, device='cuda:0')"
121000,4400,143000,0.040807791128754614,0.04147176869213581,0.04118586786091328,0.17841567,"tensor(0.6314136386, device='cuda:0')","tensor(0.0033214476, device='cuda:0')"
132000,4800,156000,0.040960256718099115,0.041282582506537435,0.041067850910127164,0.14619532,"tensor(0.6314136386, device='cuda:0')","tensor(0.0022431507, device='cuda:0')"
143000,5200,169000,0.04095748409628868,0.041412049587816,0.04111836250126362,0.20910907,"tensor(0.6314136386, device='cuda:0')","tensor(0.0044649867, device='cuda:0')"
154000,5600,182000,0.04086987279355526,0.041360653303563595,0.04106574007868767,0.19567908,"tensor(0.6314136386, device='cuda:0')","tensor(0.0039523039, device='cuda:0')"
165000,6000,195000,0.040586787164211276,0.04113719619810581,0.040809171572327614,0.15719076,"tensor(0.6314136386, device='cuda:0')","tensor(0.0028595682, device='cuda:0')"
176000,6400,208000,0.04023378659039736,0.04083859980106354,0.04052297336608172,0.17844753,"tensor(0.6314136386, device='cuda:0')","tensor(0.0033024310, device='cuda:0')"
187000,6800,221000,0.04049107693135738,0.04076547876000405,0.04051558323949576,0.14634007,"tensor(0.6314136386, device='cuda:0')","tensor(0.0022470094, device='cuda:0')"
198000,7200,234000,0.04057606846094131,0.040988279525190595,0.04066266791895032,0.20911418,"tensor(0.6314136386, device='cuda:0')","tensor(0.0044597583, device='cuda:0')"
209000,7600,247000,0.04057413529604673,0.04103115439414978,0.04069970710203052,0.20174614,"tensor(0.6314136386, device='cuda:0')","tensor(0.0041137473, device='cuda:0')"
220000,8000,260000,0.040332092195749285,0.04084352117031813,0.040481648348271844,0.15669979,"tensor(0.6314136386, device='cuda:0')","tensor(0.0028402726, device='cuda:0')"
231000,8400,273000,0.03999234467744827,0.04056430511176586,0.04021979186683893,0.17950284,"tensor(0.6314136386, device='cuda:0')","tensor(0.0033205647, device='cuda:0')"
242000,8800,286000,0.040274732783436774,0.04051731824874878,0.04023700851947069,0.14600976,"tensor(0.6314136386, device='cuda:0')","tensor(0.0022420490, device='cuda:0')"
253000,9200,299000,0.04039208594709635,0.04077566945925355,0.04042402657493949,0.2091195,"tensor(0.6314136386, device='cuda:0')","tensor(0.0044564288, device='cuda:0')"
264000,9600,312000,0.040427649058401585,0.040863220915198326,0.040501403618603944,0.20574579,"tensor(0.6314136386, device='cuda:0')","tensor(0.0042188349, device='cuda:0')"
275000,10000,325000,0.040195827037096024,0.04068213891237974,0.040292022448033094,0.1564391,"tensor(0.6314136386, device='cuda:0')","tensor(0.0028308616, device='cuda:0')"
286000,10400,338000,0.039865300953388215,0.040415977947413924,0.04004735940694809,0.18048583,"tensor(0.6314136386, device='cuda:0')","tensor(0.0033409302, device='cuda:0')"
297000,10800,351000,0.040157558806240556,0.040377874411642554,0.04007238002866507,0.14575884,"tensor(0.6314136386, device='cuda:0')","tensor(0.0022394140, device='cuda:0')"
308000,11200,364000,0.040291005074977876,0.04065491570159793,0.04028112642094493,0.2091816,"tensor(0.6314136386, device='cuda:0')","tensor(0.0044556437, device='cuda:0')"
319000,11600,377000,0.04034499920904636,0.040766100138425826,0.04037900897487998,0.20823534,"tensor(0.6314136386, device='cuda:0')","tensor(0.0042836755, device='cuda:0')"
330000,12000,390000,0.04011603482067585,0.0405852297320962,0.04017113051563501,0.1563295,"tensor(0.6314136386, device='cuda:0')","tensor(0.0028273982, device='cuda:0')"
341000,12400,403000,0.03979214772582054,0.04032814767211676,0.03993893325328827,0.18126142,"tensor(0.6314136386, device='cuda:0')","tensor(0.0033580046, device='cuda:0')"
352000,12800,416000,0.04008911445736885,0.04029299296438694,0.039966151788830756,0.14562443,"tensor(0.6314136386, device='cuda:0')","tensor(0.0022395481, device='cuda:0')"
363000,13200,429000,0.04023188561201096,0.040581679344177245,0.040188585642725226,0.20932801,"tensor(0.6314136386, device='cuda:0')","tensor(0.0044580298, device='cuda:0')"
374000,13600,442000,0.040294763930141926,0.040705579556524756,0.04029697873070836,0.20984916,"tensor(0.6314136386, device='cuda:0')","tensor(0.0043253866, device='cuda:0')"
385000,14000,455000,0.040066274255514144,0.04052332650870085,0.04008847400173545,0.15630147,"tensor(0.6314136386, device='cuda:0')","tensor(0.0028270134, device='cuda:0')"
396000,14400,468000,0.03974729649722576,0.040272662304341796,0.03986556880921126,0.1818458,"tensor(0.6314136386, device='cuda:0')","tensor(0.0033712827, device='cuda:0')"
407000,14800,481000,0.04004718162119389,0.040238367654383184,0.039893151883035896,0.1455806,"tensor(0.6314136386, device='cuda:0')","tensor(0.0022416606, device='cuda:0')"
418000,15200,494000,0.04019599702209234,0.040535206869244576,0.04012511474266648,0.20953646,"tensor(0.6314136386, device='cuda:0')","tensor(0.0044627148, device='cuda:0')"
429000,15600,507000,0.04026273399591446,0.04066585496068001,0.040238659843802455,0.21096885,"tensor(0.6314136386, device='cuda:0')","tensor(0.0043541831, device='cuda:0')"
440000,16000,520000,0.040033795349299905,0.04048190183937549,0.04002888623252511,0.15631507,"tensor(0.6314136386, device='cuda:0')","tensor(0.0028281307, device='cuda:0')"
451000,16400,533000,0.03971849393099546,0.04023577980697155,0.03981302013620734,0.18227996,"tensor(0.6314136386, device='cuda:0')","tensor(0.0033813226, device='cuda:0')"
462000,16800,546000,0.04002075023949146,0.04020172540098429,0.03984053155779838,0.14559838,"tensor(0.6314136386, device='cuda:0')","tensor(0.0022450006, device='cuda:0')"
473000,17200,559000,0.040173786170780657,0.040504714157432314,0.040079572979360815,0.2097812,"tensor(0.6314136386, device='cuda:0')","tensor(0.0044687847, device='cuda:0')"
484000,17600,572000,0.04024166781455278,0.04063873432576656,0.040195287618786095,0.21180177,"tensor(0.6314136386, device='cuda:0')","tensor(0.0043755881, device='cuda:0')"
495000,18000,585000,0.04001188542693854,0.04045314453542233,0.03998411248624325,0.1563493,"tensor(0.6314136386, device='cuda:0')","tensor(0.0028299391, device='cuda:0')"
506000,18400,598000,0.039699357002973557,0.04021022114902735,0.03977363898232579,0.18260196,"tensor(0.6314136386, device='cuda:0')","tensor(0.0033888293, device='cuda:0')"
517000,18800,611000,0.04000390488654375,0.04017635989934206,0.039801163576543334,0.14565682,"tensor(0.6314136386, device='cuda:0')","tensor(0.0022490567, device='cuda:0')"
528000,19200,624000,0.04015998680144548,0.04048416888341308,0.04004565043374896,0.21004134,"tensor(0.6314136386, device='cuda:0')","tensor(0.0044755270, device='cuda:0')"
539000,19600,637000,0.040227557457983495,0.04061963230371475,0.040161860685795546,0.21246077,"tensor(0.6314136386, device='cuda:0')","tensor(0.0043925922, device='cuda:0')"
550000,20000,650000,0.039996751621365546,0.040432568527758124,0.03994932692497968,0.156393,"tensor(0.6314136386, device='cuda:0')","tensor(0.0028320162, device='cuda:0')"
561000,20400,663000,0.03968633722513914,0.040191882215440275,0.03974303482845425,0.18284123,"tensor(0.6314136386, device='cuda:0')","tensor(0.0033943986, device='cuda:0')"
572000,20800,676000,0.03999324735254049,0.04015837486833334,0.039770821638405326,0.14574167,"tensor(0.6314136386, device='cuda:0')","tensor(0.0022534980, device='cuda:0')"
583000,21200,689000,0.040151527784764766,0.04047001769766211,0.040019560147076846,0.21030189,"tensor(0.6314136386, device='cuda:0')","tensor(0.0044824369, device='cuda:0')"
594000,21600,702000,0.04021803088486195,0.04060582224279642,0.04013533561676741,0.21300837,"tensor(0.6314136386, device='cuda:0')","tensor(0.0044068359, device='cuda:0')"
605000,22000,715000,0.03998612429946661,0.04041746165603399,0.03992154697701335,0.15644011,"tensor(0.6314136386, device='cuda:0')","tensor(0.0028341473, device='cuda:0')"
616000,22400,728000,0.03967735040932894,0.0401783312484622,0.03971854092553258,0.18301961,"tensor(0.6314136386, device='cuda:0')","tensor(0.0033985069, device='cuda:0')"
627000,22800,741000,0.03998671855777502,0.040145386904478074,0.0397468618042767,0.14584331,"tensor(0.6314136386, device='cuda:0')","tensor(0.0022581171, device='cuda:0')"
638000,23200,754000,0.04014653887599707,0.04046008195728064,0.039998923994600775,0.21055341,"tensor(0.6314136386, device='cuda:0')","tensor(0.0044891993, device='cuda:0')"
649000,23600,767000,0.040211624577641485,0.040595621578395365,0.04011377650126815,0.21348092,"tensor(0.6314136386, device='cuda:0')","tensor(0.0044192551, device='cuda:0')"
660000,24000,780000,0.039978577718138696,0.0404061147198081,0.03989883959293365,0.15648717,"tensor(0.6314136386, device='cuda:0')","tensor(0.0028362155, device='cuda:0')"
671000,24400,793000,0.03967111334204674,0.04016806483268738,0.03969846215099096,0.18315275,"tensor(0.6314136386, device='cuda:0')","tensor(0.0034015060, device='cuda:0')"
682000,24800,806000,0.03998301148414612,0.04013588164001703,0.039727555748075245,0.1459551,"tensor(0.6314136386, device='cuda:0')","tensor(0.0022627714, device='cuda:0')"
693000,25200,819000,0.04014384277164936,0.04045298537239432,0.03998219616338611,0.21079032,"tensor(0.6314136386, device='cuda:0')","tensor(0.0044956249, device='cuda:0')"
704000,25600,832000,0.040207388140261174,0.04058794099837541,0.040095890816301105,0.21389939,"tensor(0.6314136386, device='cuda:0')","tensor(0.0044303825, device='cuda:0')"
715000,26000,845000,0.03997317962348461,0.04039741151034832,0.039879901994019744,0.15653239,"tensor(0.6314136386, device='cuda:0')","tensor(0.0028381650, device='cuda:0')"
726000,26400,858000,0.03966680381447077,0.040160119645297525,0.03968167349696159,0.18325262,"tensor(0.6314136386, device='cuda:0')","tensor(0.0034036734, device='cuda:0')"
737000,26800,871000,0.03998126659542322,0.04012885887175798,0.03971172920614481,0.14607249,"tensor(0.6314136386, device='cuda:0')","tensor(0.0022673733, device='cuda:0')"
748000,27200,884000,0.040142676644027236,0.0404478326998651,0.039968334689736366,0.21100996,"tensor(0.6314136386, device='cuda:0')","tensor(0.0045016170, device='cuda:0')"
759000,27600,897000,0.040204692631959915,0.04058206424117088,0.04008079645782709,0.21427715,"tensor(0.6314136386, device='cuda:0')","tensor(0.0044405446, device='cuda:0')"
