samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.02303236663341522,0.023209216270281996,0.023052386788246594,,,
20000,528,52800,0.023038406562805175,0.023225684545868045,0.023055988879495167,0.01858071,"tensor(1.2682683064e-06, device='cuda:0')","tensor(0.0002152979, device='cuda:0')"
40000,999,99900,0.02302852985858917,0.02320785596269425,0.023048881189401887,0.02806489,"tensor(2.6152652026e-06, device='cuda:0')","tensor(0.0004171582, device='cuda:0')"
60000,1599,159900,0.020838332986831666,0.020940184879280094,0.020924659633192438,0.11139278,"tensor(0.2948474288, device='cuda:0')","tensor(0.0013827481, device='cuda:0')"
80000,2199,219900,0.019974355709552766,0.02010939839019574,0.020052495176356232,0.2324165,"tensor(2.7554415283e-05, device='cuda:0')","tensor(0.0080589959, device='cuda:0')"
83400,2301,230100,0.02000488203763962,0.020109878989298165,0.0200600395799799,0.1740464,"tensor(2.9800559787e-05, device='cuda:0')","tensor(0.0028851761, device='cuda:0')"
103400,2901,290100,0.018852783942222597,0.018974190897468986,0.01890257287173083,0.12502015,"tensor(5.3618376114e-05, device='cuda:0')","tensor(0.0003349413, device='cuda:0')"
123400,3501,350100,0.018212752735614776,0.01844873005233281,0.018372965718473834,0.16887848,"tensor(0.7919941545, device='cuda:0')","tensor(0.0025588067, device='cuda:0')"
143400,4101,410100,0.01778462448120117,0.01803442006892714,0.017931810315947476,0.25231382,"tensor(0.8508708477, device='cuda:0')","tensor(0.0012408294, device='cuda:0')"
163400,4701,470100,0.01706858035326004,0.01718286741887004,0.01711069034647737,0.22017984,"tensor(1.9011802578e-05, device='cuda:0')","tensor(0.0077716708, device='cuda:0')"
166800,4803,480300,0.01737799929380417,0.017562984175781622,0.01749643969397352,0.19071113,"tensor(1., device='cuda:0')","tensor(0.0041170861, device='cuda:0')"
186800,5403,540300,0.016408727633953093,0.016617699123727694,0.016495619651388117,0.2124219,"tensor(1., device='cuda:0')","tensor(0.0008403007, device='cuda:0')"
206800,6003,600300,0.015932613694667815,0.016090224622850483,0.01598998484366375,0.20381206,"tensor(5.4354764870e-05, device='cuda:0')","tensor(0.0023234559, device='cuda:0')"
226800,6603,660300,0.015504170405864716,0.015599547171724308,0.01551029503113743,0.40553913,"tensor(2.8012294933e-05, device='cuda:0')","tensor(0.0277892165, device='cuda:0')"
246800,7203,720300,0.015049346101284028,0.015156406420210383,0.015115374092956617,0.22973533,"tensor(1., device='cuda:0')","tensor(0.0022248337, device='cuda:0')"
250200,7305,730500,0.015213202023506164,0.015375950781595859,0.015265064316064152,0.2276362,"tensor(1., device='cuda:0')","tensor(0.0022377241, device='cuda:0')"
270200,7905,790500,0.015127266991138458,0.015208662199922566,0.015142751187522419,0.2664304,"tensor(1., device='cuda:0')","tensor(0.0022245287, device='cuda:0')"
290200,8505,850500,0.014235462272167206,0.014298953668430953,0.014220371815919453,0.23675734,"tensor(1.4293457753e-05, device='cuda:0')","tensor(0.0049892380, device='cuda:0')"
310200,9105,910500,0.014065002059936523,0.014144514085922077,0.01397189682915786,0.34855428,"tensor(1.0063061382e-05, device='cuda:0')","tensor(0.0131903859, device='cuda:0')"
330200,9705,970500,0.013692063307762146,0.01376608516891311,0.013635789307196175,0.3229488,"tensor(1., device='cuda:0')","tensor(0.0072406386, device='cuda:0')"
333600,9807,980700,0.014047678029537202,0.014151028786341807,0.013961756300355139,0.23447649,"tensor(1.1890654605e-05, device='cuda:0')","tensor(0.0069645732, device='cuda:0')"
353600,10407,1040700,0.013177360820770263,0.01330450096375255,0.013044116137460678,0.27712062,"tensor(1., device='cuda:0')","tensor(0.0030729868, device='cuda:0')"
373600,11007,1100700,0.012750309133529663,0.012856796673513127,0.012526765107387532,0.34163702,"tensor(1., device='cuda:0')","tensor(0.0077846707, device='cuda:0')"
393600,11607,1160700,0.012521007001399994,0.012619661825693624,0.012274564226641976,0.44548634,"tensor(1., device='cuda:0')","tensor(0.0246862639, device='cuda:0')"
413600,12207,1220700,0.012218796187639236,0.01224946446461102,0.011954139308144825,0.3978643,"tensor(1., device='cuda:0')","tensor(0.0029660515, device='cuda:0')"
417000,12309,1230900,0.012475913310050964,0.012499137729485028,0.012156532000792683,0.2784872,"tensor(1., device='cuda:0')","tensor(0.0073807146, device='cuda:0')"
437000,12909,1290900,0.012197988384962081,0.01227925679567537,0.011815727043156433,0.30193254,"tensor(1., device='cuda:0')","tensor(0.0026978047, device='cuda:0')"
