computations_done_times_samples,losses
0,0.0
300,3.5010830288229045e-06
600,7.807102520018816e-06
900,5.0702183216344565e-06
1200,3.6598269161913777e-06
1500,2.9576958695543e-06
1800,3.4987306207767688e-06
2100,5.266881998977624e-06
2400,1.0663884495443199e-05
2700,3.2368916436098516e-08
3000,1.4752679817320313e-05
3300,-3.325361319639342e-08
3600,4.388006345834583e-06
3900,3.0935032100387616e-06
4200,9.37244749366073e-06
4500,5.077095011074562e-07
4800,-1.1998069737728656e-07
5100,5.343567295312823e-07
5400,8.132378752634395e-06
5700,3.392423877812689e-06
6000,-9.657819788344568e-08
6300,-1.4417233273888996e-07
6600,2.570717185790272e-07
6900,2.516988161005429e-06
7200,9.334272363048512e-06
7500,2.433859663142357e-06
7800,1.8553112113295356e-07
8100,-6.829602057223383e-07
8400,6.499545634142123e-06
8700,-1.2561633866425836e-06
9000,-2.4698317702132044e-07
9300,1.7177830159198493e-05
9600,2.228847188234795e-05
9900,2.473841595929116e-05
10200,1.1643693142104894e-05
10500,-1.8978204252562136e-06
10800,1.1300764981569955e-06
11100,1.2802229321096092e-07
11400,1.002250883175293e-06
11700,2.8940819447598187e-06
12000,-5.672861789207673e-07
12300,-1.7880794302982395e-06
12600,8.688788511790335e-06
12900,5.253999916021712e-06
13200,1.1354095477145165e-05
13500,-3.6512992664938793e-06
13800,-1.739557774271816e-06
14100,-5.212712039792677e-07
14400,-4.919673301628791e-06
14700,-6.346420377667528e-06
15000,-6.163820216897875e-06
15300,-3.902201569871977e-06
15600,-2.0286870494601317e-06
15900,-2.673900098670856e-06
16200,-3.474647428447497e-06
16500,-6.391398983396357e-06
16800,-5.255745236354414e-06
17100,-8.178239113476593e-06
17400,-7.407165867334697e-06
17700,-3.7504141801036894e-06
18000,-8.11281097412575e-06
18300,-4.244124738761457e-06
18600,9.407699508301448e-06
18900,2.148277962987777e-05
19200,2.416052666376345e-06
19500,-1.9144003999826964e-06
19800,2.2208032532944344e-05
20100,1.5701265510870144e-05
20400,3.6061310311197303e-06
20700,7.801082574587781e-06
21000,-5.311121640261263e-06
21300,-5.428028543974506e-06
21600,-1.7177203517348971e-06
21900,-4.981518031854648e-06
22200,-2.746732889136183e-06
22500,-6.3521683841827326e-06
22800,-3.2297093639499508e-06
23100,2.596702688606456e-05
23400,1.6131069060065784e-05
23700,-2.3242364477482624e-07
24000,-4.217019522911869e-06
24300,4.718139280157629e-06
24600,1.64956600201549e-06
24900,5.531291208171751e-06
25200,-6.911750460858457e-08
25500,-3.9766941881680395e-06
25800,-1.7260128970519872e-06
26100,-3.746775291801896e-06
26400,-3.891094365826575e-06
26700,-2.0007905732200015e-06
27000,2.2139629436424e-06
27300,1.6866886653588153e-05
27600,1.6100322682177648e-05
27900,8.315553714055568e-06
28200,-7.459088919858914e-06
28500,-7.98787732492201e-06
28800,-9.61575915425783e-06
29100,-8.291861377074383e-06
29400,-7.92191167420242e-06
29700,-7.168040610849857e-06
30000,-1.1106028978247195e-05
30300,-7.4238678280380554e-06
30600,1.8231112335342914e-06
30900,-4.877085302723572e-06
31200,-7.687674042244907e-06
31500,-8.163436177710537e-06
31800,-1.0892746104218531e-05
32100,-8.271320439234842e-06
32400,-5.741318091168068e-06
32700,-1.7162919903057627e-05
33000,-1.6734053133404814e-05
33300,-5.054129360360093e-06
33600,-1.6994254110613838e-05
33900,-1.5365951185231097e-05
34200,-2.2058091417420655e-05
34500,-1.4192456546879839e-05
34800,-2.1898185877944343e-05
35100,-1.1399546565371566e-05
35400,4.121960955671966e-06
35700,-2.2715843442711048e-05
36000,-2.3635120669496246e-05
36300,-2.4294969989568926e-05
36600,-2.1496623958228156e-05
36900,-2.263484930153936e-05
37200,-2.3198668714030646e-05
37500,-1.6762873201514594e-05
37800,-2.0088082237634808e-05
38100,-1.5376052033388987e-05
38400,-2.1611465854221024e-05
38700,-1.778339355951175e-05
39000,-1.692323166935239e-05
39300,-1.3020572623645421e-05
39600,-2.2457476006820798e-05
39900,-2.1852003555977717e-05
40200,-1.0177990588999819e-05
40500,-2.434369525872171e-05
40800,-1.8065176845993847e-05
41100,-1.8536269635660574e-05
41400,-1.6362673704861663e-05
41700,-2.109991510224063e-05
42000,-2.3296068320632912e-05
42300,1.954567778739147e-06
42600,-1.0902537724177819e-05
42900,-1.1036609066650271e-05
43200,-2.0112063793931156e-05
43500,-2.0537674572551623e-05
43800,-1.7106951418099925e-05
44100,-5.911902917432599e-06
44400,-2.3203638193081133e-05
44700,-2.1571171600953676e-05
45000,-2.3775870431563817e-05
45300,-1.6689184121787548e-05
45600,-1.5305504348361865e-05
45900,-1.4067583833821118e-05
46200,-3.3880030969157815e-05
