samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.25662934839725493,0.25658535689115525,0.2565405210852623,,,
11000,1200,21000,0.06771940518170595,0.06765941567718983,0.06750072423368693,0.024113974,"tensor(0.0001343674, device='cuda:0')","tensor(0.0009551658, device='cuda:0')"
22000,2400,42000,0.06715025246143341,0.06711058750748634,0.06694754016399383,0.024089282,"tensor(1.1518573956e-05, device='cuda:0')","tensor(0.0009112129, device='cuda:0')"
33000,3600,63000,0.06331036053597927,0.0633091925829649,0.06322499552369118,0.025922177,"tensor(0.0197145306, device='cuda:0')","tensor(0.0007347589, device='cuda:0')"
44000,4800,84000,0.06138947103172541,0.061385590359568594,0.06133628672361374,0.031792916,"tensor(7.0943984610e-05, device='cuda:0')","tensor(0.0008009202, device='cuda:0')"
55000,6000,105000,0.06068764589726925,0.060769364163279535,0.060766392834484574,0.034155123,"tensor(9.4685005024e-05, device='cuda:0')","tensor(0.0008382836, device='cuda:0')"
66000,7200,126000,0.06060830745846033,0.06066441126167774,0.06066795022040605,0.03779616,"tensor(0.0648811981, device='cuda:0')","tensor(0.0008617162, device='cuda:0')"
77000,8400,147000,0.06050238322466612,0.060617052949965,0.060579204693436625,0.05081962,"tensor(0.0574221648, device='cuda:0')","tensor(0.0018139118, device='cuda:0')"
88000,9600,168000,0.05978293150663376,0.059782896302640436,0.05978138709813356,0.03457414,"tensor(0.0228290055, device='cuda:0')","tensor(0.0008790817, device='cuda:0')"
99000,10800,189000,0.05858364749699831,0.05869786534458399,0.05866128042340279,0.035055913,"tensor(0.0915656462, device='cuda:0')","tensor(0.0006557294, device='cuda:0')"
110000,12000,210000,0.05694277457892895,0.05716016735881567,0.05712562371045351,0.04024058,"tensor(0.0650535896, device='cuda:0')","tensor(0.0008301897, device='cuda:0')"
121000,13200,231000,0.055744110830128195,0.05598877292126417,0.05597041366249323,0.06851793,"tensor(0.0837565958, device='cuda:0')","tensor(0.0012497874, device='cuda:0')"
132000,14400,252000,0.053564703240990635,0.05395505476742983,0.053946901835501194,0.05384265,"tensor(0.2772236764, device='cuda:0')","tensor(0.0006896562, device='cuda:0')"
143000,15600,273000,0.05156834527850151,0.05205969892442226,0.05204686603695154,0.07549289,"tensor(0.5349397659, device='cuda:0')","tensor(0.0009713446, device='cuda:0')"
154000,16800,294000,0.04957497280091047,0.050156388878822324,0.05012389803677798,0.09341962,"tensor(0.4699205458, device='cuda:0')","tensor(0.0011962531, device='cuda:0')"
