samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.25662934839725493,0.25658535689115525,0.2565405210852623,,,
11000,300,12000,0.06797276590019465,0.06791515052318572,0.06773420049250126,0.017301803,"tensor(0.0053972960, device='cuda:0')","tensor(0.0001482314, device='cuda:0')"
22000,600,24000,0.06762644037604332,0.06760775215923787,0.06743080397695303,0.021306636,"tensor(0.0003618675, device='cuda:0')","tensor(0.0001840647, device='cuda:0')"
33000,900,36000,0.06748363934457302,0.06745525509119034,0.06727366198599338,0.019817077,"tensor(3.9145925257e-05, device='cuda:0')","tensor(0.0001517098, device='cuda:0')"
44000,1200,48000,0.06745395869016647,0.06737132102251053,0.06719076777249575,0.027485186,"tensor(0.0002417223, device='cuda:0')","tensor(0.0002697671, device='cuda:0')"
55000,1500,60000,0.06722210608422756,0.06718674413859844,0.0670216802060604,0.024026906,"tensor(0.0005941965, device='cuda:0')","tensor(0.0002059140, device='cuda:0')"
66000,1800,72000,0.06702395170927047,0.0670169261097908,0.06683371211588383,0.018144432,"tensor(0.0006504475, device='cuda:0')","tensor(0.0001277141, device='cuda:0')"
77000,2100,84000,0.0669463511556387,0.06677215822041034,0.06660989979654551,0.02625708,"tensor(0.0001306802, device='cuda:0')","tensor(0.0002415547, device='cuda:0')"
88000,2400,96000,0.06625518210232258,0.066192761734128,0.06602799754589796,0.020691106,"tensor(0.0019811671, device='cuda:0')","tensor(0.0001106831, device='cuda:0')"
99000,2700,108000,0.06522924948483705,0.06517251372337342,0.0650312143266201,0.0255876,"tensor(0.0192153286, device='cuda:0')","tensor(0.0001735974, device='cuda:0')"
110000,3000,120000,0.06345099274069071,0.06336946409195661,0.06329243831336498,0.021970848,"tensor(0.0087834150, device='cuda:0')","tensor(0.0001175937, device='cuda:0')"
121000,3300,132000,0.06181473758071661,0.0618415118008852,0.06180690490454435,0.02428195,"tensor(0.0120049352, device='cuda:0')","tensor(0.0001422789, device='cuda:0')"
132000,3600,144000,0.06129843920469284,0.06127413626760245,0.061228439956903455,0.04538269,"tensor(0.0202443898, device='cuda:0')","tensor(0.0003488181, device='cuda:0')"
143000,3900,156000,0.061038989946246146,0.06103390511125326,0.0610027696415782,0.024258768,"tensor(0.0326039456, device='cuda:0')","tensor(6.4932573878e-05, device='cuda:0')"
154000,4200,168000,0.06088530588895082,0.06088597506284714,0.060859348557889464,0.024112983,"tensor(0.0002273183, device='cuda:0')","tensor(1.0791438399e-05, device='cuda:0')"
