samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.25662934839725493,0.25658535689115525,0.2565405210852623,,,
11000,1167,20670,0.06797031037509442,0.06795624263584614,0.06776950113475323,0.0013139165,"tensor(1.2342627087e-05, device='cuda:0')","tensor(7.1500389822e-06, device='cuda:0')"
22000,2243,40430,0.0679639782011509,0.06786835916340352,0.06769393619894981,0.0014102833,"tensor(1.4832646684e-06, device='cuda:0')","tensor(6.4254054450e-06, device='cuda:0')"
33000,3243,59430,0.06747526727616787,0.06741346541792154,0.06724589082598686,0.0015746988,"tensor(6.6091852204e-06, device='cuda:0')","tensor(2.2169931981e-05, device='cuda:0')"
44000,4362,79620,0.05870856832712889,0.05870922487229109,0.05869241654127836,0.0023805872,"tensor(0.0519242622, device='cuda:0')","tensor(0.0001390016, device='cuda:0')"
55000,5562,100620,0.0457097327709198,0.046253070123493674,0.04613465870171785,0.0042995373,"tensor(0.0681668073, device='cuda:0')","tensor(0.0012278369, device='cuda:0')"
66000,6762,121620,0.03912000022828579,0.03968168094754219,0.039506178088486194,0.0047766534,"tensor(1.4613980966e-05, device='cuda:0')","tensor(0.0022536684, device='cuda:0')"
77000,7962,142620,0.033643798045814036,0.03413088096305728,0.03395139841362834,0.0036863587,"tensor(1.8113158148e-05, device='cuda:0')","tensor(0.0006467210, device='cuda:0')"
88000,9162,163620,0.030409627966582774,0.03087375983595848,0.030689436834305524,0.0041005244,"tensor(2.4278455385e-05, device='cuda:0')","tensor(0.0007725374, device='cuda:0')"
99000,10362,184620,0.028184434659779073,0.028726600371301175,0.02851898745074868,0.0035899575,"tensor(0.0403759517, device='cuda:0')","tensor(0.0003442734, device='cuda:0')"
110000,11562,205620,0.02580342546105385,0.026339402422308922,0.026118971411138774,0.0036779009,"tensor(0.0743781850, device='cuda:0')","tensor(0.0004743161, device='cuda:0')"
121000,12762,226620,0.02465168768540025,0.025226153135299682,0.02503166602179408,0.004592191,"tensor(0.1024039164, device='cuda:0')","tensor(0.0014689631, device='cuda:0')"
132000,13962,247620,0.023100649695843457,0.02362187474966049,0.023433874424546957,0.0041035954,"tensor(1.2883380805e-05, device='cuda:0')","tensor(0.0007550805, device='cuda:0')"
143000,15162,268620,0.022137530781328678,0.02265480687841773,0.022462848767638207,0.0045822454,"tensor(0.1291768551, device='cuda:0')","tensor(0.0017349566, device='cuda:0')"
154000,16362,289620,0.021547644045203925,0.022070451583713294,0.02185162912681699,0.0039742575,"tensor(0.0922880620, device='cuda:0')","tensor(0.0007916825, device='cuda:0')"
