samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.25662934839725493,0.25658535689115525,0.2565405210852623,,,
11000,300,12000,0.06798716612160206,0.06797382347285748,0.06778538975119591,0.00131739,"tensor(5.3643043429e-06, device='cuda:0')","tensor(8.7788175733e-06, device='cuda:0')"
22000,600,24000,0.06797971047461032,0.06788264140486718,0.06770760634541512,0.0014343421,"tensor(1.6362977476e-05, device='cuda:0')","tensor(1.1217274732e-05, device='cuda:0')"
33000,900,36000,0.06758854139596224,0.06753220573067666,0.06736072632670402,0.0015520334,"tensor(5.4168895076e-06, device='cuda:0')","tensor(1.9201181203e-05, device='cuda:0')"
44000,1200,48000,0.059399175457656384,0.05935291387140751,0.05936881522089243,0.0023681023,"tensor(8.0610570876e-06, device='cuda:0')","tensor(0.0001549491, device='cuda:0')"
55000,1500,60000,0.04717710934579372,0.047720028646290304,0.04762764050811529,0.0037309194,"tensor(1.5432684449e-05, device='cuda:0')","tensor(0.0006304843, device='cuda:0')"
66000,1800,72000,0.03967167254537344,0.040256878472864625,0.04011004719883204,0.003901909,"tensor(1.6939720808e-05, device='cuda:0')","tensor(0.0007304826, device='cuda:0')"
77000,2100,84000,0.03390167023986578,0.03433710878714919,0.03418421908840537,0.004443695,"tensor(1.2870814317e-05, device='cuda:0')","tensor(0.0015234278, device='cuda:0')"
88000,2400,96000,0.03180092107504606,0.03221524098888039,0.032052379224449395,0.003930819,"tensor(0.0423303396, device='cuda:0')","tensor(0.0008630527, device='cuda:0')"
99000,2700,108000,0.029237704630941153,0.02963254749774933,0.029471032321453094,0.0043710987,"tensor(0.0531687029, device='cuda:0')","tensor(0.0011954309, device='cuda:0')"
110000,3000,120000,0.02763368021696806,0.02819268699735403,0.027970685210078956,0.0042349137,"tensor(0.0001491633, device='cuda:0')","tensor(0.0011793816, device='cuda:0')"
121000,3300,132000,0.02538345267996192,0.02596460284665227,0.025755993098020555,0.0040219757,"tensor(8.4444043750e-05, device='cuda:0')","tensor(0.0009225307, device='cuda:0')"
132000,3600,144000,0.02388800598680973,0.02451507894322276,0.024288130801171065,0.0036193642,"tensor(0.0432297699, device='cuda:0')","tensor(0.0008639591, device='cuda:0')"
143000,3900,156000,0.02288101930171251,0.02342917948961258,0.023219450023025275,0.004013078,"tensor(0.0793031305, device='cuda:0')","tensor(0.0009058667, device='cuda:0')"
154000,4200,168000,0.02192240485921502,0.02241199165582657,0.0221968906968832,0.0036555438,"tensor(0.0026657078, device='cuda:0')","tensor(0.0005968388, device='cuda:0')"
