samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.25662934839725493,0.25658535689115525,0.2565405210852623,,,
11000,300,12000,0.06797284826636314,0.06791522815823554,0.06773427537083626,0.01730023,"tensor(0.0053958618, device='cuda:0')","tensor(0.0001482584, device='cuda:0')"
22000,600,24000,0.06762645117938519,0.06760776259005069,0.06743081313371659,0.021305006,"tensor(0.0003616635, device='cuda:0')","tensor(0.0001841278, device='cuda:0')"
33000,900,36000,0.06748370427638292,0.06745531409978867,0.06727371952682734,0.019814545,"tensor(3.9132704842e-05, device='cuda:0')","tensor(0.0001517662, device='cuda:0')"
44000,1200,48000,0.06745407640933991,0.06737143859267235,0.06719088421016932,0.027482152,"tensor(0.0002416894, device='cuda:0')","tensor(0.0002698381, device='cuda:0')"
55000,1500,60000,0.06722239188849927,0.06718701645731925,0.06702194586396218,0.024023956,"tensor(0.0005934612, device='cuda:0')","tensor(0.0002059862, device='cuda:0')"
66000,1800,72000,0.067024489864707,0.06701743997633457,0.06683422131091356,0.018143287,"tensor(0.0006476011, device='cuda:0')","tensor(0.0001277800, device='cuda:0')"
77000,2100,84000,0.06694739095866681,0.06677321061491966,0.06661092738062144,0.026253771,"tensor(0.0001305980, device='cuda:0')","tensor(0.0002416510, device='cuda:0')"
88000,2400,96000,0.0662576323747635,0.06619517512619495,0.06603036060929299,0.02068678,"tensor(0.0019787687, device='cuda:0')","tensor(0.0001108155, device='cuda:0')"
99000,2700,108000,0.06523488126695157,0.06517803851515054,0.06503661062568426,0.025577744,"tensor(0.0191937275, device='cuda:0')","tensor(0.0001737241, device='cuda:0')"
110000,3000,120000,0.06345967415720224,0.06337803781032562,0.0633008282482624,0.021968296,"tensor(0.0087297130, device='cuda:0')","tensor(0.0001178609, device='cuda:0')"
121000,3300,132000,0.061819249726831914,0.0618459165841341,0.0618112023845315,0.024271427,"tensor(0.0119726034, device='cuda:0')","tensor(0.0001425583, device='cuda:0')"
132000,3600,144000,0.061300413496792314,0.061276004649698734,0.06123027104884386,0.045365293,"tensor(0.0201877374, device='cuda:0')","tensor(0.0003495225, device='cuda:0')"
143000,3900,156000,0.06104043580591679,0.061035293936729434,0.06100415141880512,0.024251653,"tensor(0.0326471254, device='cuda:0')","tensor(6.5269552579e-05, device='cuda:0')"
154000,4200,168000,0.0608867634832859,0.06088737010955811,0.06086074009537697,0.02410899,"tensor(0.0002276172, device='cuda:0')","tensor(1.0381947504e-05, device='cuda:0')"
