samples,computations,losses,val_losses,train_losses
0,0,0.02329734718799591,0.023468014374035624,0.023320290225549982
10000,100,0.019441406273841857,0.019701964597150467,0.019498758024096587
20000,200,0.017860154974460602,0.017987084096931914,0.017800176755342734
30000,300,0.01700711394548416,0.01723855410601728,0.016986771268587796
40000,400,0.015169198799133301,0.015376108969204827,0.015027706698495165
51666,500,0.015248324298858643,0.01537453830742796,0.01502682211326636
61666,600,0.014558987283706665,0.014672382990175911,0.014363737529303642
71666,700,0.015803635454177855,0.015918103959710873,0.01565885665132556
81666,800,0.014616970455646515,0.014806861238912167,0.014307817600580572
93332,900,0.013451471698284149,0.013640336704849196,0.01305348899002489
103332,1000,0.01397450977563858,0.014091653090917094,0.013530608086523514
113332,1100,0.014452783048152923,0.01466603689065562,0.014056375891546735
123332,1200,0.012806776297092438,0.012973025888168815,0.012269100706913649
134998,1300,0.013333282566070557,0.013500789944319408,0.01265591592553631
144998,1400,0.01287085799574852,0.01304424693036886,0.012161517431645239
154998,1500,0.012364460664987564,0.012509282641711783,0.01161121476350604
164998,1600,0.013193816411495208,0.013299370816150442,0.01239403098090637
176664,1700,0.01246214627623558,0.012692459036699152,0.011578523647205534
186664,1800,0.012486225628852845,0.012652767657203757,0.01147904327334258
196664,1900,0.011982998412847518,0.01221432816304261,0.01087320740427898
206664,2000,0.012161550450325012,0.01233046077583401,0.0109379678408137
218330,2100,0.012268795824050903,0.012507092975614625,0.010952048311596074
228330,2200,0.01227807064652443,0.012431972871331366,0.010940934796263044
238330,2300,0.012114704096317291,0.012449506735498453,0.010739229335184317
248330,2400,0.012384081864356994,0.012616821586413437,0.010770533340992258
259996,2500,0.012645536941289903,0.012861125999026828,0.011061524120883431
269996,2600,0.0137549103140831,0.013901100946554097,0.01221295041638101
279996,2700,0.011910278195142746,0.012057481780165472,0.009988183376226378
289996,2800,0.012184798121452331,0.012214341086679893,0.010232902307617494
301662,2900,0.011340540188550949,0.01144704317085343,0.009314370751581195
311662,3000,0.011473929876089096,0.011639168394364297,0.009396456677325544
321662,3100,0.011992595916986466,0.012151185352509903,0.009793787254795296
331662,3200,0.011654947155714034,0.011852355992619528,0.009460544880013399
343328,3300,0.01177016979455948,0.012046602387665157,0.00926766944808211
353328,3400,0.011909855163097382,0.01217579958906327,0.009372799455624572
363328,3500,0.01122180615067482,0.011358740863566608,0.008693956495653174
373328,3600,0.011586086010932922,0.011848172724947873,0.00907495084420252
384994,3700,0.011658858013153077,0.011795591494148517,0.008809140865191526
394994,3800,0.011761009210348129,0.011987239022262954,0.008866013338108856
404994,3900,0.011487914121150971,0.011604366905831708,0.008581599201053067
414994,4000,0.011276458156108856,0.01130048269443956,0.00838041306114206
