samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.023410978770256042,0.02359939488341604,0.02342080463399719,,,
11000,1200,21000,0.01748061443567276,0.0177070414645225,0.017528155656484155,0.3402025,"tensor(0.8355171084, device='cuda:0')","tensor(0.0070562940, device='cuda:0')"
22000,2400,42000,0.01555322059392929,0.01567387074511029,0.015478119455102322,0.35463884,"tensor(1., device='cuda:0')","tensor(0.0079283416, device='cuda:0')"
33000,3600,63000,0.01595771131515503,0.016025065832181544,0.015851135836534285,0.34376982,"tensor(0.3502899706, device='cuda:0')","tensor(0.0130297737, device='cuda:0')"
44000,4800,84000,0.014783308005332946,0.014800480108968297,0.014458410719756757,0.42542732,"tensor(0.0442604199, device='cuda:0')","tensor(0.0084587513, device='cuda:0')"
45870,5004,87570,0.014142831420898437,0.01417787715288441,0.013820697077579634,0.3541006,"tensor(0.0242029633, device='cuda:0')","tensor(0.0116432309, device='cuda:0')"
56870,6204,108570,0.01390577644109726,0.014006899133814534,0.013608449778462752,0.4156398,"tensor(0.0211741067, device='cuda:0')","tensor(0.0019033663, device='cuda:0')"
67870,7404,129570,0.013520507848262787,0.013698555023114631,0.013174686152987785,0.36618844,"tensor(0.0627417490, device='cuda:0')","tensor(0.0082406346, device='cuda:0')"
78870,8604,150570,0.012968993377685548,0.01308583513792682,0.012441219973597336,0.40382382,"tensor(0.0095840413, device='cuda:0')","tensor(0.0039886790, device='cuda:0')"
89870,9804,171570,0.012853974545001983,0.012932913106552611,0.012251502487758218,0.48263764,"tensor(0.0450982265, device='cuda:0')","tensor(0.0140448390, device='cuda:0')"
91740,10008,175140,0.01265213576555252,0.012711926740452286,0.01212790170376445,0.5092548,"tensor(0.0460321866, device='cuda:0')","tensor(0.0065769926, device='cuda:0')"
102740,11208,196140,0.012775997018814086,0.012865489396598088,0.012149096077450844,0.45422134,"tensor(0.0264503434, device='cuda:0')","tensor(0.0170893278, device='cuda:0')"
113740,12408,217140,0.012720387953519822,0.012803861126214273,0.011949728100938311,0.44138595,"tensor(0.0422244519, device='cuda:0')","tensor(0.0127487984, device='cuda:0')"
124740,13608,238140,0.012249159467220307,0.012452822796354941,0.011377917909418485,0.4585253,"tensor(0.0103123533, device='cuda:0')","tensor(0.0093508661, device='cuda:0')"
135740,14808,259140,0.01207343207001686,0.01226982507941418,0.011244976129430236,0.44218236,"tensor(0.0350865386, device='cuda:0')","tensor(0.0039391145, device='cuda:0')"
