samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.023410978770256042,0.02359939488341604,0.02342080463399719,,,
11000,300,12000,0.01894434677362442,0.019083071962259987,0.018924077190714483,1.2303685,"tensor(0.0121589294, device='cuda:0')","tensor(0.0937722027, device='cuda:0')"
22000,600,24000,0.017519172155857087,0.017743838242498096,0.017575758469864096,2.4532936,"tensor(0.0383309051, device='cuda:0')","tensor(0.1690960974, device='cuda:0')"
33000,900,36000,0.015755847871303557,0.01588447422382784,0.01565785763193091,1.6319047,"tensor(0.0208702683, device='cuda:0')","tensor(0.1332118660, device='cuda:0')"
44000,1200,48000,0.01544732084274292,0.015683202684025756,0.015218771322835672,1.7270392,"tensor(0.0113490252, device='cuda:0')","tensor(0.0845532715, device='cuda:0')"
45870,1251,50040,0.015221462774276733,0.015421057680055396,0.01503820003998787,1.8092469,"tensor(0.0119854864, device='cuda:0')","tensor(0.0042328681, device='cuda:0')"
56870,1551,62040,0.01599499512910843,0.016134689973932335,0.015704974982030436,2.2579556,"tensor(0.0426578261, device='cuda:0')","tensor(0.9697862267, device='cuda:0')"
67870,1851,74040,0.01672339894771576,0.016912786600713912,0.01642197462655588,3.770511,"tensor(0.1232830882, device='cuda:0')","tensor(5.4882545471, device='cuda:0')"
78870,2151,86040,0.01381122246980667,0.013842412370956857,0.013277587219189391,1.6018809,"tensor(0.0174746923, device='cuda:0')","tensor(0.1646742821, device='cuda:0')"
89870,2451,98040,0.0153830961227417,0.015527839079331173,0.015127078358899189,2.4907377,"tensor(0.0335200541, device='cuda:0')","tensor(1.4173063040, device='cuda:0')"
91740,2502,100080,0.01362877997159958,0.013754373836036721,0.013092813198046753,2.2128634,"tensor(0.0706027076, device='cuda:0')","tensor(0.2224030644, device='cuda:0')"
102740,2802,112080,0.014466449642181396,0.01456112798123672,0.013778945804929754,2.2238076,"tensor(0.0246809404, device='cuda:0')","tensor(0.0815946981, device='cuda:0')"
113740,3102,124080,0.013450185060501099,0.013692678594463359,0.012818251036707291,2.385681,"tensor(0.0139796855, device='cuda:0')","tensor(0.0408760048, device='cuda:0')"
124740,3402,136080,0.013896691823005677,0.014092964807917295,0.013160279182764502,2.124673,"tensor(0.0207746066, device='cuda:0')","tensor(0.1738308966, device='cuda:0')"
135740,3702,148080,0.012932991421222687,0.012921400827728703,0.01208006711806806,2.1503773,"tensor(0.0107754935, device='cuda:0')","tensor(0.1830780357, device='cuda:0')"
