samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.023410978770256042,0.02359939488341604,0.02342080463399719,,,
11000,600,15000,0.0175507985830307,0.017819553306127354,0.01762661561444999,0.36763385,"tensor(1., device='cuda:0')","tensor(0.0124060158, device='cuda:0')"
22000,1200,30000,0.016033945190906524,0.016170846305935967,0.016012542021633346,0.40384197,"tensor(1., device='cuda:0')","tensor(0.0017441306, device='cuda:0')"
33000,1800,45000,0.015800919580459594,0.015927789964806354,0.01572783916984078,0.3583376,"tensor(0.8105475903, device='cuda:0')","tensor(0.0022320286, device='cuda:0')"
44000,2400,60000,0.014826867663860321,0.014789384347459295,0.014526646596610744,0.39903823,"tensor(1., device='cuda:0')","tensor(0.0005634567, device='cuda:0')"
45870,2502,62550,0.014448791372776031,0.014488612615664514,0.0141701438089022,0.42891532,"tensor(0.0622470491, device='cuda:0')","tensor(0.0105368616, device='cuda:0')"
56870,3102,77550,0.013791727900505067,0.013851477941335006,0.013459701347653202,0.44145685,"tensor(0.0146210082, device='cuda:0')","tensor(0.0176874697, device='cuda:0')"
67870,3702,92550,0.01335198186635971,0.01343116094833202,0.012961683184107307,0.3357913,"tensor(0.0242776275, device='cuda:0')","tensor(0.0133465584, device='cuda:0')"
78870,4302,107550,0.013064200699329375,0.013113961106500151,0.012539594212513595,0.3590387,"tensor(0.4346918762, device='cuda:0')","tensor(0.0184660256, device='cuda:0')"
89870,4902,122550,0.013068771529197692,0.013082754849414903,0.012525130686114263,0.4671027,"tensor(0.0561677404, device='cuda:0')","tensor(0.0073534264, device='cuda:0')"
91740,5004,125100,0.012736985158920288,0.012755483224405097,0.012149900325300346,0.39589828,"tensor(0.0150504950, device='cuda:0')","tensor(0.0192440227, device='cuda:0')"
102740,5604,140100,0.012711360096931457,0.012768654334679592,0.011962769188368446,0.4954989,"tensor(0.1412039250, device='cuda:0')","tensor(0.0018872673, device='cuda:0')"
113740,6204,155100,0.012570548206567764,0.012519871642156444,0.011650105123357847,0.39559627,"tensor(0.0094878571, device='cuda:0')","tensor(0.0179156214, device='cuda:0')"
124740,6804,170100,0.012568466401100159,0.012542844962982184,0.011728888953784388,0.59847337,"tensor(0.0172186177, device='cuda:0')","tensor(0.0035380274, device='cuda:0')"
135740,7404,185100,0.011994595634937287,0.012097761210189153,0.011043844042260139,0.4654426,"tensor(0.0443705805, device='cuda:0')","tensor(0.0126253478, device='cuda:0')"
