samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.023410978770256042,0.02359939488341604,0.02342080463399719,,,
11000,1200,21000,0.017332471811771392,0.017568131802835594,0.01739101240422398,0.3760359,"tensor(1., device='cuda:0')","tensor(0.0052155107, device='cuda:0')"
22000,2400,42000,0.01567624932527542,0.015772538031208906,0.015618901531872446,0.36841214,"tensor(0.0115642259, device='cuda:0')","tensor(0.0262654740, device='cuda:0')"
33000,3600,63000,0.01582870489358902,0.015919582575438032,0.015687408732456956,0.37250456,"tensor(0.3062898517, device='cuda:0')","tensor(0.0078965323, device='cuda:0')"
44000,4800,84000,0.014315355169773102,0.01446483626993892,0.014067652024304033,0.4073225,"tensor(0.8073055744, device='cuda:0')","tensor(0.0078162523, device='cuda:0')"
45870,5004,87570,0.014086365807056427,0.014152470884032464,0.013814744163462463,0.3620155,"tensor(0.0550301261, device='cuda:0')","tensor(0.0131664341, device='cuda:0')"
56870,6204,108570,0.01402345359325409,0.014183560005903874,0.013752956141296216,0.49863705,"tensor(0.0875544101, device='cuda:0')","tensor(4.2394734919e-05, device='cuda:0')"
67870,7404,129570,0.014010410666465759,0.014220478553579727,0.013571478559138513,0.35785067,"tensor(0.1554079056, device='cuda:0')","tensor(0.0150727984, device='cuda:0')"
78870,8604,150570,0.013207726895809173,0.013335744539896647,0.012826230973670492,0.46754554,"tensor(0.0101860911, device='cuda:0')","tensor(0.0162717700, device='cuda:0')"
89870,9804,171570,0.013253305733203888,0.013441533830087476,0.012750481175019052,0.39675722,"tensor(0.0580583550, device='cuda:0')","tensor(0.0073004393, device='cuda:0')"
91740,10008,175140,0.012913206869363784,0.013175233651443383,0.01232088494219588,0.41637522,"tensor(0.0129525866, device='cuda:0')","tensor(0.0082085421, device='cuda:0')"
102740,11208,196140,0.012774273502826691,0.012942510970582315,0.012043305736676882,0.40555,"tensor(0.0358545296, device='cuda:0')","tensor(0.0190093704, device='cuda:0')"
113740,12408,217140,0.0130218326151371,0.013072706746460008,0.012202114035609085,0.49230182,"tensor(0.7842917442, device='cuda:0')","tensor(0.0036497449, device='cuda:0')"
124740,13608,238140,0.012444800239801407,0.012554457398207033,0.011712909913558587,0.4189066,"tensor(0.3074687719, device='cuda:0')","tensor(0.0174617432, device='cuda:0')"
135740,14808,259140,0.012087499326467514,0.01215792072743342,0.011168936289936662,0.39763102,"tensor(0.0168644134, device='cuda:0')","tensor(0.0142845074, device='cuda:0')"
