samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.023410978770256042,0.02359939488341604,0.02342080463399719,,,
11000,600,15000,0.017280824065208436,0.017460086476124816,0.01736535763297646,1.9262662,"tensor(0.0163279176, device='cuda:0')","tensor(0.0796577185, device='cuda:0')"
22000,1200,30000,0.01691066681146622,0.016980017493147058,0.01691410099556527,3.4680274,"tensor(0.0350586139, device='cuda:0')","tensor(0.1691000760, device='cuda:0')"
33000,1800,45000,0.015731777584552766,0.015705173668427694,0.01559743228386924,3.3660195,"tensor(1., device='cuda:0')","tensor(0.2097131759, device='cuda:0')"
44000,2400,60000,0.015245892202854156,0.015320862772826929,0.015108415098327182,2.2425098,"tensor(1., device='cuda:0')","tensor(0.1478628814, device='cuda:0')"
45870,2502,62550,0.015384198987483978,0.015434134369821093,0.015286635266477375,2.6681995,"tensor(1., device='cuda:0')","tensor(0.3334464431, device='cuda:0')"
56870,3102,77550,0.014539931643009187,0.014468149727472792,0.014295287435650911,2.3270366,"tensor(1., device='cuda:0')","tensor(0.1682364196, device='cuda:0')"
67870,3702,92550,0.014883833301067352,0.014880927126270878,0.014738238113025933,3.5989676,"tensor(0.0169974547, device='cuda:0')","tensor(0.0081789419, device='cuda:0')"
78870,4302,107550,0.014684596359729766,0.01471021242899262,0.014502663144409322,4.955148,"tensor(1., device='cuda:0')","tensor(0.3056683838, device='cuda:0')"
89870,4902,122550,0.0137095734000206,0.013807053327960936,0.01344641555444544,4.432507,"tensor(1., device='cuda:0')","tensor(0.1905643344, device='cuda:0')"
91740,5004,125100,0.01391823296546936,0.01386542621493082,0.013624731010489563,3.896209,"tensor(0.0201563761, device='cuda:0')","tensor(0.1956305206, device='cuda:0')"
102740,5604,140100,0.013510421073436737,0.013531877878961273,0.013306991283671452,2.3973281,"tensor(1., device='cuda:0')","tensor(0.1810177416, device='cuda:0')"
113740,6204,155100,0.01349292768239975,0.013530001684376054,0.013182951737622088,3.784464,"tensor(1., device='cuda:0')","tensor(0.1555148959, device='cuda:0')"
124740,6804,170100,0.013164172339439392,0.013202175365697002,0.012847680963820104,4.5580363,"tensor(0.2250293046, device='cuda:0')","tensor(0.2246495187, device='cuda:0')"
135740,7404,185100,0.013717539083957671,0.013827962714589583,0.013366821020167816,4.0111794,"tensor(1., device='cuda:0')","tensor(0.2777023315, device='cuda:0')"
