samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.3207984375953674,0.31788227051496504,0.31926175159215925,,,
11000,1150,20500,0.05060889229178429,0.051316084899008275,0.0514264928996563,0.039420914,"tensor(0.0595777892, device='cuda:0')","tensor(6.7725370172e-05, device='cuda:0')"
22000,2227,40270,0.04691533643752337,0.04702215410768986,0.04747818335145712,0.031044342,"tensor(0.8057464361, device='cuda:0')","tensor(7.0111054811e-05, device='cuda:0')"
33000,3264,59640,0.04364316061139107,0.04395426865667105,0.044138992056250576,0.03615447,"tensor(0.6202535033, device='cuda:0')","tensor(0.0004877910, device='cuda:0')"
44000,4286,78860,0.04401315473020077,0.04447576444596052,0.04454762548208237,0.029413681,"tensor(0.0643442720, device='cuda:0')","tensor(0.0002059149, device='cuda:0')"
55000,5305,98050,0.042520603351295,0.04290776111185551,0.04307601822167635,0.03054959,"tensor(0.0410379767, device='cuda:0')","tensor(0.0003814628, device='cuda:0')"
66000,6301,117010,0.04213600102812052,0.04228425640612841,0.042361962802708146,0.027652767,"tensor(0.5175930858, device='cuda:0')","tensor(0.0001064087, device='cuda:0')"
77000,7324,136240,0.04483500950038433,0.04474219098687172,0.04484748988598585,0.035959523,"tensor(0.0838194713, device='cuda:0')","tensor(0.0001627851, device='cuda:0')"
88000,8353,155530,0.04181807778775692,0.042087666802108285,0.0420388573333621,0.025977373,"tensor(0.0559478775, device='cuda:0')","tensor(9.3997652584e-05, device='cuda:0')"
99000,9356,174560,0.042006175108253954,0.042159000560641285,0.042164267122745513,0.031720176,"tensor(0.3628736138, device='cuda:0')","tensor(0.0002639468, device='cuda:0')"
110000,10365,193650,0.04093197617679834,0.04103580951690674,0.041027518384158614,0.03347108,"tensor(0.1792988181, device='cuda:0')","tensor(0.0001747437, device='cuda:0')"
121000,11361,212610,0.041011071763932705,0.041307520754635334,0.041324615985155105,0.032470282,"tensor(0.3722707629, device='cuda:0')","tensor(0.0001680633, device='cuda:0')"
132000,12366,231660,0.04096304316073656,0.04129302851855755,0.04110353373736143,0.031695876,"tensor(0.4875848591, device='cuda:0')","tensor(0.0003038651, device='cuda:0')"
143000,13354,250540,0.04233120322227478,0.04263048011809587,0.04254935884475708,0.028137673,"tensor(0.0464064665, device='cuda:0')","tensor(5.4827632994e-05, device='cuda:0')"
154000,14360,269600,0.04034276369959116,0.04063264349475503,0.0404874548278749,0.03266651,"tensor(0.2595867515, device='cuda:0')","tensor(0.0002320956, device='cuda:0')"
