samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.3207984375953674,0.31788227051496504,0.31926175159215925,,,
11000,1200,21000,0.04300226330757141,0.04369937606155872,0.043728626534342764,0.14037028,"tensor(0.0854006112, device='cuda:0')","tensor(0.0016777733, device='cuda:0')"
22000,2400,42000,0.041217830665409565,0.041661960408091545,0.041965783447027206,0.13361856,"tensor(0.0879521295, device='cuda:0')","tensor(0.0015106401, device='cuda:0')"
33000,3600,63000,0.04083640180528164,0.0413079533725977,0.04149427828192711,0.13746919,"tensor(0.5771760345, device='cuda:0')","tensor(0.0017191829, device='cuda:0')"
44000,4800,84000,0.04005730904638767,0.04054667737334967,0.040798708528280256,0.16589789,"tensor(0.4810760021, device='cuda:0')","tensor(0.0019206489, device='cuda:0')"
55000,6000,105000,0.039925510548055175,0.040304464437067505,0.040580264538526534,0.1499874,"tensor(0.4544695020, device='cuda:0')","tensor(0.0017729207, device='cuda:0')"
66000,7200,126000,0.039540684781968594,0.03980733208358288,0.040056748658418656,0.13236855,"tensor(0.3001733422, device='cuda:0')","tensor(0.0014732659, device='cuda:0')"
77000,8400,147000,0.03959107432514429,0.03977441519498825,0.04003771423920989,0.121768035,"tensor(0.5277679563, device='cuda:0')","tensor(0.0012924692, device='cuda:0')"
88000,9600,168000,0.03941125925630331,0.039615669697523115,0.03986957692354918,0.13260731,"tensor(0.0902833194, device='cuda:0')","tensor(0.0015192570, device='cuda:0')"
99000,10800,189000,0.03923982780426741,0.039407256916165354,0.039686873629689215,0.13617007,"tensor(0.5070462227, device='cuda:0')","tensor(0.0015987162, device='cuda:0')"
110000,12000,210000,0.03912893258035183,0.03926764016970992,0.03953008651733399,0.11620802,"tensor(0.6978895068, device='cuda:0')","tensor(0.0011494349, device='cuda:0')"
121000,13200,231000,0.03929604211822152,0.039420044012367726,0.03966926556825638,0.18579717,"tensor(0.2884206474, device='cuda:0')","tensor(0.0022306989, device='cuda:0')"
132000,14400,252000,0.03904750488698482,0.03931918080896139,0.03947810633480549,0.12525035,"tensor(0.0688401461, device='cuda:0')","tensor(0.0013519945, device='cuda:0')"
143000,15600,273000,0.03907483659684658,0.03921912044286728,0.03950791372358799,0.16478886,"tensor(0.2053886801, device='cuda:0')","tensor(0.0016163182, device='cuda:0')"
154000,16800,294000,0.038998261541128156,0.039155847169458864,0.039352386757731436,0.16678037,"tensor(0.4437329471, device='cuda:0')","tensor(0.0018498723, device='cuda:0')"
