samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.3207984375953674,0.31788227051496504,0.31926175159215925,,,
11000,300,12000,0.057684113308787345,0.05879745852202177,0.05897876355797052,0.043652628,"tensor(0.0501748621, device='cuda:0')","tensor(0.0001813829, device='cuda:0')"
22000,600,24000,0.04967299211770296,0.05026138037443161,0.05067099974304438,0.027690155,"tensor(0.4434993565, device='cuda:0')","tensor(0.0001545068, device='cuda:0')"
33000,900,36000,0.04717997919768095,0.04785110592842102,0.04802418830245733,0.030013341,"tensor(0.0585749187, device='cuda:0')","tensor(9.8602366052e-05, device='cuda:0')"
44000,1200,48000,0.044723625630140304,0.04529201541095972,0.045494874127209185,0.02657845,"tensor(0.2733209431, device='cuda:0')","tensor(8.4557032096e-05, device='cuda:0')"
55000,1500,60000,0.04403741363435984,0.04445008348673582,0.04465674601495266,0.029539116,"tensor(0.3119777143, device='cuda:0')","tensor(3.2400945202e-05, device='cuda:0')"
66000,1800,72000,0.043589142933487895,0.04380260206758976,0.044036586463451384,0.03373551,"tensor(0.0605348051, device='cuda:0')","tensor(3.2944793929e-05, device='cuda:0')"
77000,2100,84000,0.042470281682908534,0.04284169737249613,0.043055951870977875,0.024952406,"tensor(0.1006697193, device='cuda:0')","tensor(7.1801798185e-05, device='cuda:0')"
88000,2400,96000,0.04203592419624329,0.04248107496649027,0.04262590132653713,0.02299161,"tensor(0.0608975329, device='cuda:0')","tensor(8.1137994130e-05, device='cuda:0')"
99000,2700,108000,0.04184126622974873,0.041948968693614,0.04202369215339422,0.03383661,"tensor(0.1409357935, device='cuda:0')","tensor(1.0501534234e-05, device='cuda:0')"
110000,3000,120000,0.0413373837992549,0.04165524106472731,0.04168958769738674,0.026481992,"tensor(0.7849863768, device='cuda:0')","tensor(6.1287515564e-05, device='cuda:0')"
121000,3300,132000,0.04134980723261833,0.041557102501392364,0.04175252676010132,0.031541597,"tensor(0.4222222567, device='cuda:0')","tensor(2.5303304483e-06, device='cuda:0')"
132000,3600,144000,0.04137483887374401,0.041627907529473304,0.041577542915940284,0.034233894,"tensor(0.0010134337, device='cuda:0')","tensor(6.9137073297e-05, device='cuda:0')"
143000,3900,156000,0.041000221632421015,0.04123029064387083,0.0413510769829154,0.03305228,"tensor(0.0589777678, device='cuda:0')","tensor(1.8780983737e-05, device='cuda:0')"
154000,4200,168000,0.04050799153745174,0.0407249253615737,0.040729731407016516,0.02271634,"tensor(0.6520264745, device='cuda:0')","tensor(5.9294303355e-05, device='cuda:0')"
