samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.3207984375953674,0.31788227051496504,0.31926175159215925,,,
11000,600,15000,0.05936830922961235,0.06053670421242714,0.06071397417038679,0.24078475,"tensor(0.1496523321, device='cuda:0')","tensor(0.0041802982, device='cuda:0')"
22000,1200,30000,0.05289066392928362,0.05372470591217279,0.05406347303837538,0.19953226,"tensor(0.7935296893, device='cuda:0')","tensor(0.0021951462, device='cuda:0')"
33000,1800,45000,0.05033903989940882,0.05111043248325586,0.05129862682521343,0.23896125,"tensor(0.1124051958, device='cuda:0')","tensor(0.0055423356, device='cuda:0')"
44000,2400,60000,0.048112090528011325,0.048762617222964766,0.049060777820646766,0.18671077,"tensor(0.1005254388, device='cuda:0')","tensor(0.0033825806, device='cuda:0')"
55000,3000,75000,0.046129903271794316,0.04678157839924097,0.047027746595442295,0.26253566,"tensor(0.0412798934, device='cuda:0')","tensor(0.0050858539, device='cuda:0')"
66000,3600,90000,0.04523952201008797,0.04571582354605198,0.04588851884007454,0.25415823,"tensor(0.0988083109, device='cuda:0')","tensor(0.0049395040, device='cuda:0')"
77000,4200,105000,0.0444876779615879,0.044865336678922174,0.0450874385163188,0.20676498,"tensor(0.0393805839, device='cuda:0')","tensor(0.0034533788, device='cuda:0')"
88000,4800,120000,0.04404587723314762,0.044449814520776273,0.04460966102778911,0.17521995,"tensor(0.1879679710, device='cuda:0')","tensor(0.0032881869, device='cuda:0')"
99000,5400,135000,0.044559364318847654,0.044902243949472904,0.04515872751176357,0.16028139,"tensor(0.0569098815, device='cuda:0')","tensor(0.0020013328, device='cuda:0')"
110000,6000,150000,0.044508054181933404,0.044820776879787444,0.04501440181583166,0.18938646,"tensor(0.0461739115, device='cuda:0')","tensor(0.0034219017, device='cuda:0')"
121000,6600,165000,0.0427135730907321,0.043124709837138654,0.04321627406030893,0.2042966,"tensor(0.0457890928, device='cuda:0')","tensor(0.0035902152, device='cuda:0')"
132000,7200,180000,0.04262551240622997,0.04291030049324036,0.04298868779838085,0.1615116,"tensor(0.0424710438, device='cuda:0')","tensor(0.0021769528, device='cuda:0')"
143000,7800,195000,0.04207744624465704,0.04243471797555685,0.04252794413268566,0.15372105,"tensor(0.6473650932, device='cuda:0')","tensor(0.0024286667, device='cuda:0')"
154000,8400,210000,0.04200213212519884,0.04239808298647404,0.0424633978754282,0.13011162,"tensor(0.0869634300, device='cuda:0')","tensor(0.0022787747, device='cuda:0')"
