samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.3207984375953674,0.31788227051496504,0.31926175159215925,,,
11000,300,12000,0.057709336765110496,0.058823615126311776,0.05900435449182987,0.043674488,"tensor(0.0501748621, device='cuda:0')","tensor(0.0001810854, device='cuda:0')"
22000,600,24000,0.049628897793591024,0.05021650779992342,0.0506265370324254,0.027663011,"tensor(0.4434993565, device='cuda:0')","tensor(0.0001543268, device='cuda:0')"
33000,900,36000,0.04712470356374979,0.04779244147241116,0.0479661622568965,0.029959323,"tensor(0.0585749187, device='cuda:0')","tensor(9.8518023151e-05, device='cuda:0')"
44000,1200,48000,0.04467250473797321,0.04523665510118008,0.04543943238258362,0.026565708,"tensor(0.2733209431, device='cuda:0')","tensor(8.4159582912e-05, device='cuda:0')"
55000,1500,60000,0.043992466479539874,0.04440129604190588,0.044607453890144824,0.029458575,"tensor(0.3119777143, device='cuda:0')","tensor(3.2177576941e-05, device='cuda:0')"
66000,1800,72000,0.043546795360743996,0.04375516228377819,0.043989303819835186,0.033713225,"tensor(0.0605348051, device='cuda:0')","tensor(3.3959844586e-05, device='cuda:0')"
77000,2100,84000,0.04243459425866604,0.042799960747361185,0.043014604240655896,0.024949975,"tensor(0.1006697193, device='cuda:0')","tensor(7.1777350968e-05, device='cuda:0')"
88000,2400,96000,0.041997248381376265,0.04243815459311009,0.04258273231983185,0.022943417,"tensor(0.0608975329, device='cuda:0')","tensor(8.0976278696e-05, device='cuda:0')"
99000,2700,108000,0.04181197796016931,0.04191411044448614,0.04198758932203055,0.033850603,"tensor(0.1409357935, device='cuda:0')","tensor(9.2557675089e-06, device='cuda:0')"
110000,3000,120000,0.04130180314183235,0.041616004109382626,0.0416488182246685,0.026450383,"tensor(0.7849863768, device='cuda:0')","tensor(6.1225000536e-05, device='cuda:0')"
121000,3300,132000,0.04132254716008901,0.041523788794875144,0.04171808946877718,0.0315013,"tensor(0.4222222567, device='cuda:0')","tensor(3.4298425362e-06, device='cuda:0')"
132000,3600,144000,0.0413491390645504,0.04159861292690039,0.04154523137956858,0.0342208,"tensor(0.0010134337, device='cuda:0')","tensor(7.0586618676e-05, device='cuda:0')"
143000,3900,156000,0.04097500521689654,0.04119912777096033,0.04131928338110447,0.033086296,"tensor(0.0589777678, device='cuda:0')","tensor(1.7624341126e-05, device='cuda:0')"
154000,4200,168000,0.04048114594072103,0.04069320984184742,0.040696189053356646,0.022714648,"tensor(0.6520264745, device='cuda:0')","tensor(5.9307873016e-05, device='cuda:0')"
