samples,computations,losses,val_losses,train_losses
0,0,0.02304429748058319,0.023221239100722407,0.023064314766875014
10000,100,0.02053966292142868,0.02066789116537883,0.020536660369860595
20000,200,0.01805570740699768,0.01824066434113677,0.018064022536285324
30000,300,0.018204889523983,0.018330197712486528,0.018219436584876045
40000,400,0.016223304343223572,0.016416498832002316,0.016175000670890862
51666,500,0.016271375024318694,0.016438100044464703,0.016246516989064
61666,600,0.016096699595451354,0.016254300561373485,0.01594720811248312
71666,700,0.018090634679794312,0.018137081781679817,0.018007185632174398
81666,800,0.016299048233032225,0.016406346131263662,0.016028167614011903
93332,900,0.014670748221874237,0.014825253984983631,0.01450670024113025
103332,1000,0.014070618224143981,0.014235550847475782,0.013805380483484586
113332,1100,0.013913189578056335,0.014081261084753173,0.01357428401154986
123332,1200,0.0138261674284935,0.014003407377289272,0.013449780259960721
134998,1300,0.013776515543460845,0.013967307245585453,0.013477601272227961
144998,1400,0.01409796528816223,0.014188295077842748,0.013608177364665044
154998,1500,0.013248757803440094,0.013342803220311773,0.012725851833691595
164998,1600,0.01416538279056549,0.01410003919409195,0.013565300144167541
176664,1700,0.01298950845003128,0.01309912189580223,0.012569146324427434
186664,1800,0.01263449318408966,0.01268044430945799,0.011994801037185553
196664,1900,0.012526309704780579,0.012700045926982274,0.011829938256196396
206664,2000,0.012476827228069306,0.012517725288481744,0.011735376415677038
218330,2100,0.012403017365932465,0.01250083756326685,0.011813246905703543
228330,2200,0.013937869298458099,0.013969613660689249,0.013283282286640274
238330,2300,0.012044129335880279,0.012115485832105874,0.011193474788040456
248330,2400,0.013189853668212891,0.013322170558295033,0.012226037920359626
259996,2500,0.01189149348139763,0.01198684577035595,0.011151511182605588
269996,2600,0.012321149969100952,0.012363982337940674,0.011343677864869854
279996,2700,0.01223250362277031,0.012381804083816604,0.011245844114738288
289996,2800,0.012934576797485352,0.012904845870081859,0.011933101785398678
301662,2900,0.011484771275520325,0.011498072041806083,0.010600760541200032
311662,3000,0.012024657118320466,0.012048703412057571,0.01084633007404562
321662,3100,0.012060149204730988,0.012049556214774515,0.010905936189410336
331662,3200,0.011956437355279922,0.011953087112787447,0.010667155822446192
343328,3300,0.011136499387025833,0.011189638595658868,0.010126703201663
353328,3400,0.012486668485403061,0.012369612066013967,0.011178999322401328
363328,3500,0.010916467726230622,0.010908056927551204,0.009510345390433168
373328,3600,0.010790873825550079,0.010793540227147123,0.009402315978704523
384994,3700,0.010708280909061433,0.010719289489578565,0.009529601699052904
394994,3800,0.011150664871931075,0.011283601799370546,0.009701143543415712
404994,3900,0.011663268488645554,0.01166113298489145,0.010126178922263177
414994,4000,0.010870783025026321,0.010839586917919766,0.009331337552896208
