samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.023032983660697937,0.023220549964035105,0.02305081308600437,,,
11000,300,12000,0.023014948654174805,0.023198126945559686,0.023034356699350132,0.09664307,"tensor(5.6442848972e-07, device='cuda:0')","tensor(0.0008697067, device='cuda:0')"
22000,600,24000,0.02299297275543213,0.023176258205938372,0.023013209842293145,0.19618966,"tensor(7.9797126773e-07, device='cuda:0')","tensor(0.0025255817, device='cuda:0')"
33000,900,36000,0.02292667634487152,0.02311293770433302,0.022949316678660365,0.21369174,"tensor(1.0598748304e-05, device='cuda:0')","tensor(0.0028722968, device='cuda:0')"
44000,1200,48000,0.022346979188919067,0.02254585399311854,0.022389928480783795,0.31671438,"tensor(0.0002959101, device='cuda:0')","tensor(0.0048544705, device='cuda:0')"
45870,1251,50040,0.021926078939437866,0.02214860406916348,0.021984488119607765,0.37869442,"tensor(0.0006333084, device='cuda:0')","tensor(0.0066672591, device='cuda:0')"
56870,1551,62040,0.02111873015165329,0.021381977967916133,0.021200443194784903,0.702856,"tensor(0.8440967202, device='cuda:0')","tensor(0.0064178151, device='cuda:0')"
67870,1851,74040,0.027463699769973756,0.027734328866834575,0.027494562746255894,3.437765,"tensor(1., device='cuda:0')","tensor(0.6552509069, device='cuda:0')"
78870,2151,86040,0.023023167848587035,0.02320216252473667,0.023043580281375688,0.20560579,"tensor(1.4209780602e-05, device='cuda:0')","tensor(0.0026752658, device='cuda:0')"
89870,2451,98040,0.022983864092826843,0.023170588569787588,0.023004929234186962,0.10701079,"tensor(8.2393380580e-06, device='cuda:0')","tensor(0.0010102544, device='cuda:0')"
91740,2502,100080,0.022964718222618103,0.023150880874018603,0.022986867301595576,0.14407678,"tensor(2.0807741748e-05, device='cuda:0')","tensor(0.0015806057, device='cuda:0')"
102740,2802,112080,0.022169650554656983,0.022373579004441972,0.022242165095909233,0.28694656,"tensor(0.0058651422, device='cuda:0')","tensor(0.0036088638, device='cuda:0')"
113740,3102,124080,0.021808416295051574,0.02197092532653845,0.021843282784913473,1.4714754,"tensor(0.0535593517, device='cuda:0')","tensor(0.0266000479, device='cuda:0')"
124740,3402,136080,0.02056632310152054,0.020815784135309948,0.020621002598776566,0.60599196,"tensor(0.0011486863, device='cuda:0')","tensor(0.0048050825, device='cuda:0')"
