samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.023032983660697937,0.023220549964035105,0.02305081308600437,,,
11000,600,15000,0.022957376432418825,0.023137568712291712,0.0229810668566919,0.030518007,"tensor(0.1347701699, device='cuda:0')","tensor(0.0004716634, device='cuda:0')"
22000,1200,30000,0.020844349050521852,0.021073685837844764,0.020899015198986227,0.23606054,"tensor(0.0283037424, device='cuda:0')","tensor(0.0061396654, device='cuda:0')"
33000,1800,45000,0.019923883593082427,0.02022326883721586,0.020014408844051635,0.17772149,"tensor(0.1317732483, device='cuda:0')","tensor(0.0018910902, device='cuda:0')"
44000,2400,60000,0.018953149402141573,0.019207970956432067,0.019077608292727557,0.16108832,"tensor(1., device='cuda:0')","tensor(0.0019694434, device='cuda:0')"
45870,2502,62550,0.018806358933448793,0.019053864012755505,0.018913175949514534,0.19105065,"tensor(0.5517184734, device='cuda:0')","tensor(0.0031347850, device='cuda:0')"
56870,3102,77550,0.018451280212402343,0.018717812181577597,0.01857757314010365,0.17189308,"tensor(0.0024577663, device='cuda:0')","tensor(0.0036005829, device='cuda:0')"
67870,3702,92550,0.01822756711244583,0.0183219610142828,0.018385896776353428,0.22988494,"tensor(0.0006720966, device='cuda:0')","tensor(0.0024059138, device='cuda:0')"
78870,4302,107550,0.01706198329925537,0.017271740919455998,0.01719381919328544,0.2393009,"tensor(0.0011156615, device='cuda:0')","tensor(0.0032202397, device='cuda:0')"
89870,4902,122550,0.016415193808078765,0.016590569069095444,0.01652446267459829,0.2706575,"tensor(0.2318530083, device='cuda:0')","tensor(0.0008142814, device='cuda:0')"
91740,5004,125100,0.017018402433395387,0.01720424254277584,0.01708551499593311,0.19827776,"tensor(0.2079411298, device='cuda:0')","tensor(0.0020081573, device='cuda:0')"
102740,5604,140100,0.016243671810626983,0.01632040839187241,0.01628171951000697,0.25471902,"tensor(1., device='cuda:0')","tensor(0.0071686935, device='cuda:0')"
113740,6204,155100,0.016381763088703157,0.01650444184500793,0.01650223197890319,0.26011783,"tensor(0.0003865005, device='cuda:0')","tensor(0.0022870095, device='cuda:0')"
124740,6804,170100,0.01621454187631607,0.016479229480779112,0.01625735131272751,0.28518245,"tensor(0.4761758149, device='cuda:0')","tensor(0.0037178020, device='cuda:0')"
135740,7404,185100,0.015277947354316711,0.015376587937654625,0.015300765192263218,0.425071,"tensor(0.0004294736, device='cuda:0')","tensor(0.0107884752, device='cuda:0')"
