samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.023032983660697937,0.023220549964035105,0.02305081308600437,,,
11000,600,15000,0.02310886800289154,0.023293223717471865,0.023127563869604677,0.055857714,"tensor(1.4315524822e-05, device='cuda:0')","tensor(0.0081193605, device='cuda:0')"
22000,1200,30000,0.023139522886276246,0.023338056737809608,0.023155746455154343,0.10280952,"tensor(0.0886276066, device='cuda:0')","tensor(0.0225282088, device='cuda:0')"
33000,1800,45000,0.023134737157821654,0.023323290606096603,0.02315236013998697,0.11448671,"tensor(7.1054266800e-14, device='cuda:0')","tensor(0.0269052908, device='cuda:0')"
44000,2400,60000,0.02322834827899933,0.023424667908128628,0.02324502848516829,0.0763073,"tensor(7.1054269341e-15, device='cuda:0')","tensor(0.0141497953, device='cuda:0')"
45870,2502,62550,0.023156366038322447,0.023347189336593185,0.023174751699271207,0.0627942,"tensor(0.0839821026, device='cuda:0')","tensor(0.0098534860, device='cuda:0')"
56870,3102,77550,0.023186709451675416,0.02339603095881968,0.023201383700013956,0.10436695,"tensor(1.7763568394e-14, device='cuda:0')","tensor(0.0230445657, device='cuda:0')"
67870,3702,92550,0.02310462911128998,0.023280004445728936,0.023124738255242014,0.07544491,"tensor(7.1054273576e-14, device='cuda:0')","tensor(0.0133513687, device='cuda:0')"
78870,4302,107550,0.02309425845146179,0.02327794704844633,0.023112817171789226,0.082625985,"tensor(0.0805401728, device='cuda:0')","tensor(0.0162068401, device='cuda:0')"
89870,4902,122550,0.023158803033828737,0.02335060681260001,0.023176326671827945,0.081228904,"tensor(1.4210854715e-14, device='cuda:0')","tensor(0.0152636981, device='cuda:0')"
91740,5004,125100,0.023092338395118713,0.023276647961852016,0.023111195781253473,0.08315857,"tensor(1.0658140189e-14, device='cuda:0')","tensor(0.0162376072, device='cuda:0')"
102740,5604,140100,0.023074212145805358,0.023259039573998996,0.0230923847693703,0.10842834,"tensor(3.9079823362e-14, device='cuda:0')","tensor(0.0252411198, device='cuda:0')"
113740,6204,155100,0.023128303933143617,0.02331052045041719,0.023147563792874935,0.108583994,"tensor(2.8421704348e-14, device='cuda:0')","tensor(0.0256672390, device='cuda:0')"
124740,6804,170100,0.023112815165519714,0.023288395068958447,0.023133070002090615,0.08761834,"tensor(0.0881117582, device='cuda:0')","tensor(0.0176612269, device='cuda:0')"
135740,7404,185100,0.023121655607223512,0.02331604761902251,0.02313756557076959,0.0957612,"tensor(7.1054226989e-15, device='cuda:0')","tensor(0.0202374738, device='cuda:0')"
