samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.023032983660697937,0.023220549964035105,0.02305081308600437,,,
11000,300,12000,0.023009731435775758,0.023192419089199914,0.023030322180452128,0.07437694,"tensor(5.2624091040e-07, device='cuda:0')","tensor(0.0017897889, device='cuda:0')"
22000,600,24000,0.02122207304239273,0.021442051782921575,0.02129593346927236,0.42260653,"tensor(0.0007301841, device='cuda:0')","tensor(0.0241092872, device='cuda:0')"
33000,900,36000,0.020435245656967162,0.02069695587492344,0.020509258029224355,0.6661314,"tensor(0.0056252368, device='cuda:0')","tensor(0.0465387926, device='cuda:0')"
44000,1200,48000,0.019896899175643922,0.020198368986132965,0.01998296115251119,0.49088714,"tensor(0.0014280839, device='cuda:0')","tensor(0.0234951098, device='cuda:0')"
45870,1251,50040,0.019957949924468994,0.020218142108262685,0.020043524241004557,0.78667444,"tensor(0.0007287189, device='cuda:0')","tensor(0.0143748811, device='cuda:0')"
56870,1551,62040,0.01939304530620575,0.019687217475414163,0.019510428357764065,0.6081634,"tensor(0.0022747531, device='cuda:0')","tensor(0.0090221465, device='cuda:0')"
67870,1851,74040,0.01936408289670944,0.019705148832615486,0.019539091880383417,1.1736971,"tensor(0.0003093898, device='cuda:0')","tensor(0.4808956087, device='cuda:0')"
78870,2151,86040,0.018618850696086882,0.018834385349506207,0.018793067434646277,1.3305966,"tensor(0.0070276395, device='cuda:0')","tensor(0.1447129101, device='cuda:0')"
89870,2451,98040,0.018443943297863006,0.01865165844963757,0.01854332799283895,0.97525173,"tensor(0.0069431160, device='cuda:0')","tensor(0.0845395774, device='cuda:0')"
91740,2502,100080,0.017854401063919067,0.01809853861765064,0.01802542101133518,0.9422714,"tensor(0.0502527431, device='cuda:0')","tensor(0.0386019349, device='cuda:0')"
102740,2802,112080,0.018431757867336272,0.018704913018388888,0.01860277910122221,1.607364,"tensor(0.0299208630, device='cuda:0')","tensor(0.3473301828, device='cuda:0')"
113740,3102,124080,0.017480053961277008,0.017671606925170658,0.017611405254697822,0.8416169,"tensor(0.0003578914, device='cuda:0')","tensor(0.0016652718, device='cuda:0')"
124740,3402,136080,0.016952288782596588,0.01717985676208617,0.01710155131761588,0.8101658,"tensor(0.0051423013, device='cuda:0')","tensor(0.0353227071, device='cuda:0')"
135740,3702,148080,0.016991592955589295,0.017263196070817326,0.017129003123269333,1.1659721,"tensor(0.0040494185, device='cuda:0')","tensor(0.4050630331, device='cuda:0')"
