samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.023032983660697937,0.023220549964035105,0.02305081308600437,,,
11000,600,15000,0.022959445738792418,0.02313911923407822,0.02298284014708847,0.029065708,"tensor(0.2714381814, device='cuda:0')","tensor(0.0004421649, device='cuda:0')"
22000,1200,30000,0.020875275015830995,0.021104308321288887,0.02092649087739713,0.24799639,"tensor(0.0273705795, device='cuda:0')","tensor(0.0126024978, device='cuda:0')"
33000,1800,45000,0.01998672786951065,0.02027294877223726,0.020081125868211952,0.17934398,"tensor(8.3224382252e-05, device='cuda:0')","tensor(0.0033696871, device='cuda:0')"
44000,2400,60000,0.018977818202972414,0.019245541965415044,0.01910133838012685,0.1530781,"tensor(0.0325530395, device='cuda:0')","tensor(0.0017126745, device='cuda:0')"
45870,2502,62550,0.018836424291133882,0.019075371376867916,0.018940556574639143,0.17768434,"tensor(0.2392369658, device='cuda:0')","tensor(0.0032155823, device='cuda:0')"
56870,3102,77550,0.0181745534658432,0.01831940482324738,0.018274924595219916,0.20110686,"tensor(0.0040164846, device='cuda:0')","tensor(0.0032975974, device='cuda:0')"
67870,3702,92550,0.01777027895450592,0.01793516321607937,0.017892632211261195,0.18576737,"tensor(0.3003201485, device='cuda:0')","tensor(0.0051422981, device='cuda:0')"
78870,4302,107550,0.017678341722488403,0.017815717181514028,0.01781500976587952,0.2025717,"tensor(0.1561829448, device='cuda:0')","tensor(0.0024201281, device='cuda:0')"
89870,4902,122550,0.01678927992582321,0.016972204106644184,0.016925711919140645,0.18146953,"tensor(0.3292568624, device='cuda:0')","tensor(0.0004033490, device='cuda:0')"
91740,5004,125100,0.016490063333511353,0.016661541565505325,0.016610525455831,0.26906848,"tensor(0.3793773055, device='cuda:0')","tensor(0.0002075760, device='cuda:0')"
102740,5604,140100,0.01596110819578171,0.016170765145207756,0.016111049333147668,0.29100686,"tensor(0.0756869987, device='cuda:0')","tensor(0.0213313308, device='cuda:0')"
113740,6204,155100,0.016079995131492615,0.01625099265378014,0.016163285718856595,0.28210816,"tensor(0.5244760513, device='cuda:0')","tensor(0.0045817769, device='cuda:0')"
124740,6804,170100,0.015041390359401703,0.015224347819462651,0.015117435264088432,0.22006541,"tensor(0.0035611154, device='cuda:0')","tensor(0.0041467207, device='cuda:0')"
135740,7404,185100,0.014931266605854034,0.015105733346218167,0.01494487316261782,0.23584186,"tensor(0.2018205673, device='cuda:0')","tensor(0.0034253108, device='cuda:0')"
