samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.06052010890096426,0.06054396945983172,0.06053118830919266,0.09613928,,
11000,300,12000,0.05739854011684656,0.05759755928069353,0.057524735525250434,0.0048021413,"tensor(1.7747661332e-05, device='cuda:0')","tensor(0.0022128541, device='cuda:0')"
22000,600,24000,0.04532697316259146,0.045694361291825775,0.04561019390076399,0.0047112596,"tensor(2.3737149604e-05, device='cuda:0')","tensor(0.0010689694, device='cuda:0')"
33000,900,36000,0.036954904757440094,0.037461335733532906,0.03735287477076053,0.004453071,"tensor(7.6818760135e-06, device='cuda:0')","tensor(0.0011468275, device='cuda:0')"
44000,1200,48000,0.03274400794878602,0.03322306221351028,0.033073751375079154,0.0043928786,"tensor(2.3604627131e-05, device='cuda:0')","tensor(0.0013865910, device='cuda:0')"
55000,1500,60000,0.029184102807193996,0.029729753509163858,0.02960493267327547,0.004963341,"tensor(0.1003468260, device='cuda:0')","tensor(0.0016751727, device='cuda:0')"
66000,1800,72000,0.026209676265716554,0.026793745197355747,0.026639213118702175,0.0042984197,"tensor(0.0153785953, device='cuda:0')","tensor(0.0012056385, device='cuda:0')"
77000,2100,84000,0.0250647933408618,0.025667255967855452,0.025483044151216744,0.0040815324,"tensor(0.0471180454, device='cuda:0')","tensor(0.0007479989, device='cuda:0')"
88000,2400,96000,0.023064856715500355,0.023600910622626543,0.023420007780194284,0.0036811598,"tensor(0.0688281581, device='cuda:0')","tensor(0.0004191327, device='cuda:0')"
99000,2700,108000,0.021964641865342856,0.022539423760026694,0.02234659434109926,0.0040454254,"tensor(0.0527110659, device='cuda:0')","tensor(0.0012330690, device='cuda:0')"
110000,3000,120000,0.020883374810218812,0.021496567111462354,0.021239771254360676,0.004300317,"tensor(0.0626978651, device='cuda:0')","tensor(0.0011218291, device='cuda:0')"
121000,3300,132000,0.020098338164389135,0.020635981857776643,0.02041134089976549,0.0039648656,"tensor(0.1339437813, device='cuda:0')","tensor(0.0009731728, device='cuda:0')"
132000,3600,144000,0.01935529712587595,0.01987800220027566,0.01963603886589408,0.004406829,"tensor(0.1146508306, device='cuda:0')","tensor(0.0013174900, device='cuda:0')"
143000,3900,156000,0.018638888467103244,0.01914101282134652,0.018907798150554298,0.0035608879,"tensor(0.0672562569, device='cuda:0')","tensor(0.0008687237, device='cuda:0')"
154000,4200,168000,0.01787250878289342,0.018367948001250623,0.018123975314199924,0.0035787465,"tensor(0.0910302177, device='cuda:0')","tensor(0.0005781606, device='cuda:0')"
165000,4500,180000,0.017512030992656948,0.017981421137228608,0.017747642274945973,0.0041125407,"tensor(0.0449912176, device='cuda:0')","tensor(0.0013142214, device='cuda:0')"
176000,4800,192000,0.016985291140154003,0.017487308317795394,0.017255553632974624,0.0038684055,"tensor(0.0484763756, device='cuda:0')","tensor(0.0008491724, device='cuda:0')"
187000,5100,204000,0.016073747333139182,0.016532962238416077,0.016295881254598497,0.0040538274,"tensor(0.0722252354, device='cuda:0')","tensor(0.0014274286, device='cuda:0')"
198000,5400,216000,0.016385500729084016,0.016810648897662758,0.01660645434074104,0.0039291005,"tensor(0.0702187791, device='cuda:0')","tensor(0.0010054656, device='cuda:0')"
209000,5700,228000,0.015933571588248013,0.016411682488396764,0.016175713069736957,0.003890449,"tensor(0.0865899920, device='cuda:0')","tensor(0.0008352139, device='cuda:0')"
220000,6000,240000,0.014966536331921815,0.01542694954201579,0.015185015181079507,0.0036888316,"tensor(0.0719095990, device='cuda:0')","tensor(0.0009160170, device='cuda:0')"
231000,6300,252000,0.014390154276043177,0.014850661950185895,0.014604622427374125,0.003307745,"tensor(0.0265117865, device='cuda:0')","tensor(0.0005301976, device='cuda:0')"
242000,6600,264000,0.014460117314010859,0.014925574883818626,0.014664885019883514,0.0036818103,"tensor(0.0465402380, device='cuda:0')","tensor(0.0007140433, device='cuda:0')"
253000,6900,276000,0.014040401801466942,0.014441668586805463,0.014182311667129398,0.0036348014,"tensor(0.0208150148, device='cuda:0')","tensor(0.0008749492, device='cuda:0')"
264000,7200,288000,0.013674687780439853,0.014107151236385108,0.013825012654066085,0.0031798542,"tensor(0.0561707392, device='cuda:0')","tensor(0.0003140419, device='cuda:0')"
275000,7500,300000,0.01315505868755281,0.013572803679853678,0.013301240785047411,0.0038523606,"tensor(0.0521273240, device='cuda:0')","tensor(0.0010703206, device='cuda:0')"
286000,7800,312000,0.013253255747258663,0.013656264515593647,0.013386198617517948,0.0032500676,"tensor(0.0440606512, device='cuda:0')","tensor(0.0004594148, device='cuda:0')"
297000,8100,324000,0.012888879654929042,0.01330926907248795,0.013035443250089884,0.003458263,"tensor(0.0029340987, device='cuda:0')","tensor(0.0003484672, device='cuda:0')"
308000,8400,336000,0.012553315162658691,0.012937989644706249,0.012665435165166855,0.0037889846,"tensor(0.1014235020, device='cuda:0')","tensor(0.0011875120, device='cuda:0')"
319000,8700,348000,0.012606100840494038,0.012964934315532447,0.012698197605088352,0.003744018,"tensor(0.0958959982, device='cuda:0')","tensor(0.0010219010, device='cuda:0')"
330000,9000,360000,0.012128484919667244,0.012482384042814374,0.012205018429085612,0.0034835122,"tensor(0.0935828686, device='cuda:0')","tensor(0.0008422121, device='cuda:0')"
341000,9300,372000,0.0120848392508924,0.012442240146920086,0.012159843191504479,0.0033766546,"tensor(0.0472363532, device='cuda:0')","tensor(0.0006710949, device='cuda:0')"
352000,9600,384000,0.011843408467248082,0.01222501958720386,0.011956889551132917,0.0034817208,"tensor(0.0333156101, device='cuda:0')","tensor(0.0007205286, device='cuda:0')"
363000,9900,396000,0.011505269072949886,0.011854073461145163,0.011555762553587557,0.0036731875,"tensor(0.0570969395, device='cuda:0')","tensor(0.0007666000, device='cuda:0')"
374000,10200,408000,0.011409528125077485,0.011771155791357159,0.011469362270087003,0.0035331503,"tensor(0.0312445164, device='cuda:0')","tensor(0.0010524312, device='cuda:0')"
385000,10500,420000,0.011419315375387668,0.011765898372977972,0.011463128335773945,0.0036085506,"tensor(0.0306731872, device='cuda:0')","tensor(0.0011220931, device='cuda:0')"
396000,10800,432000,0.01109229632653296,0.011452501406893134,0.011142961338162422,0.0030827632,"tensor(0.0393864810, device='cuda:0')","tensor(0.0006538075, device='cuda:0')"
