samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.06052010890096426,0.06054396945983172,0.06053118830919266,,,
11000,1200,21000,0.05638594824820757,0.056619682870805266,0.05653789754956961,0.0036721702,"tensor(1.9416942450e-05, device='cuda:0')","tensor(5.2412367950e-05, device='cuda:0')"
22000,2400,42000,0.04470516331493855,0.04511690065264702,0.04502609058469534,0.004088442,"tensor(8.9173872766e-06, device='cuda:0')","tensor(0.0005242445, device='cuda:0')"
33000,3600,63000,0.03702612478286028,0.037506445161998275,0.037413781754672526,0.0049178014,"tensor(2.4988250516e-05, device='cuda:0')","tensor(0.0023856971, device='cuda:0')"
44000,4800,84000,0.03216510005295277,0.0325940976664424,0.032444572061300275,0.004840308,"tensor(2.1347492293e-05, device='cuda:0')","tensor(0.0017630758, device='cuda:0')"
55000,6000,105000,0.027970802318304778,0.028514389377087355,0.028394387513399125,0.0039943755,"tensor(2.1109855879e-05, device='cuda:0')","tensor(0.0005073939, device='cuda:0')"
66000,7200,126000,0.025963013414293527,0.02656709736213088,0.026389659877866508,0.0043137977,"tensor(0.0988395885, device='cuda:0')","tensor(0.0009610201, device='cuda:0')"
77000,8400,147000,0.023756856955587866,0.024322287756949664,0.02413477313891053,0.003782051,"tensor(6.2896892814e-06, device='cuda:0')","tensor(0.0004397105, device='cuda:0')"
88000,9600,168000,0.022409026380628347,0.022961653750389815,0.022773343488574026,0.0048963176,"tensor(1.3948454580e-05, device='cuda:0')","tensor(0.0019459338, device='cuda:0')"
99000,10800,189000,0.02135338295251131,0.02190504448488355,0.02169704344123602,0.004287795,"tensor(0.1263091564, device='cuda:0')","tensor(0.0010511306, device='cuda:0')"
110000,12000,210000,0.020448054280132057,0.021040849909186362,0.020807830058038233,0.0039021936,"tensor(0.0484570116, device='cuda:0')","tensor(0.0006258658, device='cuda:0')"
121000,13200,231000,0.019321196395903826,0.019885596334934235,0.019638404626399278,0.0035178096,"tensor(0.0630534813, device='cuda:0')","tensor(0.0003857191, device='cuda:0')"
132000,14400,252000,0.018502034414559602,0.019041416253894567,0.018806743286550045,0.00386743,"tensor(7.8032899182e-06, device='cuda:0')","tensor(0.0003686852, device='cuda:0')"
143000,15600,273000,0.017913479320704938,0.018417316377162932,0.018180588960647583,0.003422753,"tensor(0.0676333383, device='cuda:0')","tensor(0.0005025510, device='cuda:0')"
154000,16800,294000,0.017587639773264527,0.01806820271536708,0.017816521784290672,0.0037153058,"tensor(0.0853122994, device='cuda:0')","tensor(0.0006002530, device='cuda:0')"
165000,18000,315000,0.016667366297915577,0.01713254236616194,0.016897583657875657,0.0037021905,"tensor(0.1013759151, device='cuda:0')","tensor(0.0007367087, device='cuda:0')"
176000,19200,336000,0.016413655132055283,0.01689949003979564,0.0166559048127383,0.0037034624,"tensor(0.0486081727, device='cuda:0')","tensor(0.0007216742, device='cuda:0')"
187000,20400,357000,0.016024680342525244,0.016539942836388946,0.01631019621901214,0.0037622922,"tensor(0.0317770019, device='cuda:0')","tensor(0.0008807163, device='cuda:0')"
198000,21600,378000,0.015856535555794835,0.01635542929172516,0.016080480659380555,0.003541948,"tensor(0.1052855998, device='cuda:0')","tensor(0.0005972773, device='cuda:0')"
209000,22800,399000,0.014849219564348459,0.015264618163928389,0.015027989679947496,0.0036682996,"tensor(0.1130920276, device='cuda:0')","tensor(0.0007087920, device='cuda:0')"
220000,24000,420000,0.01426053793169558,0.014705143421888351,0.014448312744498253,0.0031382965,"tensor(0.0262113642, device='cuda:0')","tensor(0.0002269273, device='cuda:0')"
231000,25200,441000,0.013956678556278348,0.014378030030056834,0.01411533686518669,0.0032702195,"tensor(0.0508850738, device='cuda:0')","tensor(0.0003060684, device='cuda:0')"
242000,26400,462000,0.014000400500372052,0.014412595797330141,0.014149871012195945,0.0037621518,"tensor(0.0347736925, device='cuda:0')","tensor(0.0008714646, device='cuda:0')"
253000,27600,483000,0.01345892608165741,0.013853517454117536,0.013583346344530582,0.0036893683,"tensor(0.1359950304, device='cuda:0')","tensor(0.0006562823, device='cuda:0')"
264000,28800,504000,0.013270016051828861,0.013677834393456578,0.013400297924876212,0.003892201,"tensor(0.0957251564, device='cuda:0')","tensor(0.0007621737, device='cuda:0')"
275000,30000,525000,0.013088193470612169,0.013481309851631523,0.013208007201552392,0.003971836,"tensor(0.1813997179, device='cuda:0')","tensor(0.0010387126, device='cuda:0')"
286000,31200,546000,0.012713697664439678,0.013073419211432338,0.012800295924767852,0.0031916301,"tensor(0.0662043169, device='cuda:0')","tensor(0.0002640113, device='cuda:0')"
297000,32400,567000,0.012139940755441786,0.0125346433930099,0.012251068968325854,0.0039373864,"tensor(0.0486109629, device='cuda:0')","tensor(0.0008607134, device='cuda:0')"
308000,33600,588000,0.0120978993922472,0.012468134388327598,0.012181620452553034,0.0030899167,"tensor(0.0535137206, device='cuda:0')","tensor(0.0004844001, device='cuda:0')"
319000,34800,609000,0.01204623183235526,0.012390838479623198,0.01209302302263677,0.0033172073,"tensor(0.0189751685, device='cuda:0')","tensor(0.0004551664, device='cuda:0')"
330000,36000,630000,0.011788734747096897,0.012166290637105703,0.011852090181782841,0.0035473173,"tensor(0.0744774342, device='cuda:0')","tensor(0.0007384772, device='cuda:0')"
341000,37200,651000,0.011731640361249447,0.012077991049736739,0.011797681342810392,0.003404566,"tensor(0.1206490174, device='cuda:0')","tensor(0.0006027478, device='cuda:0')"
352000,38400,672000,0.011411946434527635,0.011742576342076063,0.011440300857648253,0.0029707786,"tensor(0.0588856675, device='cuda:0')","tensor(0.0003080326, device='cuda:0')"
363000,39600,693000,0.011004246156662702,0.011332806255668402,0.011044097270816565,0.003208498,"tensor(0.1045744196, device='cuda:0')","tensor(0.0004509297, device='cuda:0')"
374000,40800,714000,0.01093254298903048,0.011256443010643125,0.01094413447380066,0.0032716752,"tensor(0.1356864870, device='cuda:0')","tensor(0.0004415048, device='cuda:0')"
