samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.011276457953453063,0.008875335374266402,0.008861852940770099,,,
20000,403,40300,0.010856136059761047,0.008216472847272316,0.008108377091878777,0.48783222,"tensor(0.0382781103, device='cuda:0')","tensor(0.0031088002, device='cuda:0')"
40000,803,80300,0.010821925938129424,0.008184759028100385,0.007948987558251616,0.5343543,"tensor(0.0703597963, device='cuda:0')","tensor(0.0034895297, device='cuda:0')"
60000,1203,120300,0.010811113321781158,0.008163216690780278,0.007830859326380142,0.52843475,"tensor(0.3097987771, device='cuda:0')","tensor(0.0034586324, device='cuda:0')"
80000,1603,160300,0.010768622648715974,0.008163962199415039,0.0077460908125292945,0.55281544,"tensor(0.1083916128, device='cuda:0')","tensor(0.0036610547, device='cuda:0')"
83400,1671,167100,0.010788911646604537,0.00818864390064493,0.00775953592721015,0.57750785,"tensor(0.0331010781, device='cuda:0')","tensor(0.0039851414, device='cuda:0')"
103400,2071,207100,0.010856700205802917,0.008174583562592794,0.007669763414885979,0.48359954,"tensor(0.3949180245, device='cuda:0')","tensor(0.0030907770, device='cuda:0')"
123400,2471,247100,0.01081420550942421,0.00814164447961793,0.007599770266043953,0.56422424,"tensor(0.3162937462, device='cuda:0')","tensor(0.0037481294, device='cuda:0')"
143400,2871,287100,0.01080429955124855,0.00819881216410341,0.007564795596322742,0.534113,"tensor(0.2172179669, device='cuda:0')","tensor(0.0035214727, device='cuda:0')"
163400,3271,327100,0.010769777834415436,0.008208773635061405,0.007511380108400857,0.5233821,"tensor(1., device='cuda:0')","tensor(0.0034335090, device='cuda:0')"
166800,3339,333900,0.010806630009412765,0.008222714964079577,0.0074889956324075205,0.59523517,"tensor(0.0841337070, device='cuda:0')","tensor(0.0040001930, device='cuda:0')"
186800,3739,373900,0.010848841786384582,0.008248052201970234,0.007470479467246671,0.5118348,"tensor(0.4392020106, device='cuda:0')","tensor(0.0033426438, device='cuda:0')"
206800,4139,413900,0.010873042726516723,0.008251832226411541,0.0073748028105828384,0.55742294,"tensor(0.0735860765, device='cuda:0')","tensor(0.0037810963, device='cuda:0')"
226800,4539,453900,0.010824532282352448,0.008252537326329842,0.007336364339369942,0.599253,"tensor(0.9070289135, device='cuda:0')","tensor(0.0040584290, device='cuda:0')"
246800,4939,493900,0.01080593039393425,0.008217419298083655,0.007238276687985861,0.6525472,"tensor(0.1150416061, device='cuda:0')","tensor(0.0046512098, device='cuda:0')"
250200,5007,500700,0.010842044079303741,0.008266830497260628,0.007274867680574845,0.56303555,"tensor(0.0569270216, device='cuda:0')","tensor(0.0037014345, device='cuda:0')"
270200,5407,540700,0.010921174937486648,0.00830470462883294,0.007269484179216655,0.5390842,"tensor(0.2624195814, device='cuda:0')","tensor(0.0035613657, device='cuda:0')"
