samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.011276457953453063,0.008875335374266402,0.008861852940770099,,,
11000,1200,21000,0.011566567784547805,0.00962664802382826,0.009126520990003564,0.52909696,"tensor(0.0334002078, device='cuda:0')","tensor(0.0207650959, device='cuda:0')"
22000,2400,42000,0.011558144038915634,0.010149298524982442,0.009482001552189019,0.536741,"tensor(0.0267148633, device='cuda:0')","tensor(0.0221677460, device='cuda:0')"
33000,3600,63000,0.011298017501831055,0.009742977037285626,0.00891592956731433,0.54148424,"tensor(0.0132146198, device='cuda:0')","tensor(0.0168731250, device='cuda:0')"
44000,4800,84000,0.011373285204172134,0.010034779149735893,0.008916919132307374,0.52445424,"tensor(0.0449740589, device='cuda:0')","tensor(0.0170319602, device='cuda:0')"
45870,5004,87570,0.011664643108844757,0.010301404500539737,0.009158264192749545,0.5185213,"tensor(0.0129724285, device='cuda:0')","tensor(0.0018964584, device='cuda:0')"
56870,6204,108570,0.011238362091779709,0.009878712769518202,0.008424068332113272,0.51413554,"tensor(0.0150806857, device='cuda:0')","tensor(0.0263426099, device='cuda:0')"
67870,7404,129570,0.011476590663194657,0.010186827172756997,0.008707111712545335,0.5434891,"tensor(0.0130389491, device='cuda:0')","tensor(0.0193736646, device='cuda:0')"
78870,8604,150570,0.011262831091880799,0.010295714288127488,0.008591693659496623,0.47487155,"tensor(0.0708507970, device='cuda:0')","tensor(0.0178261455, device='cuda:0')"
89870,9804,171570,0.01098530461192131,0.009824785356301897,0.008031611308410406,0.4840253,"tensor(0.0845924541, device='cuda:0')","tensor(0.0131366123, device='cuda:0')"
91740,10008,175140,0.011207131469249725,0.009994465883670164,0.0083584453763423,0.57496697,"tensor(0.0131730726, device='cuda:0')","tensor(0.0207240786, device='cuda:0')"
102740,11208,196140,0.011383536285161972,0.010144165116075077,0.008028948066135367,0.57074434,"tensor(0.0234260522, device='cuda:0')","tensor(0.0229760073, device='cuda:0')"
113740,12408,217140,0.011418757253885269,0.010227990874232564,0.00807807310683954,0.54979306,"tensor(0.0269064717, device='cuda:0')","tensor(0.0271778535, device='cuda:0')"
124740,13608,238140,0.011452090030908585,0.010408728449413866,0.008160178104468018,0.5241642,"tensor(0.0264213309, device='cuda:0')","tensor(0.0273559690, device='cuda:0')"
135740,14808,259140,0.011705161166191101,0.010787998454187996,0.008438864280365778,0.59978604,"tensor(0.0741768926, device='cuda:0')","tensor(0.0130202146, device='cuda:0')"
137610,15012,262710,0.011209283035993577,0.010202369995760295,0.007925642675131893,0.50871533,"tensor(0.0311390925, device='cuda:0')","tensor(0.0273687001, device='cuda:0')"
148610,16212,283710,0.011324676489830017,0.01022135542684646,0.007525574118549834,0.46572655,"tensor(0.0123514198, device='cuda:0')","tensor(0.0250447597, device='cuda:0')"
159610,17412,304710,0.011613944160938264,0.010685800747932048,0.007843990968066,0.551689,"tensor(0.0075103072, device='cuda:0')","tensor(0.0176510736, device='cuda:0')"
170610,18612,325710,0.011372022873163223,0.010230360462821757,0.007322459037520336,0.5248504,"tensor(0.0317482948, device='cuda:0')","tensor(0.0323239863, device='cuda:0')"
181610,19812,346710,0.0121270902633667,0.01111094434398068,0.008143057700241029,0.60578835,"tensor(0.0061901528, device='cuda:0')","tensor(0.0307483003, device='cuda:0')"
183480,20016,350280,0.01157607456445694,0.010592680856252935,0.007646832426127748,0.6416062,"tensor(0.0267719235, device='cuda:0')","tensor(0.0232926868, device='cuda:0')"
194480,21216,371280,0.01161096066236496,0.010608094707506866,0.007151460096684225,0.49067375,"tensor(0.0070212735, device='cuda:0')","tensor(0.0265247393, device='cuda:0')"
205480,22416,392280,0.01177167637348175,0.010784613777185361,0.007260440854534599,0.5307525,"tensor(0.0425573699, device='cuda:0')","tensor(0.0268565230, device='cuda:0')"
216480,23616,413280,0.011435986131429671,0.010477215080258942,0.006832378158840337,0.55395323,"tensor(0.0224819798, device='cuda:0')","tensor(0.0199200828, device='cuda:0')"
227480,24816,434280,0.01175596221089363,0.01082778552724556,0.007358953018421482,0.50896585,"tensor(0.0360364020, device='cuda:0')","tensor(0.0242944248, device='cuda:0')"
229350,25020,437850,0.011241646641492844,0.010551354189642276,0.0068128749142399,0.5330803,"tensor(0.0081282351, device='cuda:0')","tensor(0.0284632817, device='cuda:0')"
240350,26220,458850,0.012481509506702423,0.011483204144495466,0.007355871319095601,0.58089805,"tensor(0.0331061445, device='cuda:0')","tensor(0.0307851583, device='cuda:0')"
251350,27420,479850,0.012142746543884277,0.011151159241641772,0.006908559800052657,0.6252971,"tensor(0.0313014202, device='cuda:0')","tensor(0.0249268729, device='cuda:0')"
262350,28620,500850,0.011915934145450592,0.010795199280309253,0.006767059289613139,0.51156205,"tensor(0.0200230684, device='cuda:0')","tensor(0.0311087072, device='cuda:0')"
273350,29820,521850,0.0116007577419281,0.010757987064968519,0.006611372659136924,0.5101773,"tensor(0.0321915895, device='cuda:0')","tensor(0.0264434274, device='cuda:0')"
275220,30024,525420,0.011782667618989945,0.010883186142136217,0.00656543937377406,0.52533454,"tensor(0.0229049418, device='cuda:0')","tensor(0.0293044094, device='cuda:0')"
286220,31224,546420,0.012454502648115158,0.011425358337379916,0.006429769828688856,0.567228,"tensor(0.0293726958, device='cuda:0')","tensor(0.0319212899, device='cuda:0')"
297220,32424,567420,0.01273600212931633,0.011503161265748796,0.00645149922794921,0.5322841,"tensor(0.0168699063, device='cuda:0')","tensor(0.0103803379, device='cuda:0')"
308220,33624,588420,0.012001295280456544,0.010950986182400726,0.006222066955291057,0.60245675,"tensor(0.0609620996, device='cuda:0')","tensor(0.0254141334, device='cuda:0')"
319220,34824,609420,0.01204849312901497,0.011357431170578223,0.006355517938992743,0.5314585,"tensor(0.1765874326, device='cuda:0')","tensor(0.0333108865, device='cuda:0')"
