samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.011276457953453063,0.008875335374266402,0.008861852940770099,,,
11000,1200,21000,0.01085417817234993,0.008210770755412626,0.008107977732461682,0.4934382,"tensor(0.0521004088, device='cuda:0')","tensor(0.0030681831, device='cuda:0')"
22000,2400,42000,0.010827049666643144,0.008176168757203617,0.007955103138431221,0.5226179,"tensor(0.0135893486, device='cuda:0')","tensor(0.0032686766, device='cuda:0')"
33000,3600,63000,0.01081350213289261,0.008152609903348387,0.007836858824418315,0.5217287,"tensor(0.0343400501, device='cuda:0')","tensor(0.0034575979, device='cuda:0')"
44000,4800,84000,0.010770745551586152,0.008149978215957048,0.007741582248876163,0.55193734,"tensor(0.0163445044, device='cuda:0')","tensor(0.0037994920, device='cuda:0')"
45870,5004,87570,0.010796575677394867,0.008190407279815381,0.007759498420029683,0.5862839,"tensor(0.0308890436, device='cuda:0')","tensor(0.0039221575, device='cuda:0')"
56870,6204,108570,0.01080874760746956,0.008145495494664473,0.0076644621427887855,0.500695,"tensor(0.0111040538, device='cuda:0')","tensor(0.0032578581, device='cuda:0')"
67870,7404,129570,0.010867500138282776,0.00822520591470587,0.0076415759648042125,0.57874566,"tensor(0.0118877217, device='cuda:0')","tensor(0.0039176745, device='cuda:0')"
78870,8604,150570,0.010773965328931809,0.008187268520248345,0.007536744823785635,0.5330378,"tensor(0.0693737268, device='cuda:0')","tensor(0.0034216517, device='cuda:0')"
89870,9804,171570,0.010828773450851441,0.008192550314968943,0.0075099997285724696,0.60049176,"tensor(0.0591511540, device='cuda:0')","tensor(0.0040761819, device='cuda:0')"
91740,10008,175140,0.01079427084326744,0.00821230856096942,0.00750907500183417,0.5888279,"tensor(0.0190776438, device='cuda:0')","tensor(0.0042148354, device='cuda:0')"
102740,11208,196140,0.01082497232556343,0.008182639172530901,0.007415122033933668,0.5436414,"tensor(0.0384761654, device='cuda:0')","tensor(0.0036906886, device='cuda:0')"
113740,12408,217140,0.010856427049636842,0.00825797812040973,0.0073970660523652336,0.6684711,"tensor(0.0747324377, device='cuda:0')","tensor(0.0047632996, device='cuda:0')"
124740,13608,238140,0.010820951706171035,0.00827397768349278,0.007306974352776549,0.5468348,"tensor(0.0210708492, device='cuda:0')","tensor(0.0036094959, device='cuda:0')"
135740,14808,259140,0.010818342483043671,0.008214124550143104,0.007248589772135069,0.5680839,"tensor(0.0604754686, device='cuda:0')","tensor(0.0036471914, device='cuda:0')"
137610,15012,262710,0.010768691927194596,0.008263560724052446,0.007244634331030858,0.66532123,"tensor(0.1858256012, device='cuda:0')","tensor(0.0047020204, device='cuda:0')"
148610,16212,283710,0.010807188558578491,0.008237562499688288,0.007198032539793678,0.50617546,"tensor(0.0206910465, device='cuda:0')","tensor(0.0032432599, device='cuda:0')"
159610,17412,304710,0.01079275871515274,0.008315120701427108,0.00717275410279741,0.5436438,"tensor(0.0383843146, device='cuda:0')","tensor(0.0037011371, device='cuda:0')"
170610,18612,325710,0.010860865920782089,0.008271084161922748,0.007118424123610593,0.5690197,"tensor(0.0538861752, device='cuda:0')","tensor(0.0038529348, device='cuda:0')"
181610,19812,346710,0.010876767176389694,0.008298151665292314,0.0070745329003015205,0.62903976,"tensor(0.0272747353, device='cuda:0')","tensor(0.0039328039, device='cuda:0')"
183480,20016,350280,0.010859965467453003,0.008272597193002757,0.00705036545777718,0.5971435,"tensor(0.1162268221, device='cuda:0')","tensor(0.0040351273, device='cuda:0')"
194480,21216,371280,0.01092212707400322,0.008351925990265109,0.007063833659852123,0.54827356,"tensor(0.0160576794, device='cuda:0')","tensor(0.0034049817, device='cuda:0')"
205480,22416,392280,0.010862615066766739,0.008318893759834816,0.006957453014795341,0.54032445,"tensor(0.1103779897, device='cuda:0')","tensor(0.0035561193, device='cuda:0')"
216480,23616,413280,0.01090856659412384,0.008324559362265942,0.006931159344012685,0.6320044,"tensor(0.0215279441, device='cuda:0')","tensor(0.0042382451, device='cuda:0')"
227480,24816,434280,0.010929284989833832,0.008409477357301376,0.006966183743399962,0.6037685,"tensor(0.0632677972, device='cuda:0')","tensor(0.0042487751, device='cuda:0')"
229350,25020,437850,0.010832247507572173,0.008324376264292473,0.006867929017761806,0.5934543,"tensor(0.0108570317, device='cuda:0')","tensor(0.0040494455, device='cuda:0')"
240350,26220,458850,0.010972013515233994,0.008445529821023742,0.006895126076001667,0.64966977,"tensor(0.0273329057, device='cuda:0')","tensor(0.0046895337, device='cuda:0')"
251350,27420,479850,0.01103416999578476,0.00851791301790919,0.0068909746931752,0.5681258,"tensor(0.0384704806, device='cuda:0')","tensor(0.0038498456, device='cuda:0')"
262350,28620,500850,0.011066099536418916,0.008484944554579066,0.006786175683388952,0.57383996,"tensor(0.1262602508, device='cuda:0')","tensor(0.0039297445, device='cuda:0')"
273350,29820,521850,0.010903342026472092,0.008466332778960417,0.006762708584711715,0.52189845,"tensor(0.0526081882, device='cuda:0')","tensor(0.0033992135, device='cuda:0')"
275220,30024,525420,0.011006261903047562,0.008452124287534567,0.006755921179102803,0.6198935,"tensor(0.0176790226, device='cuda:0')","tensor(0.0044226404, device='cuda:0')"
286220,31224,546420,0.010981025683879852,0.008414958495729857,0.006670715204267365,0.5860775,"tensor(0.1473096162, device='cuda:0')","tensor(0.0040481063, device='cuda:0')"
297220,32424,567420,0.011073478788137437,0.008508086075793075,0.006660686963828945,0.5716948,"tensor(0.0673229545, device='cuda:0')","tensor(0.0038987629, device='cuda:0')"
308220,33624,588420,0.011026835626363755,0.008512322525626783,0.006666152689441261,0.5865329,"tensor(0.0124132801, device='cuda:0')","tensor(0.0040439018, device='cuda:0')"
319220,34824,609420,0.011033747392892838,0.00853193708109232,0.006593931720082051,0.5983496,"tensor(0.1698533744, device='cuda:0')","tensor(0.0041348450, device='cuda:0')"
321090,35028,612990,0.011068315786123276,0.008541497568847294,0.006593551605643745,0.54861575,"tensor(0.0311210621, device='cuda:0')","tensor(0.0037265592, device='cuda:0')"
332090,36228,633990,0.011131334537267685,0.008589976839318903,0.006578651024531581,0.64692205,"tensor(0.0101271542, device='cuda:0')","tensor(0.0046895877, device='cuda:0')"
343090,37428,654990,0.011105655539035798,0.008575423754517454,0.006548057633092204,0.5819942,"tensor(0.0398214385, device='cuda:0')","tensor(0.0039957678, device='cuda:0')"
354090,38628,675990,0.01112869399189949,0.008585915888474375,0.006470905631095398,0.6460619,"tensor(0.0231554415, device='cuda:0')","tensor(0.0046849474, device='cuda:0')"
365090,39828,696990,0.011176284265518189,0.008602056510161804,0.006429307917726198,0.6107345,"tensor(0.3316753805, device='cuda:0')","tensor(0.0044213138, device='cuda:0')"
366960,40032,700560,0.01115226809978485,0.008584676234877192,0.006394517417144702,0.73307496,"tensor(0.0289313663, device='cuda:0')","tensor(0.0051298151, device='cuda:0')"
