samples,computations,losses,val_losses,train_losses
0,0,0.03990852281451225,0.04055232062935829,0.04006084344908595
10000,100,0.040228808410465715,0.04077217765152454,0.040308253608644005
20000,200,0.040163529962301256,0.040761379338800904,0.04019282988458872
30000,300,0.039824100024998185,0.04043264903128147,0.039884023725986484
40000,400,0.039600952193140984,0.04029988490045071,0.039717889662832025
50000,500,0.03949238708242774,0.040035374127328396,0.03948680426552892
60000,600,0.040160116143524646,0.04083531316369772,0.04024143411964178
70000,700,0.03933374799787998,0.04005173951387406,0.039461430814117196
80000,800,0.03932640701532364,0.039916142895817755,0.03936552193760872
90000,900,0.039652544185519216,0.04014095703139901,0.03949017284810543
100000,1000,0.03948268264532089,0.04002352379262447,0.0394105481505394
110000,1100,0.0395168012753129,0.039969540759921075,0.03935945639759302
120000,1200,0.03944965671747923,0.04003802854567766,0.03941459998488426
130000,1300,0.03960954505950212,0.04010788941755891,0.03942644429579377
140000,1400,0.039520133771002296,0.04003683056682348,0.03936855162680149
150000,1500,0.039239682666957376,0.039748575761914255,0.039079333815723656
160000,1600,0.039342116415500644,0.039948236085474494,0.0391854451932013
170000,1700,0.03936315570026636,0.039775161854922775,0.03916526058316231
180000,1800,0.039305878393352034,0.039881220161914824,0.03916751125454903
190000,1900,0.03982415650039911,0.04027031481266022,0.039634703405201435
200000,2000,0.039180747494101525,0.03970444921404123,0.038979149539023636
210000,2100,0.039048935696482656,0.039656396992504596,0.03895388763025403
220000,2200,0.03916270222514868,0.03957531206309795,0.03887480533868074
230000,2300,0.039200108349323276,0.039702159613370896,0.03892501100152731
240000,2400,0.039233392588794234,0.03980711501091719,0.039132119137793776
250000,2500,0.039164946749806404,0.039752123579382896,0.03899073718488216
260000,2600,0.03943709827959538,0.0399922002106905,0.0391704076603055
270000,2700,0.0392984751239419,0.039758297801017764,0.03898996482044458
280000,2800,0.039400236047804356,0.03981523662805557,0.0391342046186328
290000,2900,0.039390200637280944,0.039851754754781726,0.03911797259002924
300000,3000,0.039128536675125364,0.039618771802634,0.03881790240108967
310000,3100,0.0393761583417654,0.039731081053614614,0.03893017496913671
320000,3200,0.0391106709651649,0.0396230311319232,0.03879803611338139
330000,3300,0.03919756105169654,0.03966670483350754,0.03883652164041996
340000,3400,0.03944355726242065,0.039947517402470115,0.0391872420758009
350000,3500,0.038984849974513056,0.03945226293057203,0.03872700965777039
360000,3600,0.039316984824836254,0.039636613838374614,0.03892904914915562
370000,3700,0.03904749695211649,0.03961166653782129,0.03880686285346747
380000,3800,0.03895313400775194,0.039514472149312495,0.038682107668370005
390000,3900,0.0391209757886827,0.039581634141504764,0.03878935359045863
400000,4000,0.039107192680239676,0.03961300186812878,0.03879420391097665
410000,4100,0.03916423572227359,0.039754258394241335,0.03887718236073852
420000,4200,0.039098987858742475,0.039625067971646784,0.038800005942583086
430000,4300,0.039307012744247916,0.03970191419124603,0.03896424262598157
440000,4400,0.03907774351537228,0.039499695561826226,0.03868095378577709
450000,4500,0.039302407391369344,0.039719444885849955,0.03884999735280872
460000,4600,0.03908378165215254,0.039596494659781455,0.03871918096393347
470000,4700,0.039335622377693655,0.03974403567612171,0.03894272483885288
480000,4800,0.03905510295182466,0.03956476103514433,0.03873052622750402
490000,4900,0.03900739941745997,0.03960417728871107,0.038693532533943656
500000,5000,0.03918571427464485,0.03961047422140837,0.038743446353822944
510000,5100,0.039402668457478286,0.039788456708192824,0.03893735335022211
520000,5200,0.03910857832059264,0.03957502257078886,0.03881014231964946
530000,5300,0.039358395896852014,0.0396902409940958,0.03887488675862551
540000,5400,0.03886670993641019,0.03945041600614786,0.03858337560296059
550000,5500,0.03920916544273496,0.03971307959407568,0.03878051284328103
560000,5600,0.03916177434846759,0.0397283061593771,0.038835739724338056
570000,5700,0.03907180119305849,0.03954581305384636,0.038686020221561195
580000,5800,0.039082354567945,0.039527943432331084,0.03870162088051438
590000,5900,0.038883435819298026,0.03940995275974274,0.03858770288899541
600000,6000,0.03950246095657348,0.039917669929564,0.03897900100797415
610000,6100,0.038936101049184796,0.039383530970662835,0.038554322510957716
620000,6200,0.039147307872772215,0.03967597212642431,0.03880515981093049
630000,6300,0.03905177384614945,0.03956152465194464,0.038718245919793844
640000,6400,0.0389401987567544,0.03942655425518751,0.03851826899498701
650000,6500,0.03923999218270183,0.03977413926273585,0.0388159004189074
660000,6600,0.03945990327745676,0.039833858869969846,0.03898964774236083
670000,6700,0.03899839755147696,0.03955678660422564,0.03866058538481593
680000,6800,0.03919331733137369,0.039652526825666425,0.03874180674925447
690000,6900,0.03895964730530977,0.03933033626526594,0.03846547006443143
700000,7000,0.039068555384874346,0.03969932530075312,0.038736135352402924
710000,7100,0.03934872653335333,0.039922369718551634,0.03892822199687362
720000,7200,0.03916068699210882,0.03958886500447988,0.038658467952162025
730000,7300,0.03897449074313045,0.039459940008819104,0.03850305324792862
740000,7400,0.03893068447709083,0.0394451754540205,0.038525107484310865
750000,7500,0.039043703619390725,0.039607024788856506,0.03868384031206369
760000,7600,0.0392799492366612,0.03977618932723999,0.038837491683661934
770000,7700,0.03892390731722117,0.03950559481978416,0.03855823144316673
780000,7800,0.03919217001646757,0.03958283569663763,0.03878300687670708
790000,7900,0.03907863438129425,0.03955116763710976,0.03861746570467949
800000,8000,0.0390021114051342,0.039547470211982724,0.03867347128689289
810000,8100,0.03917175922542811,0.03969760127365589,0.03875334899127483
820000,8200,0.038924349043518304,0.03944068666547537,0.03849622297659516
830000,8300,0.039228202141821385,0.03961798503994942,0.0387319795191288
840000,8400,0.038940907157957554,0.039445962496101855,0.03856463052332401
850000,8500,0.0389283387362957,0.03948638629168272,0.03852075964957476
860000,8600,0.03898470614105463,0.03964275434613228,0.038669251892715695
870000,8700,0.03916563183069229,0.039706081226468085,0.038782906379550695
880000,8800,0.03944611210376024,0.03976242557168007,0.038900996871292594
890000,8900,0.03889225447550416,0.03935413539409637,0.03847761886566877
900000,9000,0.03934598684310913,0.03970385506749153,0.03883436903357506
910000,9100,0.03903491739183664,0.03962972771376371,0.0386625606790185
920000,9200,0.03911397088319063,0.039628753811120986,0.03861303057149053
930000,9300,0.038998893424868585,0.03957346294075251,0.038571366023272276
940000,9400,0.03893006231635809,0.03940960686653852,0.038452619656920435
950000,9500,0.03914433483034372,0.039609362967312337,0.03868932139500975
960000,9600,0.03933153569698334,0.03981957852840424,0.03890016445890069
970000,9700,0.03914670519530773,0.03957655556499958,0.038692536637187004
980000,9800,0.03894715819507837,0.03941161474213004,0.03845719508454203
990000,9900,0.03925167866051197,0.0397158020734787,0.03876991303265095
1000000,10000,0.039259393587708476,0.03980747353285551,0.03881223402544856
1010000,10100,0.03931844986975193,0.03973923332989216,0.03875265331566334
1020000,10200,0.03915548350661993,0.03960477951914072,0.03861572048813105
1030000,10300,0.039088624007999895,0.03963649846613407,0.03870992084592581
1040000,10400,0.03906255627050996,0.03954578954726458,0.03858310927823186
1050000,10500,0.038961016945540904,0.039351731166243555,0.03848745252192021
1060000,10600,0.039060350880026816,0.039677121713757514,0.03868126875162125
1070000,10700,0.039057579338550565,0.03947804890573025,0.0385068342462182
1080000,10800,0.03914005784317851,0.03961380444467068,0.03867817705124617
1090000,10900,0.03899827439337969,0.03940029639750719,0.03844607818126679
1100000,11000,0.03896009534597397,0.0396653775498271,0.038648821845650674
1110000,11100,0.039077692329883576,0.039508029073476794,0.03854761728271842
1120000,11200,0.03917708210647106,0.039668697230517865,0.03872058592736721
1130000,11300,0.03907364770770073,0.0396466700732708,0.03876889233663678
1140000,11400,0.038872874937951565,0.03932571232318878,0.038402466837316754
1150000,11500,0.03943227257579565,0.03999695800244808,0.03898030410706997
1160000,11600,0.03932309240102768,0.03972564660012722,0.038759664688259365
1170000,11700,0.039058042168617246,0.039650382846593855,0.03865839061513543
1180000,11800,0.0389320619404316,0.03945521017536521,0.03846504186838865
1190000,11900,0.03904997285455465,0.03953229101374745,0.03856146756932139
1200000,12000,0.03889709960669279,0.03938645862042904,0.038409722201526164
1210000,12100,0.03912442371249199,0.039591473937034605,0.038621973529458044
1220000,12200,0.03899978928267956,0.03953749170526862,0.03861673950403929
1230000,12300,0.03936836112290621,0.03977290518581867,0.03882961617410183
1240000,12400,0.039112895764410495,0.039474215619266034,0.03852013325691223
1250000,12500,0.038981497138738636,0.039594896994531156,0.0385414581745863
1260000,12600,0.03942174654453993,0.03987862404435873,0.0389611802957952
1270000,12700,0.03893200619146228,0.03949605535715819,0.038532008558511736
1280000,12800,0.03885217595845461,0.03936989597976208,0.03843071573227644
1290000,12900,0.03910823903977871,0.03952530600130558,0.038601438477635384
1300000,13000,0.03972235944122076,0.04021112352609634,0.039215063631534576
1310000,13100,0.038952196910977364,0.03955930054187775,0.038598643388599155
1320000,13200,0.03938924623653293,0.0398532746732235,0.03881294035539031
1330000,13300,0.03927718162536621,0.039802091717720034,0.03883871316537261
1340000,13400,0.03884533680975437,0.03945660620927811,0.0384806965328753
1350000,13500,0.039306137040257455,0.03974177993834019,0.03874190238118172
1360000,13600,0.039031160548329356,0.039508639648556707,0.03854899061843753
1370000,13700,0.03938572123646736,0.03977327715605497,0.03875990905240178
1380000,13800,0.03908414462581277,0.03962076500058174,0.03855306448042393
1390000,13900,0.039050633739680055,0.0395425271242857,0.03852660747244954
1400000,14000,0.03923383755609393,0.03956458676606417,0.038604080911725756
1410000,14100,0.03934945475310087,0.03996639534831047,0.038927239254117015
1420000,14200,0.03898821484297514,0.039620625339448455,0.03856351602077484
1430000,14300,0.03912610024213791,0.03956953465938568,0.03860995512828231
1440000,14400,0.03914577580988407,0.03959725910797715,0.03860260912775993
1450000,14500,0.03911707032471895,0.03950971532613039,0.03856149610131979
1460000,14600,0.03900371089577675,0.03943309690803289,0.03841262055560946
1470000,14700,0.039093737192451954,0.03963774973526597,0.03858798152580857
