samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.039908522889018055,0.039526534005999564,0.0402660006172955,,,
11000,1200,21000,0.0397668357938528,0.039485573656857016,0.040102356940507886,0.11221885,"tensor(0.1124560460, device='cuda:0')","tensor(0.0004465977, device='cuda:0')"
22000,2400,42000,0.03977288328111172,0.039415872246026995,0.04009978960454464,0.11320633,"tensor(0.0693717003, device='cuda:0')","tensor(0.0004519523, device='cuda:0')"
33000,3600,63000,0.03985112264752388,0.039585434943437574,0.04018835388123989,0.14112836,"tensor(0.5149062276, device='cuda:0')","tensor(0.0006238879, device='cuda:0')"
44000,4800,84000,0.03962037425488234,0.03940909853205085,0.04003112499415874,0.15380263,"tensor(0.4773204923, device='cuda:0')","tensor(0.0006826075, device='cuda:0')"
55000,6000,105000,0.03969608299434185,0.03946155158802867,0.040069091252982615,0.15134297,"tensor(0.3952343762, device='cuda:0')","tensor(0.0006661469, device='cuda:0')"
66000,7200,126000,0.03966388247907162,0.03939733605831861,0.03996923869848251,0.1279686,"tensor(0.2444448769, device='cuda:0')","tensor(0.0005352279, device='cuda:0')"
77000,8400,147000,0.03978994578123093,0.039483393281698226,0.0400564778894186,0.12415856,"tensor(0.5021113753, device='cuda:0')","tensor(0.0005024388, device='cuda:0')"
88000,9600,168000,0.039633283857256174,0.03942680660635233,0.039960216484963895,0.11896096,"tensor(0.1034741551, device='cuda:0')","tensor(0.0004966009, device='cuda:0')"
99000,10800,189000,0.039619513750076295,0.03935735631734133,0.03990329102054238,0.12869863,"tensor(0.5644174218, device='cuda:0')","tensor(0.0005430611, device='cuda:0')"
110000,12000,210000,0.039639918953180316,0.039363632313907146,0.03989886877313256,0.10245628,"tensor(0.6884034872, device='cuda:0')","tensor(0.0003772575, device='cuda:0')"
121000,13200,231000,0.03964889891445637,0.03941419221460819,0.039921979635953904,0.17585042,"tensor(0.6610781550, device='cuda:0')","tensor(0.0008435048, device='cuda:0')"
132000,14400,252000,0.03963117141276598,0.039434654153883454,0.039899093985557556,0.11746763,"tensor(0.0431701131, device='cuda:0')","tensor(0.0004723693, device='cuda:0')"
143000,15600,273000,0.0395051484182477,0.03928691517561674,0.03980990941077471,0.1501471,"tensor(0.1508947760, device='cuda:0')","tensor(0.0006258306, device='cuda:0')"
154000,16800,294000,0.03956803563982248,0.03934512443840504,0.03984166813641787,0.15529789,"tensor(0.4847595096, device='cuda:0')","tensor(0.0006751136, device='cuda:0')"
165000,18000,315000,0.03942444771528244,0.039271699264645576,0.03974536595493555,0.12303236,"tensor(0.0509846993, device='cuda:0')","tensor(0.0004727303, device='cuda:0')"
176000,19200,336000,0.03947346117347479,0.039308271892368796,0.03977261613681912,0.13378902,"tensor(0.1525345892, device='cuda:0')","tensor(0.0005486998, device='cuda:0')"
187000,20400,357000,0.03951929155737162,0.03935745380818844,0.03980857417732477,0.13696362,"tensor(0.1937793344, device='cuda:0')","tensor(0.0005487393, device='cuda:0')"
198000,21600,378000,0.03951467663049698,0.03933321163058281,0.039774578429758546,0.09317261,"tensor(0.6059532166, device='cuda:0')","tensor(0.0003458754, device='cuda:0')"
209000,22800,399000,0.03944549411535263,0.0393206805922091,0.039735373992472886,0.12792487,"tensor(0.5447788835, device='cuda:0')","tensor(0.0005172621, device='cuda:0')"
220000,24000,420000,0.039521786384284496,0.03936292603611946,0.03983208861202001,0.16624793,"tensor(0.0568223335, device='cuda:0')","tensor(0.0007695098, device='cuda:0')"
231000,25200,441000,0.0394611400552094,0.03929463565349579,0.039715773336589336,0.101418555,"tensor(0.0737702549, device='cuda:0')","tensor(0.0003923274, device='cuda:0')"
242000,26400,462000,0.03938063494861126,0.03923126850277185,0.03966888616979122,0.11101884,"tensor(1., device='cuda:0')","tensor(0.0004365739, device='cuda:0')"
253000,27600,483000,0.03954741945490241,0.03945052206516266,0.03985038001090288,0.12570207,"tensor(0.3165599108, device='cuda:0')","tensor(0.0005303345, device='cuda:0')"
264000,28798,503980,0.039589454382658006,0.0394285336509347,0.03980350850522518,0.15154628,"tensor(0.5455937982, device='cuda:0')","tensor(0.0006833897, device='cuda:0')"
275000,29998,524980,0.03937361795455217,0.03924455922096968,0.03962808833643794,0.12224947,"tensor(0.1519838721, device='cuda:0')","tensor(0.0004912144, device='cuda:0')"
286000,31198,545980,0.039409327283501626,0.03927096329629421,0.03968794031441212,0.11639915,"tensor(1., device='cuda:0')","tensor(0.0004305220, device='cuda:0')"
297000,32398,566980,0.03937989547848701,0.03921305192634463,0.03962253150716424,0.10498403,"tensor(0.0456181280, device='cuda:0')","tensor(0.0004166576, device='cuda:0')"
308000,33598,587980,0.039429751597344874,0.039345553405582906,0.03969565560668707,0.13938496,"tensor(0.4279558659, device='cuda:0')","tensor(0.0006151357, device='cuda:0')"
319000,34798,608980,0.039441429786384104,0.03932358721271157,0.03970348189398647,0.16692038,"tensor(0.1817772239, device='cuda:0')","tensor(0.0008120543, device='cuda:0')"
330000,35998,629980,0.039318919833749535,0.039238576143980027,0.0395943466424942,0.14199178,"tensor(0.5985349417, device='cuda:0')","tensor(0.0005673235, device='cuda:0')"
341000,37198,650980,0.039321513958275316,0.0392260555177927,0.03960747843235731,0.11992195,"tensor(0.3314991593, device='cuda:0')","tensor(0.0004733248, device='cuda:0')"
352000,38398,671980,0.039397826492786406,0.039300719052553175,0.03959877525642514,0.10719101,"tensor(0.5523668528, device='cuda:0')","tensor(0.0003968822, device='cuda:0')"
363000,39598,692980,0.03934720903635025,0.03923283215612173,0.03958057055622339,0.14409395,"tensor(0.4256242514, device='cuda:0')","tensor(0.0006358872, device='cuda:0')"
374000,40798,713980,0.03928509498015046,0.03917071491479874,0.03956179650872946,0.14772475,"tensor(0.1948262751, device='cuda:0')","tensor(0.0006215946, device='cuda:0')"
385000,41998,734980,0.03935795951634646,0.03922267701476812,0.03957083341479301,0.14419807,"tensor(0.4944274724, device='cuda:0')","tensor(0.0006023082, device='cuda:0')"
396000,43198,755980,0.03932028871029616,0.03920764084905386,0.039565846845507624,0.12743677,"tensor(0.3002707064, device='cuda:0')","tensor(0.0005176463, device='cuda:0')"
407000,44394,776940,0.03928277220577001,0.03922290112823248,0.03954884333908558,0.14427505,"tensor(0.0292238574, device='cuda:0')","tensor(0.0005987366, device='cuda:0')"
418000,45594,797940,0.03925616189837456,0.03919087622314692,0.03952298256754875,0.11731523,"tensor(0.2057535350, device='cuda:0')","tensor(0.0004541908, device='cuda:0')"
429000,46794,818940,0.039398074485361576,0.03927130192518234,0.03959200053662062,0.1343365,"tensor(0.0265263226, device='cuda:0')","tensor(0.0005573859, device='cuda:0')"
440000,47994,839940,0.03933639790862799,0.03920281898230314,0.03953375627100468,0.11706016,"tensor(0.1436612755, device='cuda:0')","tensor(0.0004646429, device='cuda:0')"
451000,49192,860920,0.03927925417199731,0.03919076081365347,0.0394689501747489,0.114875644,"tensor(0.6759971976, device='cuda:0')","tensor(0.0004593989, device='cuda:0')"
462000,50392,881920,0.039271217659115794,0.03916053492575884,0.03950075759738684,0.17552571,"tensor(0.3216336966, device='cuda:0')","tensor(0.0007868932, device='cuda:0')"
473000,51592,902920,0.0392128673940897,0.039149425216019156,0.03944365987181663,0.09716561,"tensor(0.1383044124, device='cuda:0')","tensor(0.0003786900, device='cuda:0')"
484000,52792,923920,0.03921630024909973,0.039106629081070425,0.03942406886443496,0.11058143,"tensor(0.0668648854, device='cuda:0')","tensor(0.0004252260, device='cuda:0')"
495000,53992,944920,0.03914079880341888,0.03907504588365555,0.03937770836427808,0.10505705,"tensor(0.3627012968, device='cuda:0')","tensor(0.0004125268, device='cuda:0')"
506000,55192,965920,0.03922232268378138,0.03913869936019182,0.039478751108050346,0.14035316,"tensor(0.6622700095, device='cuda:0')","tensor(0.0006104165, device='cuda:0')"
517000,56392,986920,0.03922614797949791,0.03914875485002994,0.03944303955510259,0.12584636,"tensor(0.1924275607, device='cuda:0')","tensor(0.0005386841, device='cuda:0')"
528000,57583,1007830,0.03933741007000208,0.039197005964815616,0.039490742567926646,0.1564785,"tensor(0.3977206945, device='cuda:0')","tensor(0.0006761808, device='cuda:0')"
539000,58783,1028830,0.03923226606100798,0.039203027822077276,0.039427084609866145,0.10773818,"tensor(0.1276908666, device='cuda:0')","tensor(0.0004256894, device='cuda:0')"
550000,59983,1049830,0.03918348519131541,0.03912321656942368,0.039403848350048065,0.11147256,"tensor(0.0600120202, device='cuda:0')","tensor(0.0004448096, device='cuda:0')"
561000,61183,1070830,0.039173009637743235,0.039080340825021265,0.03938545224815607,0.15367119,"tensor(0.8856790662, device='cuda:0')","tensor(0.0006848657, device='cuda:0')"
572000,62383,1091830,0.039147996082901954,0.03910532057285309,0.03934778923541307,0.12252897,"tensor(0.5619218349, device='cuda:0')","tensor(0.0004893245, device='cuda:0')"
