samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.039908522889018055,0.039526534005999564,0.0402660006172955,0.3772259,,
11000,600,15000,0.04083457738161087,0.040745367035269736,0.04111015717685223,0.14687566,"tensor(0.5366250873, device='cuda:0')","tensor(0.0022984711, device='cuda:0')"
22000,1200,30000,0.0417527125403285,0.04139623906463385,0.04195848700404167,0.12958421,"tensor(0.7105007768, device='cuda:0')","tensor(0.0004488898, device='cuda:0')"
33000,1800,45000,0.0410819648578763,0.04093022048473358,0.041170463360846045,0.1665048,"tensor(0.2858157754, device='cuda:0')","tensor(0.0019953768, device='cuda:0')"
44000,2400,60000,0.041028887387365105,0.04105350498110056,0.04138504794239998,0.17552848,"tensor(0.4244598746, device='cuda:0')","tensor(0.0012359738, device='cuda:0')"
55000,3000,75000,0.04072325799614191,0.04064598113298416,0.04095973477512598,0.17944282,"tensor(0.3792792261, device='cuda:0')","tensor(0.0035206310, device='cuda:0')"
66000,3600,90000,0.04033357799053192,0.040387632362544536,0.040609492816030976,0.14190271,"tensor(0.2021824419, device='cuda:0')","tensor(0.0019824179, device='cuda:0')"
77000,4200,105000,0.040162622332572936,0.04021180670708418,0.04043016535043716,0.12383292,"tensor(0.6079794765, device='cuda:0')","tensor(0.0020482456, device='cuda:0')"
88000,4800,120000,0.040354511551558975,0.04040869753807783,0.04051624094694853,0.21268493,"tensor(0.1461550742, device='cuda:0')","tensor(0.0031208154, device='cuda:0')"
99000,5400,135000,0.040630390867590904,0.04058053646236658,0.04081767418235541,0.15306726,"tensor(0.1458301991, device='cuda:0')","tensor(0.0005302818, device='cuda:0')"
110000,6000,150000,0.04035781916230917,0.040225926749408246,0.040429593570530414,0.16318108,"tensor(0.1726460010, device='cuda:0')","tensor(0.0017525438, device='cuda:0')"
121000,6600,165000,0.04024010010063648,0.04013577498495579,0.04015198272466659,0.12709017,"tensor(0.4454230070, device='cuda:0')","tensor(0.0011029853, device='cuda:0')"
132000,7200,180000,0.04028871785849333,0.040260423924773935,0.04035185933485627,0.19463107,"tensor(0.0553022474, device='cuda:0')","tensor(0.0019940021, device='cuda:0')"
143000,7800,195000,0.040060149319469926,0.040227065198123454,0.040273899734020235,0.115139745,"tensor(0.4956458807, device='cuda:0')","tensor(0.0014840978, device='cuda:0')"
154000,8400,210000,0.03990284737199545,0.03994048811495304,0.040061323497444394,0.13129531,"tensor(0.3982249498, device='cuda:0')","tensor(0.0010728546, device='cuda:0')"
165000,9000,225000,0.04031294113025069,0.0400881265476346,0.040175889343023304,0.13724701,"tensor(0.0812291652, device='cuda:0')","tensor(0.0022182493, device='cuda:0')"
176000,9600,240000,0.040214769765734674,0.04004531968384981,0.040123214434832334,0.13780832,"tensor(0.1085964888, device='cuda:0')","tensor(0.0021883661, device='cuda:0')"
187000,10200,255000,0.04017633564770222,0.040205956175923346,0.04013565122336149,0.15596859,"tensor(0.0647480190, device='cuda:0')","tensor(0.0026701475, device='cuda:0')"
198000,10800,270000,0.04021447591483593,0.04033510137349367,0.04022669949382544,0.14442942,"tensor(0.0633677989, device='cuda:0')","tensor(0.0012472060, device='cuda:0')"
209000,11400,285000,0.039910091869533065,0.04000113271176815,0.03989073678851127,0.12837897,"tensor(0.0509554185, device='cuda:0')","tensor(0.0014106845, device='cuda:0')"
220000,12000,300000,0.04020976159721613,0.04026231911033392,0.04020972766727209,0.12253414,"tensor(0.2259249389, device='cuda:0')","tensor(0.0011962106, device='cuda:0')"
231000,12600,315000,0.040061070285737514,0.03993513515219092,0.03994260273873806,0.10316311,"tensor(0.4102087021, device='cuda:0')","tensor(0.0014442060, device='cuda:0')"
242000,13200,330000,0.0405185767263174,0.040465006977319716,0.04033203448355198,0.12038053,"tensor(0.0318946056, device='cuda:0')","tensor(0.0019164239, device='cuda:0')"
253000,13800,345000,0.04017046015709638,0.04002603553235531,0.03999492454528809,0.12296759,"tensor(0.4281308949, device='cuda:0')","tensor(0.0008066680, device='cuda:0')"
264000,14400,360000,0.03998118083924055,0.03979569997638464,0.03990558443590999,0.14759186,"tensor(0.0865442380, device='cuda:0')","tensor(0.0025876220, device='cuda:0')"
275000,15000,375000,0.03983747282996774,0.03978564944118261,0.039683220636099574,0.112593874,"tensor(0.0453740247, device='cuda:0')","tensor(0.0018456182, device='cuda:0')"
286000,15600,390000,0.04036769937723875,0.04043357409536839,0.040304331041872504,0.11855285,"tensor(0.3959315717, device='cuda:0')","tensor(0.0012780896, device='cuda:0')"
